epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1812,0.82559,2.57544,1.35177,0.85944,0.18834,0.44553,0.34045,0.6688,2.4027,1.32911,0.000467673,0.000467673,0.000467673
2,27.9785,0.85696,1.81291,1.33663,0.67616,0.35554,0.33079,0.17469,1.2702,2.51182,1.97718,0.000925315,0.000925315,0.000925315
3,37.4786,0.86792,1.66487,1.32395,0.65214,0.40215,0.45314,0.28826,1.09382,2.91725,1.62016,0.00136409,0.00136409,0.00136409
4,46.8517,0.91016,1.59066,1.37319,0.51235,0.63946,0.60018,0.46752,0.77321,2.54435,1.33554,0.00134412,0.00134412,0.00134412
5,55.8915,0.83292,1.45269,1.31432,0.47512,0.649,0.54826,0.39234,0.84794,2.22648,1.35569,0.00131582,0.00131582,0.00131582
6,64.9253,0.80384,1.35797,1.27696,0.5512,0.66617,0.6777,0.53268,0.7245,1.77914,1.21654,0.00128753,0.00128753,0.00128753
7,74.108,0.79379,1.30819,1.2817,0.62316,0.70563,0.66505,0.51464,0.75413,1.38142,1.25709,0.00125923,0.00125923,0.00125923
8,83.001,0.76885,1.24967,1.25506,0.76221,0.58347,0.70993,0.5636,0.68618,1.68983,1.16916,0.00123094,0.00123094,0.00123094
9,92.0875,0.76154,1.23721,1.25231,0.68174,0.59337,0.66477,0.52926,0.69315,1.48271,1.18359,0.00120265,0.00120265,0.00120265
10,101.174,0.73676,1.15612,1.23197,0.66934,0.59307,0.72303,0.57627,0.71419,1.30479,1.1979,0.00117435,0.00117435,0.00117435
11,110.096,0.72327,1.14348,1.23432,0.69036,0.62815,0.73633,0.61389,0.63901,1.42928,1.12305,0.00114606,0.00114606,0.00114606
12,118.992,0.71525,1.07852,1.22051,0.75591,0.72467,0.77355,0.5924,0.83489,1.19728,1.30795,0.00111776,0.00111776,0.00111776
13,127.807,0.70089,1.06659,1.21977,0.74812,0.70366,0.78111,0.66386,0.56874,0.98714,1.07654,0.00108947,0.00108947,0.00108947
14,136.803,0.6703,1.04568,1.18843,0.77307,0.70552,0.76595,0.63882,0.66138,1.02555,1.15767,0.00106118,0.00106118,0.00106118
15,145.633,0.66844,1.02972,1.18781,0.77174,0.71052,0.78215,0.64407,0.58382,0.9898,1.07612,0.00103288,0.00103288,0.00103288
16,154.407,0.64558,1.00303,1.17727,0.76773,0.7485,0.81086,0.71186,0.49357,0.91354,0.99194,0.00100459,0.00100459,0.00100459
17,163.267,0.65171,0.98945,1.18222,0.76894,0.73225,0.82452,0.71816,0.54744,0.88995,1.03703,0.000976293,0.000976293,0.000976293
18,172.23,0.66198,0.95456,1.17633,0.79581,0.73271,0.84717,0.7389,0.53892,0.84408,1.05513,0.000947999,0.000947999,0.000947999
19,181.049,0.62901,0.93786,1.16049,0.81511,0.73352,0.86322,0.76645,0.48164,0.73477,0.98536,0.000919704,0.000919704,0.000919704
20,190.432,0.6319,0.89866,1.1641,0.77816,0.79852,0.84131,0.73861,0.5044,0.83704,1.0183,0.00089141,0.00089141,0.00089141
21,199.476,0.60087,0.91755,1.14756,0.83535,0.77951,0.87946,0.76909,0.49107,0.76361,0.9972,0.000863116,0.000863116,0.000863116
