epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.8065,1.0709,3.19554,1.58495,0.00831,0.93211,0.0467,0.0238,0.77482,3.05466,1.31004,0.00072879,0.00024293,0.00072879,0.00024293,0.00072879,0.00024293,0.00072879,0.00024293
2,18.6952,0.80105,3.06776,1.37865,0.00966,0.95564,0.13023,0.07775,0.53127,2.99123,1.05122,0.00147074,0.000490247,0.00147074,0.000490247,0.00147074,0.000490247,0.00147074,0.000490247
3,23.4254,0.66908,2.98134,1.2742,0.01079,0.97132,0.24507,0.19007,0.44774,2.93269,0.97648,0.00218213,0.000727378,0.00218213,0.000727378,0.00218213,0.000727378,0.00218213,0.000727378
4,27.6634,0.59438,2.84333,1.1871,0.01089,0.97132,0.31541,0.274,0.40273,2.8545,0.92154,0.00286297,0.000954323,0.00286297,0.000954323,0.00286297,0.000954323,0.00286297,0.000954323
5,31.8101,0.57158,2.70235,1.17068,0.0107,1,0.33104,0.28435,0.4247,2.71494,0.90874,0.00351325,0.00117108,0.00351325,0.00117108,0.00351325,0.00117108,0.00351325,0.00117108
6,35.8939,0.57318,2.5302,1.16522,0.71391,0.21446,0.36315,0.30278,0.48327,2.51813,0.94768,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,39.8317,0.62144,2.4106,1.18168,0.68689,0.30408,0.41439,0.3568,0.51601,2.27985,0.95691,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,43.8821,0.59676,2.27441,1.16297,0.81975,0.35466,0.47787,0.40984,0.48721,2.00422,0.9349,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,47.7269,0.58657,2.10445,1.13627,0.37126,0.47026,0.4741,0.39972,0.52558,1.96368,0.9685,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,51.7709,0.56975,1.9476,1.13833,0.83104,0.48593,0.54949,0.47494,0.46059,1.68723,0.88897,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,55.5533,0.56067,1.74907,1.14952,0.82496,0.50218,0.55037,0.48275,0.50963,1.60889,0.94605,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,59.6461,0.59041,1.66315,1.18382,0.79063,0.52045,0.54802,0.4782,0.41921,1.5294,0.87174,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,63.4793,0.54881,1.56894,1.13471,0.50881,0.56412,0.55874,0.4938,0.38931,1.49807,0.84658,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,67.572,0.52671,1.41538,1.09792,0.83995,0.46631,0.55974,0.48255,0.41007,1.46861,0.86379,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,71.4098,0.54168,1.40335,1.11894,0.48202,0.62122,0.64498,0.56506,0.43549,1.4012,0.90575,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
