epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.703,1.06209,2.33337,1.56416,0.48899,0.87324,0.66143,0.5109,0.79981,4.68615,1.26088,0.0002,0.0002,0.0002
2,19.752,0.98645,1.27414,1.36545,0,0,0,0,nan,nan,nan,0.000415842,0.000415842,0.000415842
3,24.6613,1.01443,1.15323,1.38182,0,0,0,0,nan,nan,nan,0.000627328,0.000627328,0.000627328
4,29.3628,1.14721,1.22364,1.50209,0.06629,0.02817,0.00413,0.00058,nan,nan,nan,0.000834458,0.000834458,0.000834458
5,34.1398,1.14336,1.25027,1.4789,0.06415,0.12676,0.03402,0.01178,nan,nan,nan,0.00103723,0.00103723,0.00103723
6,38.748,1.23681,1.32526,1.53446,0,0,0,0,nan,nan,nan,0.00123565,0.00123565,0.00123565
7,43.4153,1.26303,1.26353,1.54681,0,0,0,0,nan,nan,nan,0.00142971,0.00142971,0.00142971
8,48.1591,1.12528,1.22806,1.45366,0,0,0,0,5.64596,16.793,14.006,0.00161942,0.00161942,0.00161942
9,52.8727,1.16947,1.24502,1.45949,0.06896,0.08451,0.01834,0.009,3.3393,11.4108,5.52902,0.00180477,0.00180477,0.00180477
10,57.6301,1.16321,1.20477,1.45218,0.1087,0.07042,0.05154,0.02044,2.17499,41.8934,3.0355,0.0018218,0.0018218,0.0018218
11,62.4284,1.17615,1.12375,1.44688,0.13423,0.39437,0.13255,0.06422,2.28439,16.5934,3.23926,0.001802,0.001802,0.001802
12,67.231,1.1376,1.08545,1.41754,0.08121,0.39437,0.10502,0.05838,1.71692,21.8739,2.39726,0.0017822,0.0017822,0.0017822
13,71.9828,1.07878,1.11767,1.38426,0.07623,0.42254,0.12069,0.05229,1.93579,31.1603,2.48882,0.0017624,0.0017624,0.0017624
14,76.7403,1.05781,1.11271,1.37812,0.35294,0.08451,0.12272,0.07374,1.87726,37.1434,2.52196,0.0017426,0.0017426,0.0017426
15,81.4733,0.98049,0.95672,1.33159,0.07662,0.35211,0.06091,0.02742,2.03698,17.4074,2.4975,0.0017228,0.0017228,0.0017228
16,86.1727,0.96005,0.98359,1.31275,0.04814,0.32394,0.07733,0.02778,2.32921,51.6979,2.81753,0.001703,0.001703,0.001703
17,90.8768,0.99213,1.00085,1.33425,0.15731,0.30986,0.17397,0.08385,1.64608,26.7521,2.06576,0.0016832,0.0016832,0.0016832
18,95.6633,0.89997,0.93352,1.26695,0.48416,0.59155,0.55338,0.35528,1.19152,4.36119,1.66928,0.0016634,0.0016634,0.0016634
19,100.344,0.91714,0.87222,1.26958,0.75807,0.70615,0.77257,0.55176,0.93307,1.44648,1.40054,0.0016436,0.0016436,0.0016436
20,105.176,0.92937,0.9478,1.28795,0.62481,0.69014,0.712,0.52087,0.85349,2.64601,1.28778,0.0016238,0.0016238,0.0016238
21,109.964,0.91227,0.89821,1.2862,0.58273,0.6491,0.67954,0.47967,0.93039,2.61764,1.46371,0.001604,0.001604,0.001604
22,114.715,0.88403,0.89788,1.28027,0.53419,0.70423,0.61411,0.42273,1.1364,3.15135,1.61745,0.0015842,0.0015842,0.0015842
23,119.381,0.91033,0.87505,1.27589,0.60742,0.67558,0.63379,0.41948,0.98296,2.37479,1.43554,0.0015644,0.0015644,0.0015644
24,124.094,0.82661,0.81873,1.23325,0.51324,0.67606,0.57938,0.41801,0.92688,4.07402,1.3486,0.0015446,0.0015446,0.0015446
25,128.706,0.85004,0.82044,1.25336,0.72518,0.74334,0.73826,0.54611,0.89914,1.58488,1.28319,0.0015248,0.0015248,0.0015248
26,133.43,0.82719,0.81977,1.23511,0.80266,0.78873,0.82156,0.63085,0.91621,1.45228,1.34144,0.001505,0.001505,0.001505
27,138.205,0.82096,0.80916,1.20942,0.75032,0.76188,0.80356,0.63333,0.84845,1.19317,1.32144,0.0014852,0.0014852,0.0014852
28,143.081,0.80743,0.79631,1.20102,0.90269,0.73239,0.85478,0.71773,0.69486,0.98566,1.16539,0.0014654,0.0014654,0.0014654
29,147.785,0.80455,0.8013,1.23271,0.81921,0.73239,0.83488,0.67175,0.7364,1.27874,1.18548,0.0014456,0.0014456,0.0014456
30,152.519,0.80416,0.8085,1.2308,0.76581,0.84507,0.88774,0.72237,0.70018,0.95217,1.19099,0.0014258,0.0014258,0.0014258
