epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7929,1.11683,2.66749,1.49648,0.00947,1,0.68983,0.5602,0.57846,2.48783,0.96327,0.0002,0.0002,0.0002
2,14.9911,0.84875,1.83925,1.2072,0.00907,0.95775,0.82914,0.575,0.82459,2.43982,1.19572,0.000415842,0.000415842,0.000415842
3,17.9732,0.9171,1.41389,1.25254,0.01557,1,0.82187,0.57876,0.73622,2.27529,1.07294,0.000627328,0.000627328,0.000627328
4,20.8532,0.93448,1.26729,1.30724,0.83565,0.14339,0.74697,0.46406,1.02595,2.27935,1.39969,0.000834458,0.000834458,0.000834458
5,23.7054,0.95693,1.20771,1.29001,0.81472,0.49553,0.75281,0.52406,0.90692,2.02342,1.42855,0.00103723,0.00103723,0.00103723
6,26.5465,0.9411,1.1436,1.28242,0.39654,0.40845,0.31778,0.1586,1.17291,2.30684,1.6197,0.00123565,0.00123565,0.00123565
7,29.4227,0.9484,1.16776,1.29014,0.725,0.63128,0.68994,0.37558,1.05831,1.9114,1.57623,0.00142971,0.00142971,0.00142971
8,32.1736,0.9111,1.10644,1.25333,0.75311,0.59155,0.6795,0.50202,0.94492,1.67776,1.50597,0.00161942,0.00161942,0.00161942
9,34.8424,0.93029,1.08455,1.24806,0.63804,0.57108,0.61874,0.43843,1.07966,1.79241,1.66193,0.00180477,0.00180477,0.00180477
10,37.5049,0.89198,1.04746,1.23996,0.74324,0.73239,0.75499,0.5326,0.86212,1.41551,1.30758,0.0018218,0.0018218,0.0018218
11,40.1126,0.86446,1.01769,1.22182,0.78945,0.73239,0.83167,0.62071,0.86514,1.52693,1.40866,0.001802,0.001802,0.001802
12,42.7697,0.82379,0.96927,1.17062,0.79922,0.66197,0.76832,0.59155,0.90573,1.6027,1.41601,0.0017822,0.0017822,0.0017822
