epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0505,1.10923,2.3273,1.57457,0.61917,0.88732,0.78645,0.66947,0.53657,3.29143,1.02044,0.0002,0.0002,0.0002
2,17.4474,0.87306,1.14856,1.29371,0.13017,0.5493,0.17287,0.12134,1.06542,6.73685,1.72774,0.000415842,0.000415842,0.000415842
3,20.7094,0.89438,1.06169,1.28533,0.15437,0.12676,0.09442,0.05227,2.02498,5.30679,2.99553,0.000627328,0.000627328,0.000627328
4,23.9906,1.00298,1.13501,1.38525,0.0123,0.26761,0.00642,0.00154,3.56516,48.1676,10.4233,0.000834458,0.000834458,0.000834458
5,27.2149,0.98818,1.10972,1.34111,0.0338,0.05634,0.00873,0.00432,3.53306,14.2098,4.3441,0.00103723,0.00103723,0.00103723
6,31.1334,1.0601,1.06892,1.409,0.31643,0.23944,0.18879,0.07476,2.31149,6.40471,3.21171,0.00123565,0.00123565,0.00123565
7,34.1385,1.07901,1.06693,1.42522,0.65635,0.59181,0.61382,0.34217,1.44164,3.96636,2.62381,0.00142971,0.00142971,0.00142971
8,37.1918,0.99105,1.0414,1.34923,0.48452,0.49296,0.52983,0.30819,1.23155,6.11059,2.13426,0.00161942,0.00161942,0.00161942
9,40.1523,1.02249,1.03189,1.36998,0.2415,0.47887,0.37959,0.19969,1.72304,18.8984,2.81546,0.00180477,0.00180477,0.00180477
10,43.2536,1.04659,1.00061,1.38189,0.50688,0.62256,0.57516,0.32422,1.47982,7.197,2.22289,0.0018218,0.0018218,0.0018218
11,46.2193,1.03099,1.03213,1.35515,0.40991,0.43662,0.37989,0.1948,1.7347,6.98882,2.50046,0.001802,0.001802,0.001802
12,49.165,0.96235,0.95359,1.29925,0.2539,0.40845,0.32083,0.19922,1.49421,9.24973,2.30076,0.0017822,0.0017822,0.0017822
13,52.1288,0.94298,0.95533,1.29505,0.56057,0.73239,0.68744,0.47889,1.08441,5.12496,1.6831,0.0017624,0.0017624,0.0017624
14,55.2804,0.97261,0.99566,1.32716,0.45302,0.76056,0.66045,0.47861,0.96682,5.91153,1.52379,0.0017426,0.0017426,0.0017426
15,58.6031,0.9309,0.90798,1.29012,0.58075,0.69014,0.7312,0.53491,0.98536,8.29944,1.53771,0.0017228,0.0017228,0.0017228
16,61.6165,0.85893,0.88045,1.24626,0.51775,0.74648,0.55771,0.39548,1.0759,4.69917,1.67015,0.001703,0.001703,0.001703
17,64.6885,0.86963,0.87372,1.26946,0.64036,0.69014,0.70604,0.49853,0.97266,4.24569,1.74455,0.0016832,0.0016832,0.0016832
18,67.7481,0.82043,0.83526,1.21861,0.7062,0.77869,0.80183,0.60283,0.90023,1.38306,1.40563,0.0016634,0.0016634,0.0016634
19,70.7535,0.84288,0.83596,1.24041,0.70265,0.66569,0.71386,0.50361,1.0089,2.45278,1.57886,0.0016436,0.0016436,0.0016436
20,73.8304,0.88919,0.9071,1.2844,0.57977,0.64128,0.6501,0.47198,1.0557,3.48953,1.60764,0.0016238,0.0016238,0.0016238
21,76.8144,0.85558,0.84895,1.27149,0.70149,0.69509,0.79627,0.60053,0.92598,2.66617,1.47759,0.001604,0.001604,0.001604
22,80.0815,0.83902,0.84386,1.24561,0.71012,0.78873,0.80233,0.61286,0.84977,1.90398,1.35289,0.0015842,0.0015842,0.0015842
23,83.101,0.84605,0.80762,1.23244,0.86461,0.71959,0.86385,0.71166,0.76873,1.08365,1.28721,0.0015644,0.0015644,0.0015644
24,86.1974,0.76581,0.7667,1.19308,0.75824,0.75098,0.80891,0.64167,0.76211,1.28625,1.24114,0.0015446,0.0015446,0.0015446
25,89.2021,0.75477,0.7426,1.19565,0.71376,0.73756,0.78016,0.58662,0.82564,1.68718,1.31748,0.0015248,0.0015248,0.0015248
26,92.2529,0.74179,0.717,1.17585,0.82568,0.74648,0.85591,0.70002,0.70186,1.09098,1.2003,0.001505,0.001505,0.001505
27,95.3333,0.75682,0.7364,1.17126,0.79766,0.70423,0.80416,0.62805,0.81993,1.1022,1.29326,0.0014852,0.0014852,0.0014852
28,98.4073,0.75664,0.73128,1.17901,0.86336,0.80096,0.86979,0.69013,0.76057,1.14517,1.22927,0.0014654,0.0014654,0.0014654
29,102.02,0.75984,0.73223,1.20239,0.86516,0.76056,0.87413,0.72411,0.69387,1.25419,1.238,0.0014456,0.0014456,0.0014456
30,105.181,0.77028,0.74484,1.20244,0.78531,0.77283,0.84984,0.69113,0.72406,1.24189,1.23127,0.0014258,0.0014258,0.0014258
31,108.473,0.75826,0.74114,1.20007,0.85343,0.82012,0.90658,0.77279,0.66467,1.05496,1.14464,0.001406,0.001406,0.001406
32,111.565,0.74548,0.74448,1.16927,0.73614,0.8169,0.82051,0.69368,0.69255,0.92254,1.16526,0.0013862,0.0013862,0.0013862
33,114.606,0.73614,0.72921,1.1921,0.73316,0.87324,0.87813,0.71343,0.75663,0.82043,1.18229,0.0013664,0.0013664,0.0013664
34,117.595,0.7225,0.71591,1.16459,0.76837,0.94366,0.94495,0.81922,0.58532,0.67139,1.08289,0.0013466,0.0013466,0.0013466
35,120.686,0.72442,0.69993,1.19306,0.80426,0.78873,0.86816,0.74317,0.62936,0.91684,1.11493,0.0013268,0.0013268,0.0013268
36,124.442,0.71664,0.69803,1.16119,0.85841,0.74648,0.84819,0.72032,0.63135,0.92618,1.12373,0.001307,0.001307,0.001307
37,127.395,0.69897,0.68686,1.14198,0.76407,0.82106,0.8673,0.73515,0.6316,0.90035,1.0622,0.0012872,0.0012872,0.0012872
38,130.486,0.68405,0.66796,1.12914,0.91357,0.83099,0.90893,0.78144,0.61968,0.69366,1.09552,0.0012674,0.0012674,0.0012674
39,133.515,0.74096,0.70494,1.17315,0.9728,0.78873,0.93019,0.76966,0.62877,0.65898,1.07336,0.0012476,0.0012476,0.0012476
