epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46684,0.7189,3.56923,1.28175,0.15902,0.55712,0.15423,0.10707,0.57985,6.98039,1.22938,3.334e-05,3.334e-05,3.334e-05
2,9.34451,0.70516,3.26411,1.26552,0.19866,0.52713,0.15736,0.10782,0.57902,6.87872,1.23315,8.16997e-05,8.16997e-05,8.16997e-05
3,11.1573,0.71008,3.58767,1.28916,0.27498,0.4736,0.22106,0.16549,0.56485,5.66082,1.21135,0.000128079,0.000128079,0.000128079
4,14.1679,0.56535,2.70875,1.16737,0.28489,0.64319,0.28066,0.22668,0.55567,4.68857,1.17216,0.000172478,0.000172478,0.000172478
5,16.1964,0.56719,2.183,1.14412,0.2469,0.73735,0.29566,0.24902,0.52753,4.65653,1.14816,0.000214896,0.000214896,0.000214896
6,18.1645,0.56536,2.12991,1.15906,0.17054,0.69849,0.24665,0.20418,0.58614,4.68163,1.19818,0.000255334,0.000255334,0.000255334
7,20.126,0.60702,1.92238,1.13086,0.16589,0.65258,0.2291,0.18641,0.61259,4.03836,1.21988,0.000293792,0.000293792,0.000293792
8,22.0501,0.54572,1.93989,1.12978,0.21196,0.76813,0.27456,0.22832,0.59905,3.52863,1.19695,0.000330269,0.000330269,0.000330269
9,23.9846,0.64067,1.93162,1.1909,0.33014,0.71088,0.36783,0.30535,0.63117,2.87588,1.20665,0.000364766,0.000364766,0.000364766
10,25.8518,0.614,1.87019,1.17517,0.3774,0.74804,0.44493,0.36489,0.64964,2.48097,1.22623,0.000397283,0.000397283,0.000397283
11,27.7303,0.56274,1.69929,1.1188,0.39459,0.73761,0.51626,0.44352,0.62776,2.15555,1.20813,0.000427819,0.000427819,0.000427819
12,29.7795,0.54253,1.55416,1.10096,0.37512,0.77026,0.53533,0.45084,0.6132,2.19093,1.20153,0.000456375,0.000456375,0.000456375
13,31.6989,0.60743,1.48818,1.14461,0.41623,0.61085,0.55125,0.45964,0.60708,2.29316,1.18588,0.00048295,0.00048295,0.00048295
14,33.7062,0.58421,1.38774,1.17193,0.43327,0.59233,0.53986,0.44081,0.6304,2.26187,1.21066,0.000507545,0.000507545,0.000507545
15,35.6235,0.62162,1.4713,1.16143,0.37208,0.64867,0.51197,0.38255,0.79465,2.15736,1.35599,0.000530159,0.000530159,0.000530159
16,37.4238,0.60313,1.32549,1.16062,0.34286,0.66637,0.51915,0.40621,0.7536,2.10538,1.32251,0.000550793,0.000550793,0.000550793
17,39.2754,0.64638,1.27507,1.15986,0.38538,0.72149,0.54989,0.43683,0.72217,1.99865,1.27956,0.000569447,0.000569447,0.000569447
