epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64048,0.74229,3.75539,1.30945,0.12933,0.27334,0.12834,0.0858,0.59474,3.33811,1.22364,5.001e-05,5.001e-05,5.001e-05
2,12.4528,0.88608,4.78138,1.46875,0.11886,0.45871,0.13829,0.08526,0.59002,3.32001,1.21228,0.00011438,0.00011438,0.00011438
3,15.443,0.73605,2.63411,1.30747,0.2812,0.54688,0.2883,0.19567,0.68095,2.40627,1.31747,0.000176109,0.000176109,0.000176109
4,18.5346,0.778,2.02068,1.32706,0.42231,0.6043,0.41381,0.29207,0.70311,2.60575,1.33325,0.000235197,0.000235197,0.000235197
5,21.6882,0.77004,1.91239,1.33993,0.32017,0.63172,0.39194,0.29447,0.7293,2.71939,1.3313,0.000291645,0.000291645,0.000291645
6,24.6715,0.7002,1.78876,1.25152,0.30059,0.65284,0.36498,0.28987,0.67877,2.19982,1.29168,0.000345452,0.000345452,0.000345452
7,27.5665,0.69092,1.76417,1.21391,0.30284,0.7277,0.3548,0.29578,0.60131,1.94887,1.21426,0.000396619,0.000396619,0.000396619
8,30.6039,0.66956,1.5325,1.21383,0.29238,0.82812,0.37537,0.3157,0.61589,2.18274,1.20372,0.000445146,0.000445146,0.000445146
9,33.5983,0.71696,1.56973,1.28455,0.3267,0.79551,0.455,0.36851,0.68267,2.47983,1.25194,0.000491032,0.000491032,0.000491032
10,36.5512,0.72654,1.59117,1.26105,0.3163,0.78462,0.44725,0.37257,0.64552,2.74702,1.20731,0.000534277,0.000534277,0.000534277
11,39.5764,0.76825,1.55926,1.27039,0.39304,0.76995,0.51272,0.42767,0.66193,2.10986,1.26467,0.000574882,0.000574882,0.000574882
12,42.4706,0.76153,1.39302,1.25988,0.36717,0.72006,0.43549,0.35045,0.70431,2.93406,1.28434,0.000612846,0.000612846,0.000612846
13,45.3473,0.70957,1.31182,1.23859,0.335,0.76995,0.46483,0.34703,0.79469,3.57179,1.38746,0.00064817,0.00064817,0.00064817
14,48.1726,0.77144,1.54337,1.27012,0.33611,0.79995,0.52565,0.40466,0.81821,3.21649,1.40028,0.000680853,0.000680853,0.000680853
15,51.0839,0.81515,1.4101,1.32802,0.42172,0.79216,0.55754,0.41888,0.79479,2.37777,1.46469,0.000710895,0.000710895,0.000710895
16,53.9127,0.74114,1.39929,1.23994,0.43851,0.74827,0.55959,0.42574,0.78727,1.99795,1.38827,0.000738298,0.000738298,0.000738298
17,56.7954,0.78101,1.41665,1.27021,0.48057,0.70657,0.54773,0.42035,0.75555,2.08199,1.33813,0.000763059,0.000763059,0.000763059
18,59.6398,0.73652,1.32083,1.2675,0.40438,0.68179,0.45957,0.34426,0.84144,2.83861,1.34379,0.00078518,0.00078518,0.00078518
19,62.5273,0.82222,1.45559,1.31097,0.31541,0.75848,0.3991,0.28883,0.8335,3.1728,1.31879,0.000804661,0.000804661,0.000804661
20,65.3391,0.76764,1.26295,1.24701,0.21987,0.59624,0.37664,0.294,0.7996,2.88908,1.32535,0.000821501,0.000821501,0.000821501
21,68.2565,0.69099,1.28392,1.19471,0.29863,0.61185,0.43646,0.34914,0.74159,2.26989,1.274,0.0008357,0.0008357,0.0008357
22,71.1082,0.7292,1.15923,1.23069,0.6367,0.46688,0.53752,0.41693,0.75777,1.88538,1.31071,0.000847259,0.000847259,0.000847259
23,73.9481,0.65377,1.19438,1.15898,0.49267,0.55764,0.52164,0.40578,0.78096,1.86703,1.35238,0.000856178,0.000856178,0.000856178
24,76.9036,0.72402,1.18372,1.26908,0.67038,0.3795,0.39662,0.29943,0.86332,2.15862,1.40296,0.000862456,0.000862456,0.000862456
25,79.8482,0.65206,1.12036,1.16131,0.46214,0.40506,0.34329,0.26137,0.89336,2.65095,1.42052,0.000866093,0.000866093,0.000866093
26,82.7836,0.69372,1.19504,1.2009,0.46101,0.61841,0.4894,0.38951,0.80164,2.37499,1.36104,0.000841835,0.000841835,0.000841835
27,85.714,0.6914,1.07542,1.2255,0.43213,0.67475,0.49679,0.38656,0.82346,2.93599,1.37965,0.000808828,0.000808828,0.000808828
28,88.6328,0.72061,1.1917,1.2011,0.2565,0.58738,0.31975,0.2438,0.85555,4.0589,1.39871,0.000775822,0.000775822,0.000775822
29,91.5286,0.66538,1.04514,1.1971,0.33651,0.4314,0.22325,0.16284,0.89372,4.46966,1.43781,0.000742815,0.000742815,0.000742815
30,94.5007,0.67161,1.06095,1.2086,0.62776,0.37507,0.27647,0.20447,nan,nan,nan,0.000709809,0.000709809,0.000709809
31,97.4913,0.67673,1.03913,1.20216,0.3656,0.58399,0.38358,0.26651,nan,nan,nan,0.000676802,0.000676802,0.000676802
32,100.441,0.76691,1.08463,1.24192,0.39188,0.60955,0.46924,0.34809,nan,nan,nan,0.000643795,0.000643795,0.000643795
33,103.382,0.61982,0.97947,1.1601,0.54008,0.49322,0.52089,0.39692,0.75645,2.18045,1.32832,0.000610789,0.000610789,0.000610789
34,106.739,0.63646,0.95779,1.15884,0.49728,0.55041,0.49804,0.37039,0.75607,2.73018,1.30645,0.000577782,0.000577782,0.000577782
35,109.662,0.74683,1.03951,1.29711,0.50581,0.55921,0.45434,0.33889,0.71766,3.21943,1.26906,0.000544776,0.000544776,0.000544776
36,112.727,0.64795,1.07413,1.21328,0.52031,0.54069,0.47679,0.37149,0.69527,2.97214,1.25965,0.000511769,0.000511769,0.000511769
37,116.363,0.65083,1.02277,1.20769,0.47624,0.50456,0.47827,0.374,0.69786,2.7934,1.26784,0.000478762,0.000478762,0.000478762
38,119.35,0.64878,0.95315,1.15366,0.44508,0.71974,0.55582,0.44817,0.67449,2.12471,1.23895,0.000445756,0.000445756,0.000445756
39,122.347,0.62486,0.97092,1.11174,0.61391,0.70312,0.69084,0.59056,0.60511,1.51086,1.19359,0.000412749,0.000412749,0.000412749
40,125.326,0.57672,0.8715,1.09855,0.6865,0.74283,0.76647,0.65533,0.58185,1.35158,1.1709,0.000379743,0.000379743,0.000379743
41,131.919,0.74238,1.22013,1.28169,0.69011,0.77282,0.77668,0.67089,0.59765,1.34037,1.20013,0.000346736,0.000346736,0.000346736
42,134.806,0.72081,1.12849,1.24933,0.71902,0.78355,0.79347,0.69115,0.58186,1.28954,1.18777,0.000313729,0.000313729,0.000313729
43,137.785,0.61585,0.9494,1.18137,0.68446,0.81109,0.81034,0.69841,0.59848,1.18793,1.21304,0.000280723,0.000280723,0.000280723
44,140.772,0.56008,0.84581,1.11724,0.80148,0.67925,0.81974,0.69606,0.63071,1.14516,1.21674,0.000247716,0.000247716,0.000247716
45,143.707,0.65607,0.92436,1.21401,0.79957,0.69814,0.83027,0.69482,0.64906,1.11889,1.20548,0.00021471,0.00021471,0.00021471
46,146.617,0.55981,0.87905,1.10531,0.87576,0.66615,0.83338,0.68849,0.64064,1.08848,1.18511,0.000181703,0.000181703,0.000181703
47,149.533,0.49132,0.75531,1.03195,0.74601,0.76266,0.8406,0.70588,0.62598,1.03635,1.16987,0.000148696,0.000148696,0.000148696
48,152.528,0.51388,0.75598,1.05762,0.75858,0.80099,0.84322,0.71934,0.58759,1.00054,1.13928,0.00011569,0.00011569,0.00011569
