epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87802,0.65177,3.02961,1.17697,0.00661,0.98592,0.10796,0.0862,0.5172,2.90478,1.06838,5.001e-05,5.001e-05,5.001e-05
2,7.70234,0.70371,2.99086,1.24975,0.00678,0.99296,0.16934,0.12606,0.62453,2.82761,1.18481,0.00011438,0.00011438,0.00011438
3,10.4625,0.6051,2.85437,1.15323,0.00703,1,0.27206,0.2078,0.56942,2.72593,1.13341,0.000176109,0.000176109,0.000176109
4,12.3126,0.65449,2.74386,1.19671,0.23321,0.68571,0.33578,0.27769,0.54858,2.57452,1.09744,0.000235197,0.000235197,0.000235197
5,14.0851,0.61299,2.65526,1.1765,0.25188,0.43021,0.34491,0.28838,0.54749,2.49536,1.08925,0.000291645,0.000291645,0.000291645
6,15.8505,0.59162,2.55561,1.11646,0.23812,0.45149,0.35354,0.30123,0.56984,2.40228,1.09756,0.000345452,0.000345452,0.000345452
7,17.6032,0.59839,2.44708,1.1114,0.24734,0.47705,0.36951,0.31249,0.58075,2.32425,1.10083,0.000396619,0.000396619,0.000396619
8,19.3791,0.59101,2.34358,1.13005,0.23927,0.48409,0.35859,0.30486,0.5946,2.22739,1.12807,0.000445146,0.000445146,0.000445146
9,21.1056,0.58611,2.22006,1.16857,0.25207,0.50522,0.39399,0.33168,0.60734,2.18908,1.16612,0.000491032,0.000491032,0.000491032
10,23.0437,0.58918,2.11281,1.13431,0.28127,0.56155,0.3929,0.32304,0.65353,2.13876,1.19295,0.000534277,0.000534277,0.000534277
11,24.7777,0.68549,2.06791,1.18317,0.29678,0.59677,0.37229,0.30681,0.66564,2.12762,1.18042,0.000574882,0.000574882,0.000574882
12,26.4588,0.67973,1.95826,1.17711,0.28999,0.67332,0.36033,0.29988,0.67363,2.12036,1.17993,0.000612846,0.000612846,0.000612846
13,28.1453,0.60145,1.81823,1.1538,0.28326,0.6997,0.35412,0.28888,0.68468,2.2017,1.19888,0.00064817,0.00064817,0.00064817
14,29.8669,0.70266,1.80794,1.23255,0.29857,0.77282,0.36972,0.30609,0.67295,2.18,1.20842,0.000680853,0.000680853,0.000680853
15,31.62,0.65314,1.69923,1.17604,0.34824,0.74233,0.38183,0.27437,0.84385,2.13896,1.45099,0.000710895,0.000710895,0.000710895
16,33.327,0.69867,1.68739,1.2108,0.39413,0.76578,0.40158,0.28399,0.87633,2.17072,1.50531,0.000738298,0.000738298,0.000738298
17,35.1076,0.67279,1.58014,1.18789,0.4154,0.74022,0.44852,0.32961,0.88249,2.22154,1.52015,0.000763059,0.000763059,0.000763059
18,37.0012,0.73272,1.5825,1.24029,0.44151,0.66554,0.4748,0.38524,0.72437,2.27454,1.26189,0.00078518,0.00078518,0.00078518
19,38.7187,0.77375,1.65357,1.29577,0.4561,0.72707,0.48639,0.38557,0.67966,2.32356,1.21424,0.000804661,0.000804661,0.000804661
20,40.4099,0.70689,1.50508,1.20381,0.39825,0.76274,0.4382,0.34628,0.73326,2.50598,1.27246,0.000821501,0.000821501,0.000821501
21,42.1208,0.67751,1.51398,1.15488,0.35412,0.6518,0.38079,0.30827,0.71262,2.61773,1.2512,0.0008357,0.0008357,0.0008357
22,43.9648,0.69503,1.42063,1.2046,0.41124,0.71179,0.44108,0.35797,0.637,2.46676,1.19167,0.000847259,0.000847259,0.000847259
23,45.6523,0.66125,1.44675,1.13448,0.4586,0.74242,0.48779,0.39272,0.67331,2.39155,1.24088,0.000856178,0.000856178,0.000856178
24,47.3657,0.6574,1.43843,1.20128,0.47789,0.78065,0.53674,0.41408,0.7108,2.2668,1.26981,0.000862456,0.000862456,0.000862456
25,49.2142,0.58247,1.3206,1.10821,0.53458,0.70136,0.59678,0.45878,0.78819,2.26397,1.34109,0.000866093,0.000866093,0.000866093
26,50.9067,0.59377,1.39575,1.11408,0.58178,0.68466,0.61387,0.46178,0.78797,2.29893,1.32966,0.000841835,0.000841835,0.000841835
27,52.5946,0.60663,1.21824,1.11679,0.61955,0.66354,0.62638,0.46929,0.76073,2.31031,1.29087,0.000808828,0.000808828,0.000808828
28,54.2777,0.63575,1.27439,1.12193,0.61585,0.68793,0.62031,0.48959,0.67935,2.42394,1.24121,0.000775822,0.000775822,0.000775822
29,55.9758,0.59581,1.19117,1.1252,0.61506,0.592,0.56656,0.44658,0.68249,2.55265,1.28008,0.000742815,0.000742815,0.000742815
30,57.6393,0.58961,1.19199,1.1148,0.63767,0.53728,0.52722,0.41481,0.70106,2.60291,1.29704,0.000709809,0.000709809,0.000709809
31,59.3104,0.62405,1.18443,1.13739,0.54472,0.55321,0.51507,0.39953,0.6848,2.62887,1.31339,0.000676802,0.000676802,0.000676802
32,60.9878,0.63324,1.1695,1.1323,0.48023,0.56025,0.47701,0.37335,0.6647,2.67631,1.28516,0.000643795,0.000643795,0.000643795
33,62.8817,0.53173,1.06433,1.07476,0.53105,0.5832,0.5271,0.41835,0.63244,2.47876,1.24274,0.000610789,0.000610789,0.000610789
34,64.5635,0.57998,1.12078,1.1039,0.5653,0.51298,0.5592,0.45057,0.6125,2.36166,1.21581,0.000577782,0.000577782,0.000577782
35,66.2323,0.65883,1.17881,1.19663,0.54685,0.58946,0.60146,0.49981,0.6016,2.21572,1.18751,0.000544776,0.000544776,0.000544776
36,67.924,0.62085,1.18249,1.16276,0.54689,0.66407,0.62574,0.51642,0.60555,2.10049,1.17677,0.000511769,0.000511769,0.000511769
37,69.6453,0.58555,1.19722,1.14521,0.55042,0.6458,0.61408,0.50093,0.62856,2.15606,1.204,0.000478762,0.000478762,0.000478762
38,71.3215,0.57924,1.07126,1.10498,0.48438,0.71362,0.60422,0.48129,0.63145,2.1421,1.21507,0.000445756,0.000445756,0.000445756
39,73.0217,0.60105,1.08027,1.08379,0.54824,0.73393,0.62043,0.49794,0.62636,2.0686,1.2138,0.000412749,0.000412749,0.000412749
40,74.8545,0.54326,1.00893,1.05077,0.64151,0.68007,0.67262,0.53224,0.64525,1.88369,1.23187,0.000379743,0.000379743,0.000379743
41,80.1498,0.64014,1.3898,1.19691,0.60772,0.69249,0.66566,0.52813,0.67696,1.85588,1.2638,0.000346736,0.000346736,0.000346736
42,81.8519,0.56972,1.29177,1.11756,0.57623,0.65545,0.61331,0.49131,0.70071,1.85941,1.29323,0.000313729,0.000313729,0.000313729
43,83.5863,0.52652,1.06105,1.08643,0.58218,0.65441,0.64387,0.52445,0.6933,1.83765,1.28351,0.000280723,0.000280723,0.000280723
44,85.3132,0.48298,1.10078,1.0437,0.59562,0.60876,0.63441,0.51185,0.68721,1.81324,1.27751,0.000247716,0.000247716,0.000247716
45,86.9925,0.60035,1.20746,1.14812,0.5673,0.67775,0.6343,0.51928,0.68186,1.77364,1.26637,0.00021471,0.00021471,0.00021471
46,88.7045,0.47931,1.13431,1.02825,0.64756,0.63211,0.65427,0.54297,0.67232,1.66215,1.25794,0.000181703,0.000181703,0.000181703
47,90.6275,0.42757,1.00225,0.97871,0.6464,0.68584,0.68128,0.56245,0.66678,1.56117,1.25431,0.000148696,0.000148696,0.000148696
48,92.2857,0.43874,1.04179,0.9981,0.64877,0.73135,0.71124,0.58803,0.64788,1.50261,1.22677,0.00011569,0.00011569,0.00011569
49,93.9633,0.5167,1.06174,1.07661,0.67711,0.71452,0.72342,0.59794,0.6369,1.48541,1.21285,8.26832e-05,8.26832e-05,8.26832e-05
50,95.6468,0.51652,1.11852,1.08248,0.72098,0.71209,0.72784,0.60646,0.6304,1.47368,1.20667,4.96766e-05,4.96766e-05,4.96766e-05
