epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93499,0.78494,3.37881,1.29358,0.22843,0.45968,0.33751,0.26694,0.53948,3.62408,1.06425,1.429e-05,1.429e-05,1.429e-05
2,9.38784,0.65303,3.49154,1.22227,0.23359,0.46137,0.33606,0.26643,0.54382,3.61374,1.06565,4.20212e-05,4.20212e-05,4.20212e-05
3,11.9497,0.76812,3.50241,1.3052,0.23452,0.46309,0.33499,0.26723,0.54803,3.61071,1.06653,6.86206e-05,6.86206e-05,6.86206e-05
4,14.8304,0.70635,3.11005,1.25429,0.2348,0.47187,0.36169,0.29861,0.51004,3.40539,1.04346,9.40882e-05,9.40882e-05,9.40882e-05
5,16.8289,0.66976,2.96154,1.20135,0.26718,0.46119,0.39643,0.31709,0.48094,3.00681,1.02579,0.000118424,0.000118424,0.000118424
6,18.8047,0.67531,2.53711,1.20648,0.63857,0.44228,0.42808,0.34968,0.4835,2.71705,1.03041,0.000141628,0.000141628,0.000141628
7,20.7567,0.59749,2.27459,1.16508,0.66107,0.48506,0.54497,0.47076,0.48745,2.38444,1.03398,0.000163701,0.000163701,0.000163701
8,22.7478,0.68385,2.09601,1.23586,0.44307,0.70056,0.55432,0.48646,0.48128,2.38961,1.02934,0.000184641,0.000184641,0.000184641
9,24.6657,0.67214,2.11311,1.2208,0.47556,0.63238,0.56299,0.49901,0.47713,2.36837,1.02536,0.00020445,0.00020445,0.00020445
10,26.8797,0.72298,2.359,1.28475,0.45854,0.65237,0.56574,0.49653,0.47136,2.33052,1.0132,0.000223127,0.000223127,0.000223127
11,28.8133,0.63439,1.73911,1.13041,0.44653,0.68176,0.58324,0.51231,0.47464,2.15779,1.00581,0.000240672,0.000240672,0.000240672
12,30.7692,0.5914,1.79371,1.09123,0.44738,0.71648,0.5808,0.51108,0.47522,1.99972,1.00084,0.000257086,0.000257086,0.000257086
13,32.6972,0.61989,1.84788,1.16184,0.46256,0.7294,0.5743,0.5052,0.48008,1.80937,1.00617,0.000272367,0.000272367,0.000272367
14,34.5408,0.65767,1.71157,1.1973,0.44791,0.6373,0.55822,0.48734,0.47543,1.70286,1.00358,0.000286517,0.000286517,0.000286517
15,36.4224,0.57611,1.55654,1.1044,0.45386,0.6961,0.54788,0.47886,0.46698,1.65604,0.99828,0.000299536,0.000299536,0.000299536
16,38.2711,0.56867,1.42737,1.07963,0.43159,0.66925,0.53641,0.47161,0.46655,1.6393,1.00011,0.000311422,0.000311422,0.000311422
17,40.1275,0.58766,1.49585,1.10875,0.40333,0.69182,0.50067,0.44591,0.45669,1.70953,0.99772,0.000322177,0.000322177,0.000322177
18,42.1613,0.55792,1.48372,1.11202,0.41834,0.67436,0.49114,0.44487,0.45335,1.80249,0.99403,0.0003318,0.0003318,0.0003318
19,44.0975,0.60923,1.47463,1.16155,0.38617,0.65434,0.48973,0.44579,0.45372,1.86182,0.98816,0.000340291,0.000340291,0.000340291
20,45.9461,0.55679,1.50597,1.12551,0.35715,0.71442,0.49672,0.44641,0.46459,1.77905,0.98958,0.00034765,0.00034765,0.00034765
21,47.8127,0.67136,1.7238,1.1933,0.43239,0.55824,0.5193,0.46863,0.47172,1.64853,0.99109,0.000353878,0.000353878,0.000353878
22,49.6374,0.54863,1.26664,1.05987,0.4444,0.68419,0.56644,0.50658,0.48711,1.51462,0.99962,0.000358973,0.000358973,0.000358973
23,51.4388,0.61797,1.36429,1.11133,0.51389,0.67858,0.60043,0.53386,0.48786,1.4248,1.00253,0.000362937,0.000362937,0.000362937
24,53.3165,0.55317,1.36592,1.08256,0.53055,0.70723,0.62484,0.55656,0.47598,1.3818,0.99898,0.00036577,0.00036577,0.00036577
25,55.1958,0.48481,1.34683,1.05084,0.56765,0.64585,0.62224,0.55461,0.47097,1.36033,1.002,0.00036747,0.00036747,0.00036747
26,57.0561,0.56915,1.28087,1.14759,0.60776,0.57207,0.63825,0.56537,0.47179,1.3494,1.00563,0.000368039,0.000368039,0.000368039
27,59.1896,0.48917,1.11548,1.10221,0.60173,0.5874,0.64575,0.56892,0.47621,1.35758,1.00983,0.000367476,0.000367476,0.000367476
28,61.0922,0.54572,1.17296,1.05972,0.60173,0.5874,0.64575,0.56892,0.47621,1.35758,1.00983,0.000365781,0.000365781,0.000365781
29,62.99,0.51632,1.15093,1.05594,0.60363,0.62708,0.65739,0.57605,0.50142,1.41456,1.0376,0.000362955,0.000362955,0.000362955
30,64.902,0.55142,1.22878,1.09456,0.58718,0.66404,0.65238,0.56966,0.51219,1.46398,1.05631,0.000358996,0.000358996,0.000358996
31,66.7439,0.52622,1.13237,1.07938,0.58718,0.66404,0.65238,0.56966,0.51219,1.46398,1.05631,0.000353906,0.000353906,0.000353906
32,68.5969,0.50205,1.25074,1.04623,0.54726,0.69499,0.65392,0.5701,0.51306,1.48699,1.05799,0.000347684,0.000347684,0.000347684
33,70.4455,0.5255,0.97854,1.07792,0.5288,0.66617,0.64845,0.56544,0.52274,1.50278,1.07238,0.000340331,0.000340331,0.000340331
34,72.2027,0.46174,1.05151,1.04797,0.5288,0.66617,0.64845,0.56544,0.52274,1.50278,1.07238,0.000331845,0.000331845,0.000331845
35,74.3362,0.48907,1.05791,1.02525,0.48214,0.67882,0.61526,0.53118,0.52515,1.58373,1.07305,0.000322228,0.000322228,0.000322228
36,76.1815,0.49829,1.09812,1.04582,0.47592,0.68712,0.59552,0.50773,0.5299,1.62402,1.07522,0.000311479,0.000311479,0.000311479
37,78.0122,0.4993,1.12049,1.06733,0.47592,0.68712,0.59552,0.50773,0.5299,1.62402,1.07522,0.000299598,0.000299598,0.000299598
38,79.8191,0.5475,1.0856,1.10698,0.47817,0.70964,0.59036,0.50381,0.54111,1.59204,1.07799,0.000286586,0.000286586,0.000286586
39,81.8249,0.42827,0.93769,0.95428,0.45789,0.71677,0.59416,0.50697,0.54364,1.55733,1.07288,0.000272442,0.000272442,0.000272442
40,83.8779,0.51136,1.12403,1.09329,0.45789,0.71677,0.59416,0.50697,0.54364,1.55733,1.07288,0.000257166,0.000257166,0.000257166
41,89.7317,0.4525,1.33367,1.05561,0.4951,0.66155,0.58492,0.49819,0.55128,1.53591,1.06782,0.000240758,0.000240758,0.000240758
42,91.9481,0.39822,1.21628,0.96148,0.47937,0.6516,0.56675,0.4779,0.57711,1.54831,1.09111,0.000223218,0.000223218,0.000223218
43,93.7367,0.36497,1.05124,0.97642,0.47937,0.6516,0.56675,0.4779,0.57711,1.54831,1.09111,0.000204547,0.000204547,0.000204547
44,95.6084,0.3839,1.0178,0.92723,0.50357,0.61278,0.56936,0.48624,0.57138,1.55267,1.08367,0.000184744,0.000184744,0.000184744
45,97.4066,0.35301,1.11919,0.87728,0.50357,0.61278,0.56936,0.48624,0.57138,1.55267,1.08367,0.000163809,0.000163809,0.000163809
46,99.1861,0.38384,0.96345,0.9247,0.49872,0.67161,0.57667,0.49122,0.56061,1.56121,1.07672,0.000141743,0.000141743,0.000141743
47,100.987,0.40976,1.0487,0.96719,0.49872,0.67161,0.57667,0.49122,0.56061,1.56121,1.07672,0.000118544,0.000118544,0.000118544
48,102.762,0.44053,1.00431,1.04728,0.55346,0.63689,0.59049,0.50849,0.55668,1.54638,1.07515,9.4214e-05,9.4214e-05,9.4214e-05
49,104.553,0.39009,1.11232,0.93658,0.55346,0.63689,0.59049,0.50849,0.55668,1.54638,1.07515,6.8752e-05,6.8752e-05,6.8752e-05
50,106.571,0.43301,1.08495,0.98465,0.58022,0.62693,0.59633,0.51516,0.5488,1.52628,1.07034,4.21584e-05,4.21584e-05,4.21584e-05
