epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7379,0.75329,2.64875,1.26707,0.17347,0.24744,0.25948,0.19589,0.47712,2.73856,1.00296,4.287e-05,4.287e-05,4.287e-05
2,15.5595,0.72852,2.5728,1.25474,0.37791,0.35276,0.40772,0.32423,0.45395,2.27988,0.99642,9.80494e-05,9.80494e-05,9.80494e-05
3,18.698,0.60831,2.21035,1.14675,0.29978,0.6636,0.34517,0.27918,0.4786,2.23661,1.01229,0.000150965,0.000150965,0.000150965
4,21.7798,0.66555,1.97657,1.21765,0.28219,0.72027,0.35662,0.2942,0.54455,2.3333,1.04415,0.000201618,0.000201618,0.000201618
5,24.7582,0.64569,1.80773,1.22515,0.38905,0.71952,0.45974,0.38452,0.53429,2.05653,1.0105,0.000250006,0.000250006,0.000250006
6,27.8255,0.65635,1.72521,1.15562,0.39097,0.70074,0.49542,0.43157,0.49573,1.95445,0.98734,0.000296132,0.000296132,0.000296132
7,30.8832,0.62215,1.66373,1.12739,0.30323,0.60626,0.44598,0.37474,0.51726,2.33141,1.00862,0.000339993,0.000339993,0.000339993
8,33.9129,0.68576,1.5681,1.16143,0.3404,0.56965,0.46113,0.37969,0.51489,2.60604,1.03136,0.000381592,0.000381592,0.000381592
9,36.877,0.60141,1.43686,1.14091,0.33625,0.55171,0.48727,0.40898,0.49657,2.63547,1.01251,0.000420926,0.000420926,0.000420926
10,39.8468,0.60572,1.41759,1.13024,0.41863,0.55514,0.51292,0.43137,0.59443,2.07006,1.04886,0.000457997,0.000457997,0.000457997
11,42.8561,0.66758,1.286,1.1361,0.46555,0.65099,0.51163,0.43598,0.59843,1.73249,1.07607,0.000492805,0.000492805,0.000492805
12,45.9584,0.6321,1.4624,1.10241,0.51818,0.68064,0.53892,0.45428,0.53755,1.56164,1.03189,0.000525349,0.000525349,0.000525349
13,49.0615,0.65067,1.32071,1.14425,0.4791,0.61717,0.5067,0.42706,0.55194,1.88045,1.0394,0.000555629,0.000555629,0.000555629
14,52.0292,0.61962,1.2838,1.10554,0.41583,0.66318,0.50095,0.43036,0.52394,1.91145,1.02255,0.000583646,0.000583646,0.000583646
15,55.0703,0.65646,1.22963,1.17429,0.46887,0.74307,0.61162,0.53955,0.4995,1.56393,1.00294,0.0006094,0.0006094,0.0006094
16,58.146,0.60537,1.15636,1.09253,0.53243,0.77792,0.647,0.57615,0.49794,1.35681,1.00762,0.00063289,0.00063289,0.00063289
17,61.1842,0.6128,1.15342,1.14413,0.55005,0.71215,0.6417,0.57582,0.49517,1.34869,1.01277,0.000654116,0.000654116,0.000654116
18,64.2283,0.57687,1.17505,1.1133,0.47273,0.76672,0.59524,0.53133,0.52699,1.35988,1.01547,0.000673079,0.000673079,0.000673079
19,67.2645,0.62665,1.20703,1.16736,0.47535,0.73179,0.5835,0.5094,0.54687,1.38472,1.02883,0.000689778,0.000689778,0.000689778
20,70.3059,0.57068,1.10202,1.09168,0.40486,0.67266,0.53427,0.46235,0.54419,1.57035,1.03912,0.000704214,0.000704214,0.000704214
21,73.3205,0.56367,1.02763,1.08187,0.37708,0.68975,0.49637,0.44082,0.52345,2.30136,1.02075,0.000716386,0.000716386,0.000716386
22,76.3753,0.55234,0.91738,1.07616,0.40753,0.71408,0.52029,0.45017,0.51805,1.99904,1.00949,0.000726295,0.000726295,0.000726295
23,79.3981,0.53515,1.03168,1.0554,0.38688,0.78472,0.51523,0.44897,0.51272,1.46646,1.00789,0.00073394,0.00073394,0.00073394
24,83.0096,0.60652,1.24473,1.14834,0.44135,0.65931,0.46177,0.40132,0.50408,1.45762,1.00683,0.000739322,0.000739322,0.000739322
25,86.0418,0.53139,1.00133,1.05517,0.46007,0.61629,0.42631,0.37633,0.51173,1.63042,1.01932,0.00074244,0.00074244,0.00074244
26,88.9786,0.58904,1.1856,1.10444,0.46878,0.61021,0.42686,0.37692,0.52006,1.63482,1.0368,0.000721645,0.000721645,0.000721645
27,92.02,0.59521,1.14844,1.11529,0.43154,0.78249,0.53664,0.46622,0.53789,1.36555,1.05778,0.000693351,0.000693351,0.000693351
28,95.0393,0.55203,1.06371,1.09847,0.4213,0.74919,0.56718,0.47949,0.57967,1.49123,1.1031,0.000665057,0.000665057,0.000665057
29,98.1133,0.50303,1.02552,1.05821,0.4571,0.74826,0.58436,0.49544,0.55791,1.50726,1.07752,0.000636762,0.000636762,0.000636762
30,101.165,0.53915,1.0662,1.09697,0.41273,0.79484,0.56925,0.48722,0.54036,1.31346,1.04993,0.000608468,0.000608468,0.000608468
31,104.257,0.56126,1.08529,1.12819,0.46066,0.77523,0.57774,0.50932,0.51275,1.20711,1.01531,0.000580174,0.000580174,0.000580174
32,107.28,0.54295,0.91816,1.05666,0.54505,0.67335,0.60143,0.52679,0.50668,1.17611,1.01491,0.00055188,0.00055188,0.00055188
33,110.324,0.48834,1.03413,1.02568,0.5535,0.69765,0.60935,0.54221,0.50305,1.15499,1.0184,0.000523586,0.000523586,0.000523586
34,113.399,0.48109,0.91893,1.01082,0.54959,0.6856,0.62936,0.56045,0.48905,1.15292,1.01045,0.000495291,0.000495291,0.000495291
35,116.462,0.52861,0.96642,1.06985,0.49013,0.71868,0.61967,0.55236,0.48853,1.18025,0.9965,0.000466997,0.000466997,0.000466997
36,119.493,0.51428,0.93934,1.08388,0.50915,0.68149,0.63027,0.55162,0.51609,1.17426,1.00256,0.000438703,0.000438703,0.000438703
37,122.543,0.52427,0.89166,1.06521,0.50046,0.69685,0.64571,0.56383,0.53324,1.16583,1.00067,0.000410409,0.000410409,0.000410409
38,125.606,0.53553,0.89774,1.05426,0.5013,0.71899,0.67405,0.58575,0.51639,1.1276,0.99619,0.000382115,0.000382115,0.000382115
