epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5812,0.62254,2.96531,1.18638,0.51455,0.17338,0.22178,0.19857,0.45605,2.58744,0.9427,0.00011432,0.00011432,0.00011432
2,14.2873,0.57589,2.76755,1.12056,0.24557,0.21127,0.28713,0.24682,0.47013,2.31884,0.9606,0.00023812,0.00023812,0.00023812
3,16.9165,0.59717,2.59862,1.11393,0.23388,0.23474,0.32494,0.28192,0.46575,2.14519,0.95848,0.000356827,0.000356827,0.000356827
4,19.4016,0.59965,2.44471,1.10079,0.28733,0.31914,0.31458,0.26448,0.5011,2.26733,1.00764,0.000470441,0.000470441,0.000470441
5,21.9106,0.63381,2.14578,1.17369,0.30601,0.52404,0.43263,0.37105,0.52407,2.22836,0.99903,0.000578962,0.000578962,0.000578962
6,24.4036,0.62439,1.905,1.16771,0.3608,0.4546,0.41466,0.35641,0.56028,2.17263,1.04605,0.00068239,0.00068239,0.00068239
7,26.8343,0.6613,1.70241,1.166,0.40158,0.44085,0.40739,0.34302,0.55905,2.03351,1.04535,0.000780726,0.000780726,0.000780726
8,29.2933,0.65543,1.60652,1.16943,0.32868,0.70642,0.49432,0.41686,0.56626,2.01593,1.03047,0.000873968,0.000873968,0.000873968
9,31.7236,0.65595,1.61224,1.17862,0.60736,0.66628,0.63726,0.53817,0.55824,1.50091,1.00102,0.000962117,0.000962117,0.000962117
10,34.38,0.60741,1.4659,1.12543,0.5682,0.69939,0.62536,0.53341,0.53523,1.43936,1.01009,0.00104517,0.00104517,0.00104517
11,36.7534,0.61237,1.50174,1.11541,0.559,0.71866,0.63442,0.54359,0.53693,1.42414,1.01048,0.00112314,0.00112314,0.00112314
12,39.1346,0.58969,1.40664,1.08502,0.51295,0.58848,0.51875,0.44064,0.56752,1.68763,1.05171,0.00111776,0.00111776,0.00111776
13,41.4799,0.58192,1.37139,1.09629,0.64824,0.60924,0.69475,0.60795,0.54513,1.56006,1.06665,0.00108947,0.00108947,0.00108947
14,43.8965,0.57816,1.35702,1.10232,0.69268,0.61751,0.67983,0.57683,0.58183,1.44744,1.06376,0.00106118,0.00106118,0.00106118
15,46.2786,0.57013,1.28956,1.06961,0.60275,0.64132,0.699,0.57751,0.5404,1.37186,1.01477,0.00103288,0.00103288,0.00103288
16,48.7287,0.59307,1.22911,1.08451,0.6924,0.69431,0.74034,0.63294,0.50614,1.57121,0.98084,0.00100459,0.00100459,0.00100459
17,51.336,0.6076,1.21468,1.11746,0.77089,0.6426,0.78014,0.68943,0.49028,1.57855,0.96153,0.000976293,0.000976293,0.000976293
18,53.8494,0.57773,1.12894,1.0782,0.77527,0.63853,0.80725,0.72196,0.48757,1.49817,0.95457,0.000947999,0.000947999,0.000947999
19,56.2605,0.56666,1.09244,1.06082,0.73722,0.61889,0.75325,0.64875,0.51374,1.67557,0.97165,0.000919704,0.000919704,0.000919704
20,58.6664,0.56696,1.09902,1.06745,0.692,0.64832,0.69966,0.59723,0.54304,1.79906,1.00276,0.00089141,0.00089141,0.00089141
21,61.03,0.5848,1.14258,1.06891,0.75324,0.58868,0.73328,0.63825,0.56708,1.61988,1.0649,0.000863116,0.000863116,0.000863116
22,63.4436,0.57775,1.05176,1.07527,0.57751,0.69823,0.69111,0.60616,0.56604,1.55722,1.05693,0.000834822,0.000834822,0.000834822
23,65.8455,0.52983,1.07471,1.05551,0.58852,0.64201,0.71153,0.62218,0.52307,1.45402,1.00939,0.000806528,0.000806528,0.000806528
24,68.3123,0.54815,1.02464,1.06394,0.73444,0.5991,0.69856,0.59778,0.47256,1.51533,1.0127,0.000778233,0.000778233,0.000778233
25,70.9928,0.54174,1.05022,1.07144,0.8008,0.70509,0.78411,0.68162,0.47404,1.26909,1.01014,0.000749939,0.000749939,0.000749939
26,73.3627,0.5743,1.08905,1.08472,0.74677,0.64876,0.72572,0.62038,0.52969,1.34941,1.02168,0.000721645,0.000721645,0.000721645
27,75.7158,0.51226,0.99332,1.05619,0.7403,0.67503,0.70672,0.62316,0.47539,1.3049,0.97474,0.000693351,0.000693351,0.000693351
