epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4631,0.56601,3.9148,1.13888,0.42393,0.40721,0.15521,0.11472,0.4775,4.84067,1.0219,8.574e-05,8.574e-05,8.574e-05
2,16.9607,0.55941,3.00401,1.09198,0.26274,0.64498,0.31761,0.26984,0.46118,3.5881,1.01887,0.000182092,0.000182092,0.000182092
3,21.3389,0.57168,2.40018,1.12262,0.25935,0.61582,0.31385,0.27074,0.4698,2.5604,0.99864,0.000274482,0.000274482,0.000274482
4,24.4259,0.53072,1.97957,1.04673,0.26681,0.7407,0.28995,0.26176,0.4346,2.14157,0.97847,0.000362912,0.000362912,0.000362912
5,27.5048,0.53902,2.05744,1.09989,0.24455,0.65805,0.31109,0.2747,0.57224,2.05117,1.10114,0.00044738,0.00044738,0.00044738
6,30.5067,0.58075,1.84722,1.10381,0.22541,0.72284,0.35206,0.31206,0.52115,1.80065,1.06746,0.000527887,0.000527887,0.000527887
7,33.4916,0.64587,1.89419,1.17029,0.28021,0.66644,0.34965,0.31346,0.50368,1.77713,1.03547,0.000604433,0.000604433,0.000604433
8,36.4365,0.61093,1.66174,1.10909,0.2565,0.6605,0.35037,0.31014,0.50243,1.76369,1.03216,0.000677017,0.000677017,0.000677017
9,39.4007,0.59425,1.55342,1.11165,0.21408,0.78978,0.30265,0.25872,0.61068,2.03132,1.17197,0.000745641,0.000745641,0.000745641
10,42.584,0.64275,1.67918,1.1582,0.25516,0.76078,0.34056,0.28378,0.60617,1.732,1.1256,0.000810303,0.000810303,0.000810303
11,45.5227,0.58637,1.51573,1.09373,0.26886,0.80096,0.36113,0.31041,0.61553,1.82751,1.12635,0.000871004,0.000871004,0.000871004
12,48.4584,0.58981,1.42894,1.07367,0.29748,0.56682,0.35219,0.29835,0.6068,2.37374,1.13113,0.000927744,0.000927744,0.000927744
13,51.3266,0.6264,1.47461,1.14044,0.28828,0.71474,0.36935,0.3187,0.59507,1.97335,1.11849,0.000980523,0.000980523,0.000980523
14,54.2876,0.57476,1.41375,1.0833,0.31961,0.67543,0.38914,0.32761,0.63675,1.64429,1.14124,0.00102934,0.00102934,0.00102934
15,57.3455,0.6171,1.36768,1.10449,0.23943,0.7175,0.34745,0.30457,0.49518,1.98925,1.0222,0.00103288,0.00103288,0.00103288
16,60.2666,0.60802,1.34798,1.12441,0.28396,0.73371,0.34758,0.29735,0.53558,2.3228,1.02795,0.00100459,0.00100459,0.00100459
17,63.367,0.57507,1.27758,1.0786,0.31564,0.74686,0.36095,0.31441,0.55278,2.22125,1.04411,0.000976293,0.000976293,0.000976293
18,66.1259,0.61507,1.3203,1.09842,0.27594,0.7702,0.38254,0.33592,0.52008,1.74131,1.03199,0.000947999,0.000947999,0.000947999
19,68.9825,0.57856,1.216,1.06541,0.30079,0.68593,0.38526,0.33019,0.59022,2.00519,1.11566,0.000919704,0.000919704,0.000919704
20,71.8097,0.58792,1.23255,1.06757,0.29772,0.64207,0.34421,0.28802,0.57965,1.93223,1.13093,0.00089141,0.00089141,0.00089141
21,74.6238,0.58739,1.16725,1.09153,0.37169,0.60879,0.37809,0.32327,0.59071,1.70979,1.14541,0.000863116,0.000863116,0.000863116
22,77.3803,0.5728,1.14655,1.09742,0.35587,0.60772,0.43548,0.36609,0.55412,1.68181,1.10184,0.000834822,0.000834822,0.000834822
23,80.1695,0.53745,1.07877,1.05167,0.3204,0.68528,0.45482,0.38818,0.56063,1.67549,1.07895,0.000806528,0.000806528,0.000806528
24,83.3432,0.52573,1.12221,1.05035,0.31692,0.64447,0.41476,0.35019,0.57569,1.8878,1.11185,0.000778233,0.000778233,0.000778233
25,86.3206,0.5812,1.09742,1.08607,0.32848,0.63608,0.36075,0.29109,0.67735,2.39377,1.19859,0.000749939,0.000749939,0.000749939
26,89.1335,0.55804,1.03036,1.07779,0.26016,0.69599,0.40811,0.31174,0.60265,1.95091,1.11973,0.000721645,0.000721645,0.000721645
27,91.9013,0.56601,1.17083,1.07163,0.24507,0.66573,0.4492,0.37683,0.55092,1.73452,1.07385,0.000693351,0.000693351,0.000693351
28,94.775,0.51356,1.05671,1.05596,0.4258,0.51454,0.43972,0.38271,0.53386,1.82627,1.06182,0.000665057,0.000665057,0.000665057
29,97.4542,0.50041,1.01718,1.01604,0.46635,0.31721,0.3063,0.25459,0.615,2.28211,1.10592,0.000636762,0.000636762,0.000636762
30,100.28,0.52143,0.91751,1.06033,0.51093,0.50318,0.48092,0.41963,0.49544,1.78665,1.03974,0.000608468,0.000608468,0.000608468
31,103.117,0.52838,0.96956,1.06638,0.56836,0.63863,0.66991,0.59549,0.48512,1.30398,1.04117,0.000580174,0.000580174,0.000580174
32,105.905,0.54728,0.97948,1.08056,0.64282,0.61523,0.6728,0.59882,0.49033,1.29051,1.03869,0.00055188,0.00055188,0.00055188
33,108.959,0.52616,0.92028,1.03933,0.65746,0.60996,0.66035,0.58554,0.47843,1.35131,1.02854,0.000523586,0.000523586,0.000523586
34,111.796,0.51695,0.87914,1.04914,0.7127,0.6132,0.69061,0.60469,0.46201,1.12835,1.04676,0.000495291,0.000495291,0.000495291
35,115.257,0.45619,0.83602,1.02194,0.69655,0.6234,0.71313,0.62505,0.49983,1.10852,1.0747,0.000466997,0.000466997,0.000466997
36,118.142,0.50797,0.89079,1.08372,0.74975,0.5985,0.72807,0.6415,0.5202,1.13116,1.05439,0.000438703,0.000438703,0.000438703
