epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6524,0.93752,3.09592,1.58987,0.29435,0.38578,0.2613,0.18092,0.95856,2.79707,1.54164,8.574e-05,8.574e-05,8.574e-05
2,11.6882,0.88241,2.21575,1.38499,0.40997,0.57447,0.45485,0.35718,0.85607,5.16724,1.34953,0.000182092,0.000182092,0.000182092
3,14.2612,0.92404,1.94707,1.40109,0.45827,0.50509,0.50326,0.38254,0.82874,4.9235,1.54768,0.000274482,0.000274482,0.000274482
4,16.736,0.87991,1.8409,1.33222,0.4181,0.55513,0.47399,0.36208,0.815,3.38482,1.59169,0.000362912,0.000362912,0.000362912
5,19.1675,0.85293,1.70263,1.35778,0.48085,0.51897,0.4617,0.3684,0.87148,3.21192,1.61148,0.00044738,0.00044738,0.00044738
6,21.5504,0.94359,1.90271,1.3696,0.32234,0.55331,0.35847,0.26901,0.86384,6.82466,1.63996,0.000527887,0.000527887,0.000527887
7,23.9251,0.87362,1.66152,1.33671,0.50304,0.57925,0.55863,0.42549,0.88117,3.59455,1.86855,0.000604433,0.000604433,0.000604433
8,26.261,0.90304,1.49573,1.34963,0.47815,0.58781,0.49764,0.34605,0.91416,5.37556,1.91569,0.000677017,0.000677017,0.000677017
9,28.6041,0.9424,1.48965,1.36652,0.50144,0.45009,0.44645,0.33704,0.82709,2.85154,1.60979,0.000745641,0.000745641,0.000745641
10,30.917,0.91318,1.50319,1.35225,0.36245,0.60309,0.4687,0.33063,0.88094,3.80168,1.6419,0.000810303,0.000810303,0.000810303
11,33.2557,0.90297,1.45966,1.34339,0.60116,0.37322,0.35686,0.26018,0.8812,4.45883,1.70991,0.000871004,0.000871004,0.000871004
12,35.8301,0.94245,1.47859,1.36139,0.31122,0.40236,0.40796,0.30473,0.78586,5.35586,1.44154,0.000927744,0.000927744,0.000927744
13,38.1394,0.86696,1.39419,1.31699,0.64387,0.44236,0.37089,0.29047,0.74845,5.72124,1.37641,0.000980523,0.000980523,0.000980523
14,40.5351,0.85068,1.39824,1.29371,0.61147,0.51046,0.52802,0.40762,0.76672,3.13252,1.49835,0.00102934,0.00102934,0.00102934
15,43.4389,0.87177,1.37745,1.30138,0.58078,0.47706,0.48395,0.37498,0.77327,3.58833,1.48532,0.00103288,0.00103288,0.00103288
16,45.7539,0.88386,1.35854,1.32612,0.54875,0.48573,0.49188,0.38674,0.76427,2.94032,1.37765,0.00100459,0.00100459,0.00100459
