epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52736,1.11179,3.25841,1.56107,0.00546,0.91508,0.11021,0.06654,0.94524,3.12765,1.52802,8.574e-05,8.574e-05,8.574e-05
2,13.3643,1.04005,3.12935,1.43762,0.00542,0.92447,0.22236,0.11453,0.99106,3.0765,1.57795,0.000182092,0.000182092,0.000182092
3,15.2693,1.09379,2.98807,1.46585,0.00528,0.91508,0.24864,0.17539,0.78157,3.03622,1.27525,0.000274482,0.000274482,0.000274482
4,17.1443,1.05864,2.87047,1.41092,0.00549,0.94325,0.26584,0.18626,0.77409,2.98122,1.28609,0.000362912,0.000362912,0.000362912
5,19.1884,1.06738,2.77033,1.4722,0.00554,0.95305,0.32222,0.24772,0.75582,2.9252,1.2549,0.00044738,0.00044738,0.00044738
6,21.0337,1.10681,2.69808,1.46051,0.00547,0.95264,0.27802,0.20424,0.8216,2.89954,1.25488,0.000527887,0.000527887,0.000527887
7,22.92,1.02023,2.55749,1.43081,0.00545,0.94794,0.35859,0.26849,0.79394,2.75278,1.26023,0.000604433,0.000604433,0.000604433
8,24.771,1.02534,2.4586,1.38036,0.32103,0.43735,0.35132,0.26422,0.78388,2.68694,1.24904,0.000677017,0.000677017,0.000677017
9,26.6512,1.07146,2.35383,1.4034,0.68073,0.18096,0.36774,0.28426,0.84038,2.51416,1.25279,0.000745641,0.000745641,0.000745641
10,28.408,1.09754,2.27745,1.45108,0.4944,0.41156,0.41405,0.30277,0.88934,2.38302,1.31773,0.000810303,0.000810303,0.000810303
11,30.2015,1.02221,2.20549,1.36036,0.39966,0.43978,0.39399,0.24766,0.96652,2.43783,1.43893,0.000871004,0.000871004,0.000871004
12,32.0521,1.04067,2.11947,1.37494,0.41894,0.60339,0.45463,0.33919,0.97272,2.25578,1.45977,0.000927744,0.000927744,0.000927744
13,34.0247,0.99212,1.98378,1.36722,0.41828,0.55357,0.49404,0.37644,0.94823,2.21163,1.45124,0.000980523,0.000980523,0.000980523
14,35.953,0.95926,2.0036,1.32688,0.41318,0.5304,0.44701,0.35607,0.85738,2.27547,1.33499,0.00102934,0.00102934,0.00102934
15,37.8369,1.00663,2.02547,1.32547,0.3299,0.54015,0.40441,0.31009,0.84858,2.48079,1.39628,0.00103288,0.00103288,0.00103288
16,39.6878,1.0338,1.9812,1.36657,0.37412,0.6428,0.46494,0.35371,0.90256,2.55849,1.43654,0.00100459,0.00100459,0.00100459
17,41.4264,0.97784,1.90074,1.32567,0.3654,0.61998,0.47925,0.36754,0.84254,2.36845,1.31684,0.000976293,0.000976293,0.000976293
18,43.2033,0.97937,1.87494,1.3186,0.50388,0.42624,0.44618,0.31553,0.90465,2.18604,1.32165,0.000947999,0.000947999,0.000947999
19,45.0222,0.95626,1.89197,1.2974,0.48217,0.52628,0.50201,0.39204,0.87295,1.95718,1.28154,0.000919704,0.000919704,0.000919704
20,46.804,1.00967,1.87096,1.32787,0.54341,0.48966,0.53883,0.38583,0.94394,1.94116,1.3953,0.00089141,0.00089141,0.00089141
21,48.5765,0.95923,1.73672,1.30768,0.51279,0.52843,0.53383,0.38313,0.91524,1.9646,1.37137,0.000863116,0.000863116,0.000863116
22,50.316,0.94348,1.84159,1.32271,0.48235,0.55953,0.52686,0.40095,0.84849,1.9572,1.29768,0.000834822,0.000834822,0.000834822
23,52.1154,0.94342,1.82443,1.28124,0.45556,0.58923,0.50749,0.38782,0.83527,2.17044,1.28364,0.000806528,0.000806528,0.000806528
24,54.0967,0.94973,1.75709,1.26317,0.3993,0.61055,0.49053,0.37231,0.85304,2.36583,1.33544,0.000778233,0.000778233,0.000778233
25,55.8303,0.95303,1.73417,1.28346,0.41374,0.63625,0.56379,0.42822,0.86666,2.07793,1.35491,0.000749939,0.000749939,0.000749939
26,57.598,0.92501,1.66994,1.28519,0.60072,0.51285,0.57725,0.44964,0.87902,1.88557,1.2871,0.000721645,0.000721645,0.000721645
27,59.3438,0.95737,1.7161,1.29199,0.46024,0.62679,0.55249,0.4159,0.87913,2.0419,1.29602,0.000693351,0.000693351,0.000693351
28,61.1012,0.89287,1.67845,1.2558,0.35973,0.66606,0.54592,0.43062,0.82032,2.03046,1.2366,0.000665057,0.000665057,0.000665057
29,62.8455,0.85097,1.64941,1.21931,0.38042,0.64943,0.55357,0.43406,0.83076,2.02645,1.21932,0.000636762,0.000636762,0.000636762
30,64.7781,0.86325,1.57048,1.22547,0.5518,0.52735,0.58745,0.45921,0.86965,1.89487,1.21277,0.000608468,0.000608468,0.000608468
31,66.5212,0.90216,1.73204,1.26546,0.49696,0.56809,0.57652,0.4669,0.80832,1.86884,1.19773,0.000580174,0.000580174,0.000580174
32,68.22,0.92451,1.70495,1.28432,0.45074,0.62692,0.58577,0.4731,0.80286,1.79807,1.20289,0.00055188,0.00055188,0.00055188
33,69.958,0.83814,1.60204,1.22591,0.48741,0.5889,0.59207,0.48791,0.79236,1.75091,1.19148,0.000523586,0.000523586,0.000523586
34,71.9601,0.84524,1.57548,1.2207,0.56,0.6177,0.61281,0.4987,0.83609,1.67553,1.18895,0.000495291,0.000495291,0.000495291
35,73.7268,0.84271,1.57161,1.22185,0.55615,0.63675,0.60049,0.4975,0.79365,1.64567,1.15355,0.000466997,0.000466997,0.000466997
36,75.4787,0.84974,1.53567,1.25809,0.53781,0.59884,0.61202,0.50524,0.79397,1.68245,1.15967,0.000438703,0.000438703,0.000438703
37,77.2159,0.84448,1.52957,1.22099,0.54325,0.6016,0.60903,0.50201,0.78598,1.68377,1.15593,0.000410409,0.000410409,0.000410409
38,78.9823,0.89941,1.59328,1.26207,0.58393,0.58342,0.62275,0.52275,0.76797,1.6674,1.15785,0.000382115,0.000382115,0.000382115
39,80.692,0.8421,1.46495,1.22737,0.60176,0.56359,0.62327,0.53388,0.76466,1.68584,1.16704,0.00035382,0.00035382,0.00035382
40,82.4617,0.85351,1.54459,1.20383,0.67003,0.48875,0.60726,0.52254,0.76253,1.7019,1.17761,0.000325526,0.000325526,0.000325526
41,98.6133,0.75428,1.78315,1.19704,0.5453,0.60773,0.60148,0.51792,0.7691,1.72668,1.17978,0.000297232,0.000297232,0.000297232
42,100.459,0.69955,1.61582,1.13117,0.57438,0.57611,0.59403,0.48531,0.84906,1.81073,1.24563,0.000268938,0.000268938,0.000268938
43,102.25,0.71398,1.60988,1.12638,0.59131,0.55781,0.5856,0.4729,0.86428,1.89091,1.25567,0.000240644,0.000240644,0.000240644
44,103.99,0.68411,1.59969,1.10375,0.59411,0.54384,0.60654,0.50897,0.78978,1.83527,1.19126,0.000212349,0.000212349,0.000212349
45,105.74,0.7369,1.59244,1.15672,0.63451,0.54423,0.6171,0.52626,0.7534,1.75425,1.14556,0.000184055,0.000184055,0.000184055
46,107.772,0.70583,1.52064,1.14634,0.59427,0.57257,0.61637,0.5328,0.68181,1.66679,1.0952,0.000155761,0.000155761,0.000155761
47,109.544,0.64667,1.45849,1.08561,0.57917,0.58505,0.60484,0.52527,0.66149,1.63655,1.07943,0.000127467,0.000127467,0.000127467
48,111.322,0.65234,1.45383,1.06731,0.56776,0.59991,0.61001,0.53194,0.64798,1.61759,1.07063,9.91726e-05,9.91726e-05,9.91726e-05
49,113.026,0.63271,1.41127,1.07134,0.56609,0.60088,0.61559,0.53701,0.64362,1.60988,1.06977,7.08784e-05,7.08784e-05,7.08784e-05
50,114.819,0.66235,1.44911,1.10732,0.62345,0.57913,0.61973,0.54291,0.6362,1.60177,1.06371,4.25842e-05,4.25842e-05,4.25842e-05
