Scheme,Scheme_Label,K,Size,mAP50,mAP50-95
S1,Scheme 1,5,medium,0.43405,0.38401
S1,Scheme 1,10,medium,0.59437,0.50913
S1,Scheme 1,15,medium,0.60541,0.54055
S1,Scheme 1,20,medium,0.69303,0.62809
S1,Scheme 1,25,medium,0.70344,0.63628
S1,Scheme 1,30,medium,0.81864,0.74128
S1,Scheme 1,35,medium,0.8096,0.73431
S1,Scheme 1,40,medium,0.84771,0.76646
S1,Scheme 1,45,medium,0.81773,0.74049
S1,Scheme 1,50,medium,0.81649,0.75554
S2,Scheme 2,5,medium,0.28191,0.24566
S2,Scheme 2,10,medium,0.47492,0.40383
S2,Scheme 2,15,medium,0.48581,0.42447
S2,Scheme 2,20,medium,0.50912,0.43173
S2,Scheme 2,25,medium,0.45342,0.3966
S2,Scheme 2,30,medium,0.57196,0.51931
S2,Scheme 2,35,medium,0.71163,0.65785
S2,Scheme 2,40,medium,0.64945,0.55538
S2,Scheme 2,45,medium,0.74885,0.66654
S2,Scheme 2,50,medium,0.7861,0.72679
S3,Scheme 3,5,medium,0.2765,0.21907
S3,Scheme 3,10,medium,0.61268,0.49977
S3,Scheme 3,15,medium,0.61327,0.51306
S3,Scheme 3,20,medium,0.66526,0.55341
S3,Scheme 3,25,medium,0.60325,0.50927
S3,Scheme 3,30,medium,0.68935,0.5909
S3,Scheme 3,35,medium,0.70009,0.60576
S3,Scheme 3,40,medium,0.61476,0.51661
S3,Scheme 3,45,medium,0.69291,0.60687
S3,Scheme 3,50,medium,0.73845,0.63977
S1,Scheme 1,5,nano,0.28789,0.24197
S1,Scheme 1,10,nano,0.46729,0.40607
S1,Scheme 1,15,nano,0.67295,0.60206
S1,Scheme 1,20,nano,0.65004,0.56484
S1,Scheme 1,25,nano,0.6963,0.61874
S1,Scheme 1,30,nano,0.78459,0.71671
S1,Scheme 1,35,nano,0.82119,0.74933
S1,Scheme 1,40,nano,0.81445,0.72624
S1,Scheme 1,45,nano,0.8677,0.78077
S1,Scheme 1,50,nano,0.78454,0.71885
S2,Scheme 2,5,nano,0.21955,0.19643
S2,Scheme 2,10,nano,0.406,0.35714
S2,Scheme 2,15,nano,0.62314,0.57794
S2,Scheme 2,20,nano,0.59901,0.52069
S2,Scheme 2,25,nano,0.51323,0.45235
S2,Scheme 2,30,nano,0.69902,0.63375
S2,Scheme 2,35,nano,0.76306,0.6976
S2,Scheme 2,40,nano,0.77563,0.69158
S2,Scheme 2,45,nano,0.79996,0.71935
S2,Scheme 2,50,nano,0.81245,0.7344
S3,Scheme 3,5,nano,0.30688,0.23239
S3,Scheme 3,10,nano,0.48298,0.37776
S3,Scheme 3,15,nano,0.58371,0.44441
S3,Scheme 3,20,nano,0.50662,0.38868
S3,Scheme 3,25,nano,0.54256,0.422
S3,Scheme 3,30,nano,0.62072,0.5289
S3,Scheme 3,35,nano,0.61973,0.54291
S3,Scheme 3,40,nano,0.64389,0.54598
S3,Scheme 3,45,nano,0.62397,0.52525
S3,Scheme 3,50,nano,0.74179,0.61358
S1,Scheme 1,5,small,0.51853,0.4664
S1,Scheme 1,10,small,0.59633,0.51516
S1,Scheme 1,15,small,0.74407,0.67367
S1,Scheme 1,20,small,0.7408,0.67597
S1,Scheme 1,25,small,0.749,0.67774
S1,Scheme 1,30,small,0.8031,0.7523
S1,Scheme 1,35,small,0.84009,0.76447
S1,Scheme 1,40,small,0.8122,0.73184
S1,Scheme 1,45,small,0.85678,0.76811
S1,Scheme 1,50,small,0.82838,0.7633
S2,Scheme 2,5,small,0.31634,0.2934
S2,Scheme 2,10,small,0.37442,0.31317
S2,Scheme 2,15,small,0.57205,0.51497
S2,Scheme 2,20,small,0.54348,0.48329
S2,Scheme 2,25,small,0.55053,0.48581
S2,Scheme 2,30,small,0.78025,0.72101
S2,Scheme 2,35,small,0.81301,0.74213
S2,Scheme 2,40,small,0.81364,0.7405
S2,Scheme 2,45,small,0.7904,0.71625
S2,Scheme 2,50,small,0.81182,0.75027
S3,Scheme 3,5,small,0.46153,0.36307
S3,Scheme 3,10,small,0.58913,0.46945
S3,Scheme 3,15,small,0.68153,0.54521
S3,Scheme 3,20,small,0.74324,0.62666
S3,Scheme 3,25,small,0.68748,0.59432
S3,Scheme 3,30,small,0.71973,0.6263
S3,Scheme 3,35,small,0.7315,0.64834
S3,Scheme 3,40,small,0.76402,0.65888
S3,Scheme 3,45,small,0.72759,0.63938
S3,Scheme 3,50,small,0.78575,0.69256
