epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.1011,1.09015,2.64805,1.62577,0.85942,0.34455,0.3903,0.32293,0.6986,2.0849,1.43781,0.0006,0.0002,0.0006,0.0002,0.0006,0.0002,0.0006,0.0002
2,22.0487,0.76455,1.81833,1.33108,0.78649,0.70423,0.80388,0.731,0.43196,1.06335,1.0536,0.00124753,0.000415842,0.00124753,0.000415842,0.00124753,0.000415842,0.00124753,0.000415842
3,27.4384,0.63916,1.05529,1.21659,0.73807,0.91284,0.91057,0.83461,0.39492,0.92297,1.00579,0.00188198,0.000627328,0.00188198,0.000627328,0.00188198,0.000627328,0.00188198,0.000627328
4,32.6029,0.59162,0.79907,1.15145,0.90387,0.79465,0.93496,0.85669,0.38341,0.61346,0.98396,0.00250337,0.000834458,0.00250337,0.000834458,0.00250337,0.000834458,0.00250337,0.000834458
5,37.6265,0.52441,0.69369,1.09058,0.87798,0.88732,0.96105,0.88657,0.39111,0.50514,0.97876,0.0031117,0.00103723,0.0031117,0.00103723,0.0031117,0.00103723,0.0031117,0.00103723
6,42.4931,0.51593,0.62498,1.06684,0.91119,0.86714,0.95587,0.88367,0.36501,0.48892,0.94296,0.00370695,0.00123565,0.00370695,0.00123565,0.00370695,0.00123565,0.00370695,0.00123565
7,47.1365,0.4827,0.56734,1.0461,0.89038,0.91524,0.95748,0.89035,0.36037,0.46713,0.91575,0.00428914,0.00142971,0.00428914,0.00142971,0.00428914,0.00142971,0.00428914,0.00142971
8,52.0303,0.48583,0.55764,1.04595,0.88994,0.85915,0.94967,0.87211,0.40101,0.46645,0.95866,0.00485825,0.00161942,0.00485825,0.00161942,0.00485825,0.00161942,0.00485825,0.00161942
9,56.5085,0.47767,0.51191,1.02219,0.86947,0.85915,0.9192,0.81895,0.40188,0.58172,0.95946,0.0054143,0.00180477,0.0054143,0.00180477,0.0054143,0.00180477,0.0054143,0.00180477
10,61.1149,0.47505,0.5069,1.02945,0.91931,0.8023,0.9383,0.85512,0.39305,0.52739,0.93589,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,65.7228,0.49725,0.49955,1.03879,0.9121,0.83099,0.93509,0.85025,0.39566,0.52139,0.96557,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,70.3841,0.47965,0.47171,1.02688,0.8278,0.90141,0.92914,0.85966,0.38711,0.48025,0.94418,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,74.8663,0.45349,0.44678,0.99133,0.89043,0.84507,0.93068,0.85572,0.39768,0.4849,0.93084,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,79.4821,0.45071,0.43039,1.00709,0.91241,0.88031,0.92331,0.84604,0.36862,0.4904,0.91495,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,84.1339,0.44162,0.41977,1.00716,0.90195,0.8169,0.92827,0.8723,0.38454,0.51954,0.92458,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,88.7828,0.45067,0.39223,0.99577,0.84117,0.84507,0.93056,0.87071,0.39133,0.51606,0.93536,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,93.2645,0.46059,0.42887,1.01314,0.83649,0.87324,0.93962,0.87459,0.39396,0.51447,0.92108,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,97.8932,0.43428,0.3964,0.99436,0.88419,0.86029,0.94516,0.88612,0.38199,0.49338,0.91375,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,102.523,0.42923,0.38678,0.98393,0.83546,0.91549,0.93373,0.84955,0.39665,0.50244,0.92492,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,107.171,0.43714,0.38642,0.99385,0.8547,0.87324,0.94822,0.88196,0.38801,0.4595,0.93079,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,111.664,0.42043,0.36314,0.97272,0.84387,0.91355,0.94769,0.85915,0.445,0.45297,0.96612,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,116.29,0.4333,0.35616,0.98305,0.92255,0.83895,0.95204,0.86306,0.438,0.43597,0.9801,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,120.919,0.43037,0.38129,0.98528,0.87561,0.87324,0.94465,0.86899,0.42553,0.48779,0.96781,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,125.555,0.41549,0.38094,0.982,0.91012,0.87324,0.94979,0.85022,0.44041,0.49625,0.98305,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,130.025,0.40566,0.34164,0.98019,0.92401,0.85639,0.94933,0.86407,0.43656,0.48492,0.9674,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,134.667,0.41931,0.37177,0.98451,0.92047,0.84507,0.90963,0.84412,0.43587,0.51575,0.97028,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,139.311,0.40538,0.34636,0.96451,0.8822,0.87324,0.91372,0.84831,0.41368,0.4872,0.97149,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,143.985,0.41677,0.36042,0.98529,0.86123,0.88732,0.91803,0.83112,0.42044,0.51218,1.01225,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,148.461,0.39978,0.34131,0.96751,0.87015,0.84949,0.90984,0.83512,0.40828,0.52064,0.98065,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,153.06,0.41617,0.36678,0.98465,0.887,0.78873,0.9033,0.84535,0.40478,0.5397,0.97807,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,157.724,0.3852,0.34403,0.96813,0.92137,0.8253,0.9088,0.83679,0.40407,0.51401,0.96244,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,162.403,0.39254,0.34146,0.99242,0.93508,0.81148,0.90782,0.83252,0.41226,0.51012,0.99337,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,166.952,0.38589,0.33742,0.9744,0.87602,0.87324,0.90028,0.83161,0.43156,0.49462,1.00383,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,171.582,0.37398,0.32892,0.95937,0.89769,0.85915,0.91229,0.85661,0.42387,0.4691,0.99873,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,176.216,0.39092,0.31319,0.96767,0.92752,0.8169,0.91402,0.85991,0.41569,0.52458,0.97138,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,180.853,0.38499,0.32583,0.96813,0.86771,0.87324,0.92596,0.86499,0.40795,0.49882,0.96342,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,185.309,0.36357,0.31847,0.9485,0.88512,0.86818,0.92948,0.867,0.41933,0.45668,0.97725,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,189.937,0.36664,0.30866,0.95324,0.88435,0.88732,0.93927,0.87755,0.43673,0.42432,1.00985,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,194.615,0.34763,0.30863,0.94513,0.95382,0.87272,0.9459,0.87473,0.42483,0.40339,0.97721,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,199.271,0.39136,0.32266,0.97799,0.92509,0.86969,0.93562,0.87157,0.41583,0.4294,0.96661,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,203.749,0.37326,0.31528,0.97022,0.84176,0.90141,0.92534,0.8635,0.43637,0.4726,0.95962,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,208.361,0.37662,0.31875,0.97268,0.86898,0.87324,0.91612,0.86212,0.38128,0.52547,0.94794,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,213.02,0.39015,0.33666,0.97968,0.88106,0.83473,0.9146,0.84598,0.43702,0.60206,0.99457,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,217.687,0.36802,0.31656,0.9572,0.87458,0.78873,0.90331,0.8297,0.43171,0.70946,0.98393,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,222.162,0.38222,0.32518,0.96721,0.86688,0.80282,0.9197,0.85118,0.41291,0.57421,0.9729,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,226.801,0.34362,0.28058,0.94722,0.82074,0.90141,0.92673,0.85878,0.39817,0.54158,0.97025,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,231.424,0.35758,0.29218,0.95244,0.83605,0.87324,0.92215,0.85331,0.38848,0.5038,0.96059,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,236.056,0.35064,0.2905,0.9438,0.88004,0.84507,0.92971,0.86638,0.39927,0.48003,0.95405,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,240.496,0.36576,0.29167,0.96138,0.85677,0.87324,0.93773,0.87034,0.40365,0.45779,0.95455,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,245.86,0.34366,0.29803,0.95932,0.88173,0.84507,0.94053,0.87925,0.38689,0.50573,0.93299,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,250.522,0.34273,0.28488,0.93618,0.93043,0.80282,0.9306,0.87184,0.36885,0.45905,0.92153,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,255.173,0.35341,0.28751,0.94239,0.89501,0.83099,0.91084,0.85239,0.37642,0.52191,0.92192,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,259.714,0.34031,0.28754,0.94432,0.93295,0.78396,0.89959,0.84883,0.37859,0.5277,0.92194,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,264.338,0.33971,0.28323,0.94999,0.93064,0.76056,0.90242,0.8484,0.39045,0.56887,0.92559,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,268.981,0.34581,0.28262,0.95468,0.81011,0.88732,0.91461,0.86733,0.35079,0.58649,0.89441,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,273.646,0.3293,0.27572,0.92991,0.80406,0.88732,0.9168,0.85994,0.36641,0.57536,0.90994,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,278.153,0.35819,0.30135,0.9508,0.87938,0.82149,0.92021,0.86061,0.3772,0.5496,0.92256,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,282.797,0.33655,0.27481,0.93488,0.89176,0.81229,0.92156,0.87133,0.38304,0.53013,0.93763,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,287.507,0.33449,0.27304,0.93102,0.94368,0.78873,0.90729,0.85531,0.39561,0.55287,0.96004,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,292.169,0.32133,0.26473,0.92184,0.90484,0.8169,0.89606,0.83919,0.40111,0.58133,0.95074,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,296.766,0.33871,0.27757,0.94758,0.93016,0.78873,0.89133,0.83683,0.44415,0.65191,0.97314,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,301.441,0.35445,0.29065,0.94778,0.90299,0.80282,0.89581,0.83504,0.43565,0.67007,0.96094,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,306.498,0.33759,0.28356,0.92828,0.93307,0.7855,0.90466,0.84184,0.43745,0.62458,0.96303,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,311.586,0.3186,0.26449,0.92791,0.96339,0.80282,0.91598,0.85339,0.43009,0.5596,0.97378,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,316.266,0.30795,0.25293,0.91991,0.949,0.78632,0.91891,0.85167,0.42693,0.52741,0.98638,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,321.057,0.32455,0.2624,0.93612,0.90408,0.83099,0.93252,0.86644,0.43095,0.48258,0.98491,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,326.165,0.31231,0.26443,0.91523,0.8948,0.83865,0.93013,0.86536,0.45317,0.4613,1.0003,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,332.198,0.31124,0.25384,0.90368,0.86344,0.88732,0.94059,0.87802,0.4269,0.40579,0.98714,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,337.565,0.31327,0.2563,0.93117,0.87455,0.90141,0.93901,0.87951,0.43363,0.41305,0.98014,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,343.261,0.30842,0.24187,0.91302,0.88872,0.89986,0.94771,0.88476,0.42357,0.42553,0.97447,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,348.743,0.32115,0.26175,0.93277,0.94343,0.78873,0.947,0.89675,0.3885,0.48245,0.93798,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,353.861,0.28936,0.22896,0.90736,0.88024,0.82818,0.94554,0.89546,0.37738,0.55349,0.9394,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,358.89,0.31242,0.2537,0.92597,0.82234,0.87324,0.93706,0.88097,0.37979,0.55769,0.94014,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,364.164,0.28437,0.22778,0.90081,0.84783,0.86322,0.92419,0.86518,0.40184,0.59695,0.97889,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,369.316,0.31809,0.26135,0.94732,0.86038,0.85915,0.91472,0.85844,0.4091,0.57019,0.98683,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,374.526,0.29781,0.23677,0.93295,0.87022,0.85915,0.91982,0.85976,0.41753,0.56353,0.98873,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,379.598,0.28653,0.22636,0.90284,0.85887,0.85715,0.92887,0.86692,0.41075,0.54619,0.97607,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,384.896,0.30578,0.24551,0.92412,0.87854,0.815,0.92929,0.86543,0.40814,0.54785,0.9687,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,390.172,0.30353,0.23735,0.92672,0.9139,0.78873,0.92296,0.86135,0.40923,0.5922,0.96922,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,395.585,0.29681,0.2421,0.92412,0.93155,0.76679,0.92146,0.85997,0.417,0.61773,0.97851,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,400.216,0.2873,0.23804,0.90244,0.91727,0.78873,0.92016,0.85523,0.40975,0.61915,0.97221,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,404.952,0.28835,0.23746,0.92229,0.9167,0.8169,0.92055,0.85903,0.40557,0.62687,0.97735,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,409.875,0.29355,0.22818,0.91939,0.90595,0.81406,0.91465,0.85826,0.40767,0.62103,0.97401,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,414.935,0.27948,0.2185,0.91045,0.91793,0.78768,0.91476,0.85703,0.39789,0.61469,0.95877,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,419.708,0.28665,0.23237,0.9195,0.91779,0.78622,0.92152,0.86654,0.39279,0.60583,0.95571,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,424.735,0.28773,0.2266,0.91967,0.89085,0.78873,0.90881,0.8591,0.38746,0.60556,0.94576,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,431.016,0.28038,0.21833,0.91155,0.87643,0.79918,0.91683,0.86383,0.38427,0.61571,0.93408,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,436.695,0.26331,0.2084,0.89639,0.87468,0.80282,0.90869,0.86605,0.376,0.60865,0.92229,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,441.873,0.28433,0.2194,0.91901,0.86529,0.81427,0.90541,0.86139,0.3712,0.61247,0.91756,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,447.095,0.2792,0.22728,0.90344,0.87674,0.80147,0.90568,0.86635,0.35863,0.62177,0.9086,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
