epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.897,1.17939,2.73607,1.58692,0.00947,1,0.21286,0.09851,0.77968,2.73784,1.32092,0.0006,0.0002,0.0006,0.0002,0.0006,0.0002,0.0006,0.0002
2,19.381,0.94593,2.66928,1.38138,0.00947,1,0.4963,0.32345,0.54381,2.61699,1.04924,0.00124753,0.000415842,0.00124753,0.000415842,0.00124753,0.000415842,0.00124753,0.000415842
3,22.4602,0.80914,2.52221,1.25283,0.00947,1,0.70047,0.58152,0.48527,2.53866,0.97805,0.00188198,0.000627328,0.00188198,0.000627328,0.00188198,0.000627328,0.00188198,0.000627328
4,25.4169,0.76001,2.32023,1.19936,0.00947,1,0.7397,0.62254,0.45785,2.4608,0.92941,0.00250337,0.000834458,0.00250337,0.000834458,0.00250337,0.000834458,0.00250337,0.000834458
5,28.3966,0.70453,2.10862,1.15387,0.00947,1,0.83309,0.71825,0.44276,2.36461,0.90603,0.0031117,0.00103723,0.0031117,0.00103723,0.0031117,0.00103723,0.0031117,0.00103723
6,31.2371,0.70008,1.92232,1.12095,0.00947,1,0.87656,0.77198,0.44908,2.27025,0.88752,0.00370695,0.00123565,0.00370695,0.00123565,0.00370695,0.00123565,0.00370695,0.00123565
7,33.8741,0.67664,1.72103,1.119,0.79747,0.83099,0.88855,0.78405,0.4784,2.17292,0.90874,0.00428914,0.00142971,0.00428914,0.00142971,0.00428914,0.00142971,0.00428914,0.00142971
8,36.6141,0.67339,1.54244,1.11172,0.95601,0.61223,0.87359,0.77705,0.5254,1.95696,0.94497,0.00485825,0.00161942,0.00485825,0.00161942,0.00485825,0.00161942,0.00485825,0.00161942
9,39.2504,0.66263,1.30514,1.10489,0.94392,0.71126,0.87011,0.73884,0.58949,1.85773,1.02415,0.0054143,0.00180477,0.0054143,0.00180477,0.0054143,0.00180477,0.0054143,0.00180477
10,41.8611,0.64291,1.19653,1.12197,0.86046,0.78168,0.85844,0.74118,0.62117,1.47658,1.02414,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,44.5098,0.66287,1.12157,1.11968,0.881,0.77465,0.87159,0.74717,0.5845,1.18018,1.00706,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,47.1385,0.6247,1.00563,1.10646,0.8556,0.8169,0.87341,0.75999,0.5805,1.06327,1.04672,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,49.622,0.61953,0.95067,1.08541,0.9479,0.76882,0.88489,0.74613,0.5967,0.98632,1.06037,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,52.2397,0.61902,0.89682,1.08991,0.84217,0.83099,0.90233,0.76916,0.56184,0.95303,1.01848,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,54.8456,0.57571,0.85514,1.06342,0.8917,0.78873,0.90338,0.77703,0.54803,0.90897,1.01172,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,57.4407,0.60165,0.84402,1.06382,0.80766,0.88732,0.90691,0.79203,0.54141,0.88183,0.96227,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,59.868,0.58518,0.84847,1.06094,0.90094,0.80282,0.87485,0.75984,0.55655,0.89934,1.01011,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,62.5136,0.57285,0.80131,1.0549,0.81322,0.83099,0.87436,0.76985,0.54086,0.91335,0.98477,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,65.1656,0.54804,0.7571,1.03185,0.82731,0.80974,0.89615,0.79813,0.50061,0.84469,0.92171,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,67.8284,0.55564,0.76087,1.0358,0.82418,0.83099,0.90989,0.81136,0.50039,0.81787,0.93361,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,70.8951,0.5241,0.7274,1.01901,0.88848,0.78552,0.90946,0.80876,0.52131,0.81158,0.95205,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,73.5719,0.52657,0.72476,1.01137,0.84977,0.84507,0.90692,0.81208,0.5006,0.77992,0.94049,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,78.9088,0.53953,0.73271,1.02183,0.8271,0.90141,0.90668,0.82025,0.49815,0.73911,0.92235,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,86.9027,0.5417,0.72227,1.03659,0.85007,0.85915,0.90828,0.82611,0.47267,0.74672,0.91861,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,92.7115,0.51259,0.69007,1.00325,0.87095,0.85557,0.91263,0.8219,0.47399,0.72793,0.9256,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,95.366,0.52542,0.68896,1.01432,0.87921,0.8169,0.92565,0.84978,0.45375,0.72804,0.9035,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,98.0419,0.51012,0.6494,0.99069,0.89042,0.80114,0.92614,0.8356,0.46467,0.73793,0.90847,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,100.717,0.49371,0.65804,0.99403,0.90219,0.80282,0.92701,0.82741,0.48566,0.73525,0.92362,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,103.201,0.50842,0.62646,0.99136,0.87764,0.83099,0.92135,0.83041,0.44369,0.76209,0.89,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,110.92,0.51266,0.64163,1.00086,0.88135,0.80282,0.92698,0.83571,0.44476,0.71529,0.89345,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,116.895,0.49778,0.63768,0.98756,0.86989,0.8169,0.92213,0.83271,0.451,0.7328,0.89867,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,122.951,0.48915,0.61333,1.00331,0.85537,0.85915,0.92122,0.82283,0.48805,0.77945,0.94137,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,130.929,0.48863,0.63232,1.00007,0.84458,0.84193,0.91576,0.82124,0.46781,0.75295,0.92456,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
