epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.1631,1.25638,2.73947,1.71849,0.78022,0.30011,0.33698,0.28141,1.02078,2.92938,1.71946,0.0006,0.0002,0.0006,0.0002,0.0006,0.0002,0.0006,0.0002
2,21.8445,0.92756,2.1402,1.44365,0.87433,0.40845,0.49596,0.44921,0.54598,1.9667,1.14263,0.00124753,0.000415842,0.00124753,0.000415842,0.00124753,0.000415842,0.00124753,0.000415842
3,26.0268,0.73681,1.48794,1.28072,0.78639,0.82964,0.87725,0.77306,0.40967,1.18119,0.96842,0.00188198,0.000627328,0.00188198,0.000627328,0.00188198,0.000627328,0.00188198,0.000627328
4,31.7994,0.68899,1.15467,1.2131,0.80385,0.86587,0.91464,0.81305,0.42908,0.89465,0.96217,0.00250337,0.000834458,0.00250337,0.000834458,0.00250337,0.000834458,0.00250337,0.000834458
5,35.632,0.62708,0.93237,1.1491,0.85898,0.87324,0.94124,0.84902,0.44442,0.75538,0.95903,0.0031117,0.00103723,0.0031117,0.00103723,0.0031117,0.00103723,0.0031117,0.00103723
6,39.08,0.59904,0.75403,1.10434,0.85685,0.92735,0.95828,0.84739,0.43931,0.619,0.92946,0.00370695,0.00123565,0.00370695,0.00123565,0.00370695,0.00123565,0.00370695,0.00123565
7,42.3,0.54906,0.66939,1.07284,0.86905,0.88732,0.95243,0.86103,0.44358,0.50718,0.92603,0.00428914,0.00142971,0.00428914,0.00142971,0.00428914,0.00142971,0.00428914,0.00142971
8,45.7008,0.53283,0.63724,1.0526,0.91623,0.78873,0.92961,0.84977,0.43062,0.53134,0.89706,0.00485825,0.00161942,0.00485825,0.00161942,0.00485825,0.00161942,0.00485825,0.00161942
9,48.7816,0.51793,0.55502,1.02696,0.85441,0.82662,0.93115,0.85939,0.40169,0.54999,0.86449,0.0054143,0.00180477,0.0054143,0.00180477,0.0054143,0.00180477,0.0054143,0.00180477
10,51.941,0.51111,0.54359,1.03735,0.94353,0.80282,0.9447,0.87114,0.39888,0.48081,0.86241,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,55.1911,0.52558,0.53811,1.03531,0.92011,0.76056,0.91332,0.82797,0.44538,0.54377,0.91616,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,58.3425,0.52082,0.48855,1.02817,0.81599,0.87324,0.91248,0.83438,0.48542,0.54599,0.96365,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,61.3734,0.50084,0.4849,0.99696,0.91002,0.85476,0.93668,0.85453,0.43209,0.46621,0.91239,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,64.7246,0.5059,0.47034,1.01382,0.88833,0.89639,0.9607,0.85756,0.46397,0.43844,0.9263,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,67.8899,0.48865,0.44203,1.00515,0.93471,0.87324,0.95449,0.87826,0.40963,0.43907,0.90671,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,71.1174,0.5014,0.43385,0.99909,0.96316,0.85915,0.94566,0.87546,0.4128,0.44558,0.91233,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,74.1382,0.50732,0.4626,1.0205,0.94177,0.85915,0.95091,0.86841,0.4331,0.44588,0.93077,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,77.2939,0.46868,0.42128,0.99793,0.93172,0.87324,0.9541,0.869,0.43248,0.46658,0.91143,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,80.4731,0.4627,0.41164,0.99111,0.89885,0.87618,0.94833,0.85476,0.4725,0.44127,0.94616,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,83.6749,0.46714,0.40082,0.99543,0.96657,0.81455,0.92583,0.84886,0.44644,0.5188,0.93254,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
