epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.59281,0.74679,4.37588,1.2749,0.16665,0.61992,0.18799,0.14796,0.42461,5.66013,0.9885,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05
2,8.88881,0.69873,4.13968,1.36686,0.15881,0.70683,0.18504,0.14309,0.43089,5.80656,0.99265,0.000343139,0.00011438,0.000343139,0.00011438,0.000343139,0.00011438,0.000343139,0.00011438
3,11.456,0.67327,3.46807,1.21263,0.25554,0.63719,0.26807,0.21607,0.43011,5.2782,0.98752,0.000528326,0.000176109,0.000528326,0.000176109,0.000528326,0.000176109,0.000528326,0.000176109
4,15.3071,0.89817,3.21609,1.45638,0.33066,0.76548,0.32606,0.27351,0.4371,4.59596,0.98703,0.000705591,0.000235197,0.000705591,0.000235197,0.000705591,0.000235197,0.000705591,0.000235197
5,17.8303,0.58431,2.62768,1.14985,0.31592,0.76656,0.35388,0.30571,0.4406,4.4626,0.99082,0.000874935,0.000291645,0.000874935,0.000291645,0.000874935,0.000291645,0.000874935,0.000291645
6,20.2819,0.58216,2.41745,1.16673,0.35702,0.76473,0.38349,0.33207,0.44324,4.33245,0.99595,0.00103636,0.000345452,0.00103636,0.000345452,0.00103636,0.000345452,0.00103636,0.000345452
7,22.7278,0.65097,2.18974,1.22939,0.42397,0.74544,0.42604,0.3669,0.43759,3.8689,0.99061,0.00118986,0.000396619,0.00118986,0.000396619,0.00118986,0.000396619,0.00118986,0.000396619
8,25.0781,0.49363,2.09369,1.11449,0.43828,0.71783,0.4566,0.39192,0.42905,3.60664,0.98958,0.00133544,0.000445146,0.00133544,0.000445146,0.00133544,0.000445146,0.00133544,0.000445146
9,27.4372,0.54703,1.78099,1.12897,0.46562,0.70477,0.51057,0.43707,0.43445,3.32422,1.00189,0.00147309,0.000491032,0.00147309,0.000491032,0.00147309,0.000491032,0.00147309,0.000491032
10,29.7805,0.48127,1.53064,1.05786,0.52738,0.61137,0.57522,0.50097,0.42634,3.21941,0.99987,0.00160283,0.000534277,0.00160283,0.000534277,0.00160283,0.000534277,0.00160283,0.000534277
11,32.0936,0.45377,1.40973,1.09219,0.60587,0.6027,0.6338,0.54818,0.43058,2.59223,1.00229,0.00172464,0.000574882,0.00172464,0.000574882,0.00172464,0.000574882,0.00172464,0.000574882
12,34.4124,0.48547,1.44711,1.09356,0.5997,0.70396,0.69825,0.60526,0.43021,2.31211,1.00291,0.00183854,0.000612846,0.00183854,0.000612846,0.00183854,0.000612846,0.00183854,0.000612846
13,36.7584,0.36685,1.14517,0.9887,0.64951,0.71484,0.73549,0.64219,0.44319,2.02567,1.01172,0.00194451,0.00064817,0.00194451,0.00064817,0.00194451,0.00064817,0.00194451,0.00064817
14,39.001,0.47155,1.47724,1.08539,0.70873,0.73799,0.75944,0.66727,0.44392,1.67592,1.01268,0.00204256,0.000680853,0.00204256,0.000680853,0.00204256,0.000680853,0.00204256,0.000680853
15,41.5749,0.44092,1.0943,1.06343,0.71839,0.69797,0.76662,0.67816,0.44755,1.4743,1.01607,0.00213269,0.000710895,0.00213269,0.000710895,0.00213269,0.000710895,0.00213269,0.000710895
16,43.7091,0.4893,1.02717,1.13408,0.71876,0.67584,0.76333,0.67453,0.43587,1.42771,0.99516,0.00221489,0.000738298,0.00221489,0.000738298,0.00221489,0.000738298,0.00221489,0.000738298
17,45.8046,0.44221,0.93966,1.05384,0.76552,0.65605,0.75768,0.66389,0.44264,1.41625,0.99405,0.00228918,0.000763059,0.00228918,0.000763059,0.00228918,0.000763059,0.00228918,0.000763059
18,48.0189,0.40766,0.88111,1.03895,0.76448,0.70004,0.77866,0.6897,0.44641,1.33713,0.98642,0.00235554,0.00078518,0.00235554,0.00078518,0.00235554,0.00078518,0.00235554,0.00078518
19,50.1109,0.54125,0.91825,1.14533,0.77419,0.71858,0.78031,0.68854,0.4681,1.2929,0.99666,0.00241398,0.000804661,0.00241398,0.000804661,0.00241398,0.000804661,0.00241398,0.000804661
20,54.4206,0.40499,0.81332,1.02426,0.74924,0.74022,0.77622,0.69266,0.46148,1.30696,1.00028,0.0024645,0.000821501,0.0024645,0.000821501,0.0024645,0.000821501,0.0024645,0.000821501
21,62.4534,0.4688,0.74174,1.09721,0.81287,0.66561,0.77407,0.68658,0.47297,1.30389,1.01882,0.0025071,0.0008357,0.0025071,0.0008357,0.0025071,0.0008357,0.0025071,0.0008357
22,70.4399,0.41054,0.76687,0.98658,0.7261,0.76283,0.77253,0.69827,0.47546,1.25485,1.0207,0.00254178,0.000847259,0.00254178,0.000847259,0.00254178,0.000847259,0.00254178,0.000847259
23,78.4376,0.45918,0.68923,1.03837,0.74024,0.66553,0.77463,0.689,0.50538,1.21981,1.04405,0.00256853,0.000856178,0.00256853,0.000856178,0.00256853,0.000856178,0.00256853,0.000856178
