epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.49256,0.58348,2.99933,1.11782,0.00661,0.99296,0.18599,0.15587,0.43334,2.92339,0.98064,0.00025005,8.335e-05,0.00025005,8.335e-05,0.00025005,8.335e-05,0.00025005,8.335e-05
2,8.03856,0.59089,2.97562,1.1708,0.00662,0.99296,0.19668,0.16516,0.40982,2.90456,0.97108,0.000539218,0.000179739,0.000539218,0.000179739,0.000539218,0.000179739,0.000539218,0.000179739
3,10.8357,0.55327,2.9096,1.11541,0.00663,0.99296,0.224,0.18893,0.42063,2.85863,0.97669,0.000816503,0.000272168,0.000816503,0.000272168,0.000816503,0.000272168,0.000816503,0.000272168
4,14.4581,0.54021,2.87349,1.13695,0.00664,0.99296,0.24511,0.20389,0.42191,2.81477,0.97513,0.00108191,0.000360635,0.00108191,0.000360635,0.00108191,0.000360635,0.00108191,0.000360635
5,16.9448,0.53505,2.81811,1.11401,0.00664,0.99296,0.2627,0.22239,0.41887,2.75891,0.96366,0.00133543,0.000445142,0.00133543,0.000445142,0.00133543,0.000445142,0.00133543,0.000445142
6,19.3789,0.49427,2.74442,1.09204,0.00706,0.99296,0.29247,0.25099,0.40388,2.69338,0.9484,0.00157707,0.000525688,0.00157707,0.000525688,0.00157707,0.000525688,0.00157707,0.000525688
7,21.7547,0.46409,2.72541,1.06356,0.31171,0.56938,0.35408,0.30901,0.40817,2.60239,0.94135,0.00180682,0.000602274,0.00180682,0.000602274,0.00180682,0.000602274,0.00180682,0.000602274
8,24.1299,0.49186,2.65009,1.08846,0.40813,0.50678,0.39183,0.34682,0.40059,2.51036,0.92898,0.00202469,0.000674898,0.00202469,0.000674898,0.00202469,0.000674898,0.00202469,0.000674898
9,26.5893,0.49058,2.63862,1.09296,0.45556,0.34858,0.4126,0.36905,0.38876,2.40527,0.91782,0.00223069,0.000743562,0.00223069,0.000743562,0.00223069,0.000743562,0.00223069,0.000743562
10,28.8407,0.47129,2.49314,1.06071,0.41684,0.46974,0.41226,0.3694,0.41276,2.34372,0.93802,0.00242479,0.000808265,0.00242479,0.000808265,0.00242479,0.000808265,0.00242479,0.000808265
11,31.0552,0.4487,2.49108,1.07428,0.40364,0.53938,0.42796,0.38383,0.4105,2.29393,0.93757,0.00260702,0.000869007,0.00260702,0.000869007,0.00260702,0.000869007,0.00260702,0.000869007
12,33.2852,0.52187,2.40317,1.10494,0.42481,0.52291,0.42713,0.38117,0.41202,2.22714,0.9479,0.00277737,0.000925788,0.00277737,0.000925788,0.00277737,0.000925788,0.00277737,0.000925788
13,35.51,0.51796,2.35862,1.08933,0.42359,0.56051,0.46538,0.40728,0.43403,2.1858,0.97506,0.00293583,0.000978609,0.00293583,0.000978609,0.00293583,0.000978609,0.00293583,0.000978609
14,37.9698,0.49904,2.28563,1.12487,0.40349,0.67423,0.46813,0.40303,0.49183,2.14842,1.0359,0.00308241,0.00102747,0.00308241,0.00102747,0.00308241,0.00102747,0.00308241,0.00102747
15,39.9927,0.51254,2.18812,1.07757,0.40316,0.68127,0.4724,0.40367,0.49712,2.13553,1.05549,0.0032171,0.00107237,0.0032171,0.00107237,0.0032171,0.00107237,0.0032171,0.00107237
16,45.0108,0.50133,2.14322,1.07324,0.43594,0.69536,0.47784,0.41571,0.5014,2.08853,1.06378,0.00333992,0.00111331,0.00333992,0.00111331,0.00333992,0.00111331,0.00333992,0.00111331
17,53.0248,0.53024,2.06309,1.1114,0.41494,0.67684,0.49118,0.42275,0.50374,2.06708,1.06085,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,58.4665,0.56349,2.01559,1.14053,0.43083,0.70501,0.53511,0.45747,0.52845,2.03133,1.08238,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,60.5039,0.53071,1.94784,1.10417,0.44103,0.74022,0.55236,0.45909,0.57157,2.02102,1.11497,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,65.0226,0.52098,1.86836,1.10626,0.49378,0.70306,0.57693,0.44927,0.61981,1.9751,1.16353,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,70.2825,0.5355,1.80547,1.11925,0.51496,0.70644,0.5814,0.44177,0.63824,1.9527,1.17664,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,77.0169,0.53625,1.78106,1.12436,0.55543,0.6409,0.60067,0.47602,0.6314,1.90495,1.19228,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,79.1844,0.54237,1.73074,1.11078,0.58291,0.61946,0.60581,0.50393,0.61034,1.8978,1.18805,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,81.7898,0.53358,1.67024,1.11226,0.56778,0.68023,0.60624,0.49011,0.63651,1.84976,1.21435,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,83.9741,0.50676,1.56226,1.09786,0.5698,0.69706,0.59675,0.49868,0.63728,1.83562,1.18933,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,86.286,0.50877,1.52263,1.09662,0.59861,0.72818,0.61354,0.51904,0.58649,1.80854,1.13114,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,88.4214,0.54093,1.50224,1.10674,0.57906,0.73657,0.61317,0.53191,0.54839,1.79648,1.10559,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,93.0588,0.52762,1.45088,1.09434,0.55585,0.75509,0.62239,0.54502,0.54917,1.7674,1.11979,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,95.1495,0.46957,1.37183,1.06513,0.59967,0.77274,0.63715,0.5511,0.55136,1.75978,1.11385,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,98.418,0.5137,1.4026,1.0795,0.58807,0.75031,0.65396,0.56791,0.53835,1.71625,1.09633,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,101.029,0.52361,1.36299,1.09565,0.64442,0.73321,0.66479,0.57214,0.55018,1.69706,1.10212,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,105.04,0.44964,1.25502,1.0345,0.68089,0.73396,0.68457,0.58364,0.53762,1.65119,1.08379,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,110.251,0.50324,1.27925,1.07782,0.67926,0.71783,0.69073,0.58433,0.54224,1.63352,1.08322,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,112.717,0.47302,1.24376,1.06375,0.63848,0.72282,0.69561,0.59834,0.5373,1.61778,1.07814,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,114.647,0.46087,1.2206,1.07139,0.64015,0.72404,0.6978,0.59827,0.5323,1.60932,1.07285,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,118.378,0.48857,1.2079,1.07179,0.67074,0.72352,0.70822,0.61923,0.50715,1.57617,1.05906,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,122.213,0.46451,1.1828,1.04779,0.66716,0.73657,0.71716,0.62476,0.50533,1.55637,1.05513,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,129.065,0.4865,1.13636,1.06032,0.70057,0.73135,0.7328,0.6386,0.51071,1.51352,1.05934,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,134.222,0.43563,1.09968,1.01407,0.68923,0.74804,0.73979,0.64981,0.50887,1.50543,1.05663,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,141.063,0.49002,1.15481,1.07794,0.64574,0.76723,0.74148,0.65346,0.50671,1.49283,1.05469,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,165.713,0.4376,1.24689,1.00667,0.64574,0.79473,0.7427,0.65734,0.50043,1.46477,1.05123,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
