epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.02152,0.5707,3.10695,1.21008,0.12558,0.40741,0.15522,0.13969,0.49483,2.67747,1.09148,0.00030006,0.00010002,0.00030006,0.00010002,0.00030006,0.00010002,0.00030006,0.00010002
2,14.0755,0.56616,2.80848,1.17372,0.66345,0.38889,0.31011,0.285,0.46051,2.20186,1.05363,0.000637257,0.000212419,0.000637257,0.000212419,0.000637257,0.000212419,0.000637257,0.000212419
3,18.709,0.54091,2.3318,1.17258,0.324,0.76761,0.41459,0.38419,0.44351,1.898,1.03551,0.000960592,0.000320197,0.000960592,0.000320197,0.000960592,0.000320197,0.000960592,0.000320197
4,22.7396,0.52056,1.9781,1.14798,0.4388,0.69092,0.42122,0.39224,0.44636,1.78832,1.02888,0.00127006,0.000423355,0.00127006,0.000423355,0.00127006,0.000423355,0.00127006,0.000423355
5,26.8655,0.50834,1.7706,1.17579,0.42294,0.82655,0.4626,0.42895,0.45232,1.99641,1.00974,0.00156567,0.000521891,0.00156567,0.000521891,0.00156567,0.000521891,0.00156567,0.000521891
6,30.8659,0.41895,1.44197,1.08776,0.41006,0.83177,0.53239,0.49057,0.45097,2.13486,1.0166,0.00184742,0.000615806,0.00184742,0.000615806,0.00184742,0.000615806,0.00184742,0.000615806
7,35.0859,0.41658,1.38151,1.05501,0.44609,0.7736,0.5836,0.53334,0.45544,1.75388,1.00744,0.0021153,0.000705101,0.0021153,0.000705101,0.0021153,0.000705101,0.0021153,0.000705101
8,38.8885,0.42694,1.34659,1.05788,0.52245,0.70805,0.65382,0.60416,0.43737,1.60279,0.99386,0.00236932,0.000789775,0.00236932,0.000789775,0.00236932,0.000789775,0.00236932,0.000789775
9,42.9544,0.39582,1.18956,1.04239,0.60589,0.73918,0.73598,0.67716,0.40874,1.56914,0.98607,0.00260948,0.000869827,0.00260948,0.000869827,0.00260948,0.000869827,0.00260948,0.000869827
10,46.8641,0.38526,1.04399,1.0374,0.79591,0.71448,0.80572,0.74859,0.42322,1.14484,1.01612,0.00283578,0.000945259,0.00283578,0.000945259,0.00283578,0.000945259,0.00283578,0.000945259
11,50.7792,0.3804,0.89532,1.03098,0.84821,0.69068,0.80124,0.73816,0.44762,1.12395,1.05334,0.00304821,0.00101607,0.00304821,0.00101607,0.00304821,0.00101607,0.00304821,0.00101607
12,54.9706,0.35963,0.88464,0.98646,0.79245,0.72613,0.8062,0.71742,0.57238,1.11623,1.15118,0.00324678,0.00108226,0.00324678,0.00108226,0.00324678,0.00108226,0.00324678,0.00108226
13,58.756,0.41154,0.81067,1.02233,0.84115,0.68061,0.80277,0.71926,0.56255,1.10742,1.14,0.00343149,0.00114383,0.00343149,0.00114383,0.00343149,0.00114383,0.00343149,0.00114383
14,62.5917,0.36813,0.71862,1.00408,0.88091,0.69205,0.78731,0.72158,0.56175,1.08391,1.12718,0.00360233,0.00120078,0.00360233,0.00120078,0.00360233,0.00120078,0.00360233,0.00120078
15,66.4291,0.40049,0.62657,0.99791,0.82515,0.7264,0.81041,0.74157,0.4971,1.05319,1.06943,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,70.2804,0.40628,0.68766,1.02287,0.86431,0.71717,0.80343,0.74317,0.47106,0.98264,1.03397,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,73.9471,0.40736,0.70628,1.03155,0.86014,0.67017,0.76156,0.69776,0.47901,1.03197,1.03765,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,77.7766,0.37929,0.61143,0.97815,0.84982,0.70067,0.79534,0.72266,0.47253,0.95974,1.03084,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,81.6204,0.39348,0.63975,1.00549,0.79398,0.77953,0.84786,0.76474,0.47251,0.91849,1.03298,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,85.556,0.37221,0.57223,0.98626,0.91485,0.72262,0.87801,0.7986,0.46759,0.82011,1.01771,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,89.3059,0.41017,0.56316,1.0307,0.7703,0.82743,0.86812,0.79187,0.45499,0.83012,1.01301,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,93.1949,0.37724,0.52738,1.01521,0.76895,0.85915,0.87842,0.80437,0.44605,0.8556,0.99606,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,97.0944,0.37227,0.47244,0.97961,0.84463,0.76838,0.87506,0.79933,0.44221,0.85384,0.99067,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,100.999,0.34862,0.46818,0.98489,0.9013,0.78691,0.88571,0.79859,0.46774,0.81935,1.00583,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,104.651,0.39349,0.49895,0.99183,0.93075,0.78691,0.88528,0.81088,0.46469,0.78566,1.00343,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,108.547,0.38049,0.49076,0.99678,0.9163,0.77282,0.88073,0.8029,0.45332,0.75807,0.99357,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,112.429,0.36649,0.43876,0.99352,0.92568,0.77282,0.88836,0.81408,0.43293,0.77367,0.96897,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,116.385,0.39734,0.47126,1.00127,0.90595,0.77282,0.89018,0.82794,0.40804,0.7932,0.95619,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,120.185,0.34931,0.44303,0.97056,0.87689,0.77966,0.88463,0.82993,0.38887,0.81767,0.94943,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,124.1,0.37675,0.45747,1.01754,0.83356,0.78951,0.87686,0.8284,0.39751,0.87972,0.95523,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,127.915,0.38234,0.46002,1.02191,0.79181,0.88732,0.88131,0.83101,0.38072,0.81213,0.94699,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,131.765,0.33696,0.40777,0.96425,0.79737,0.88028,0.89301,0.84131,0.3795,0.76255,0.94002,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,135.471,0.36548,0.46815,0.98698,0.81531,0.87324,0.89691,0.84295,0.36791,0.75575,0.93495,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,139.388,0.36891,0.42599,1.00756,0.8124,0.84312,0.90025,0.84459,0.38512,0.6843,0.94991,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,143.255,0.354,0.40489,0.99747,0.81344,0.87172,0.89518,0.84075,0.38529,0.67789,0.9522,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,147.129,0.37004,0.42344,1.02421,0.85474,0.82655,0.89037,0.8299,0.3906,0.62893,0.94638,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,150.801,0.33022,0.38485,0.96799,0.8738,0.81951,0.89356,0.83469,0.39186,0.62585,0.94855,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,154.882,0.35344,0.42356,0.98765,0.90366,0.79319,0.89819,0.83346,0.39627,0.63185,0.95056,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,158.659,0.31385,0.37667,0.96364,0.91801,0.76274,0.89213,0.82844,0.39797,0.63071,0.95352,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,163.051,0.29002,0.37882,0.95393,0.90425,0.76578,0.88827,0.82868,0.39437,0.63122,0.95284,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,185.261,0.37904,0.55421,1.02398,0.90625,0.76372,0.89025,0.82994,0.38815,0.62164,0.95027,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,189.063,0.26802,0.41312,0.94622,0.90127,0.74904,0.88184,0.82446,0.39847,0.63972,0.9556,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,192.785,0.28052,0.40471,0.94091,0.89799,0.75874,0.88149,0.81791,0.40829,0.64917,0.96411,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,196.561,0.30285,0.39854,0.94988,0.93986,0.7434,0.88514,0.81575,0.40764,0.64423,0.9654,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,200.129,0.24587,0.35732,0.91457,0.96502,0.73057,0.8874,0.82225,0.41285,0.64344,0.96903,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,203.964,0.22043,0.34131,0.87633,0.85803,0.79967,0.88847,0.82114,0.41634,0.65477,0.97105,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,207.728,0.24233,0.43323,0.9241,0.93207,0.7517,0.88804,0.82033,0.41609,0.64656,0.97205,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,211.576,0.21242,0.30189,0.867,0.87613,0.81723,0.89191,0.82624,0.4065,0.63738,0.96509,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,215.202,0.23963,0.38487,0.91317,0.88381,0.82046,0.89496,0.8319,0.39833,0.62656,0.96227,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,219.044,0.23247,0.33493,0.8842,0.90384,0.8169,0.89886,0.83447,0.39598,0.60785,0.96061,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
