epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.0345,0.54737,2.95826,1.06643,0.13272,0.09859,0.16992,0.14175,0.38992,2.69756,0.93037,8.574e-05,2.858e-05,8.574e-05,2.858e-05,8.574e-05,2.858e-05,8.574e-05,2.858e-05
2,15.2446,0.486,2.84929,0.99953,0.13072,0.09859,0.16925,0.14198,0.38852,2.69542,0.92898,0.000210106,7.00353e-05,0.000210106,7.00353e-05,0.000210106,7.00353e-05,0.000210106,7.00353e-05
3,18.5778,0.53207,2.89697,1.08813,0.15092,0.0907,0.17847,0.15065,0.3858,2.68772,0.92916,0.000329379,0.000109793,0.000329379,0.000109793,0.000329379,0.000109793,0.000329379,0.000109793
4,22.4651,0.47561,2.87329,1.02982,0.17899,0.08664,0.18234,0.15427,0.38033,2.67149,0.92136,0.000443559,0.000147853,0.000443559,0.000147853,0.000443559,0.000147853,0.000443559,0.000147853
5,24.7564,0.42956,2.86265,1.00975,0.19548,0.06261,0.18846,0.16126,0.37405,2.64895,0.91283,0.000552646,0.000184215,0.000552646,0.000184215,0.000552646,0.000184215,0.000552646,0.000184215
6,26.8156,0.4769,2.81917,1.00549,0.18027,0.06694,0.19113,0.16486,0.37002,2.6334,0.91155,0.00065664,0.00021888,0.00065664,0.00021888,0.00065664,0.00021888,0.00065664,0.00021888
7,28.9447,0.41852,2.79399,0.99471,0.16976,0.06573,0.20143,0.17526,0.36294,2.61471,0.90772,0.000755541,0.000251847,0.000755541,0.000251847,0.000755541,0.000251847,0.000755541,0.000251847
8,30.8352,0.45423,2.82355,1.04278,0.16911,0.07042,0.20601,0.17879,0.35943,2.60351,0.90618,0.000849349,0.000283116,0.000849349,0.000283116,0.000849349,0.000283116,0.000849349,0.000283116
9,32.9713,0.46765,2.81888,1.03497,0.17708,0.09048,0.2124,0.18422,0.35521,2.58671,0.9057,0.000938064,0.000312688,0.000938064,0.000312688,0.000938064,0.000312688,0.000938064,0.000312688
10,34.8842,0.44448,2.79739,0.9735,0.18181,0.0939,0.21688,0.18786,0.35694,2.57784,0.90599,0.00102169,0.000340562,0.00102169,0.000340562,0.00102169,0.000340562,0.00102169,0.000340562
11,37.0069,0.45072,2.78148,0.9775,0.16806,0.09859,0.23286,0.20176,0.35003,2.55735,0.9018,0.00110022,0.000366739,0.00110022,0.000366739,0.00110022,0.000366739,0.00110022,0.000366739
12,38.9222,0.41815,2.69368,1.01871,0.15409,0.09859,0.24154,0.20865,0.35152,2.54618,0.90266,0.00117365,0.000391217,0.00117365,0.000391217,0.00117365,0.000391217,0.00117365,0.000391217
