epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.2611,0.45998,2.40281,1.01604,0.14638,0.38529,0.21506,0.20736,0.31593,2.52323,0.89427,0,0,0,0,0,0,0,0
2,16.0903,0.41496,2.45897,1.02814,0.14402,0.38529,0.21632,0.20851,0.31519,2.51438,0.89434,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,18.4417,0.34467,2.31454,0.98996,0.14825,0.39763,0.21578,0.20796,0.31473,2.50464,0.89486,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,20.5133,0.40375,2.27067,0.9908,0.1481,0.39674,0.21705,0.2092,0.3145,2.49914,0.89488,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,22.7549,0.36376,2.29587,1.0075,0.16141,0.42418,0.22524,0.217,0.31264,2.46746,0.89422,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,25.3166,0.38788,2.33278,0.97373,0.17253,0.40702,0.24041,0.23115,0.311,2.42716,0.89336,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,27.9906,0.55171,2.36688,1.1644,0.18292,0.40567,0.2564,0.24591,0.30931,2.38572,0.89215,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,30.4485,0.44442,2.4181,1.17743,0.18405,0.40589,0.25792,0.24791,0.30849,2.38365,0.8919,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,33.1092,0.39503,2.32209,1.0164,0.22093,0.45699,0.27703,0.26527,0.30685,2.32454,0.89161,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,35.7716,0.27189,1.92773,0.90057,0.27099,0.48721,0.31053,0.29599,0.30598,2.25564,0.89124,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,38.468,0.35819,2.37642,0.9737,0.3347,0.57441,0.37419,0.35621,0.30457,2.18319,0.89104,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,41.1806,0.32396,1.94062,0.93817,0.37597,0.62271,0.41069,0.39116,0.30396,2.11068,0.89053,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,43.8382,0.37195,2.02636,0.99703,0.40537,0.63672,0.42834,0.40747,0.30433,2.04422,0.89198,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
14,46.4877,0.43992,1.95772,1.04896,0.40754,0.68315,0.44141,0.42006,0.30525,1.98391,0.89295,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953
15,49.1847,0.4021,1.84646,1.07015,0.41762,0.69647,0.4507,0.42928,0.30643,1.93183,0.89296,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603
16,51.7708,0.4276,1.67832,1.02037,0.43522,0.69439,0.45021,0.42772,0.3057,1.89792,0.8925,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688
17,54.3599,0.45512,1.61478,1.02435,0.44683,0.71635,0.45189,0.42796,0.30613,1.87929,0.8934,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207
18,57.2537,0.42765,1.6271,1.04066,0.44683,0.71635,0.45189,0.42796,0.30613,1.87929,0.8934,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116
19,64.0671,0.34664,1.40976,0.97275,0.44656,0.74177,0.45411,0.43089,0.3056,1.86726,0.89318,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547
20,66.4872,0.36363,1.42021,1.00703,0.44656,0.74177,0.45411,0.43089,0.3056,1.86726,0.89318,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368
21,69.1597,0.32346,1.43746,1.01183,0.44765,0.75227,0.45606,0.43283,0.30238,1.84933,0.891,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623
22,72.0762,0.47783,1.50891,1.11283,0.44765,0.75227,0.45606,0.43283,0.30238,1.84933,0.891,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313
23,74.7279,0.37092,1.36163,0.96828,0.43639,0.76345,0.45935,0.43623,0.30056,1.84045,0.88899,0.000532308,0.000177436,0.000532308,0.000177436,0.000532308,0.000177436,0.000532308,0.000177436
24,77.2025,0.43593,1.33469,1.09344,0.43639,0.76345,0.45935,0.43623,0.30056,1.84045,0.88899,0.000536981,0.000178994,0.000536981,0.000178994,0.000536981,0.000178994,0.000536981,0.000178994
25,84.0737,0.31604,1.39271,0.94503,0.43093,0.76594,0.46172,0.43786,0.29815,1.82931,0.88598,0.000539956,0.000179985,0.000539956,0.000179985,0.000539956,0.000179985,0.000539956,0.000179985
26,88.6092,0.34728,1.24994,0.98949,0.43093,0.76594,0.46172,0.43786,0.29815,1.82931,0.88598,0.000541234,0.000180411,0.000541234,0.000180411,0.000541234,0.000180411,0.000541234,0.000180411
27,92.8824,0.40196,1.3407,1.032,0.43281,0.76714,0.47481,0.45173,0.29771,1.80024,0.88437,0.000540814,0.000180271,0.000540814,0.000180271,0.000540814,0.000180271,0.000540814,0.000180271
28,100.178,0.30461,1.25906,0.91218,0.43281,0.76714,0.47481,0.45173,0.29771,1.80024,0.88437,0.000538696,0.000179565,0.000538696,0.000179565,0.000538696,0.000179565,0.000538696,0.000179565
29,102.983,0.32921,1.2794,0.98239,0.42992,0.76244,0.49472,0.4682,0.29619,1.78223,0.88262,0.00053488,0.000178293,0.00053488,0.000178293,0.00053488,0.000178293,0.00053488,0.000178293
30,105.524,0.32594,1.09403,0.95211,0.42992,0.76244,0.49472,0.4682,0.29619,1.78223,0.88262,0.000529367,0.000176456,0.000529367,0.000176456,0.000529367,0.000176456,0.000529367,0.000176456
31,108.832,0.3849,1.28392,0.99826,0.43628,0.75009,0.50819,0.48434,0.29676,1.75313,0.88234,0.000522157,0.000174052,0.000522157,0.000174052,0.000522157,0.000174052,0.000522157,0.000174052
32,112.623,0.30207,1.17005,0.94512,0.43628,0.75009,0.50819,0.48434,0.29676,1.75313,0.88234,0.000513248,0.000171083,0.000513248,0.000171083,0.000513248,0.000171083,0.000513248,0.000171083
33,115.313,0.33219,1.15707,0.93161,0.44991,0.744,0.52708,0.50208,0.296,1.72901,0.88147,0.000502642,0.000167547,0.000502642,0.000167547,0.000502642,0.000167547,0.000502642,0.000167547
