epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.686,0.58,2.56446,1.10903,0.56476,0.31718,0.18158,0.14596,0.35872,3.72317,0.93044,0,0,0,0,0,0,0,0
2,13.6456,0.58034,3.21903,1.11306,0.57306,0.31718,0.18732,0.14706,0.35635,3.72609,0.92934,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,15.8848,0.40072,2.88075,1.01052,0.55815,0.31718,0.17943,0.14433,0.3557,3.73817,0.93002,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,17.7846,0.51005,2.81747,1.07607,0.56699,0.31636,0.18058,0.14531,0.35524,3.73546,0.93205,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,21.1964,0.40098,2.88571,0.99064,0.56721,0.31656,0.18058,0.14552,0.35503,3.73501,0.93195,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,22.8304,0.501,3.16424,1.02735,0.57515,0.31582,0.17976,0.14647,0.35483,3.73478,0.9314,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,24.7072,0.62901,2.90949,1.19431,0.59024,0.31673,0.18961,0.15047,0.35416,3.70114,0.93005,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,26.5582,0.46914,3.47607,1.1716,0.5874,0.30617,0.19029,0.151,0.35448,3.69979,0.93031,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,28.5485,0.55719,2.90698,1.1356,0.58168,0.30737,0.20716,0.16342,0.35236,3.62968,0.9281,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,30.5932,0.40499,2.78191,0.97523,0.54387,0.34065,0.2171,0.17219,0.34912,3.55651,0.92624,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
