epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.4381,0.4464,2.95536,1.0629,0.42776,0.19113,0.17956,0.15282,0.32791,2.68461,0.8659,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432
2,18.8759,0.4347,2.88931,1.0124,0.43788,0.15493,0.18951,0.16297,0.33081,2.63146,0.86684,0.00071436,0.00023812,0.00071436,0.00023812,0.00071436,0.00023812,0.00071436,0.00023812
3,22.5984,0.45315,2.83612,1.01406,0.43653,0.10798,0.20342,0.1797,0.32473,2.56851,0.86138,0.00107048,0.000356827,0.00107048,0.000356827,0.00107048,0.000356827,0.00107048,0.000356827
4,25.8464,0.46119,2.76106,1.02395,0.43461,0.16901,0.21677,0.19321,0.32284,2.50206,0.85637,0.00141132,0.000470441,0.00141132,0.000470441,0.00141132,0.000470441,0.00141132,0.000470441
5,31.311,0.45085,2.69494,1.02776,0.43427,0.21596,0.24311,0.21729,0.32975,2.40639,0.8577,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962
6,34.5076,0.45647,2.55213,1.03247,0.43307,0.22535,0.28,0.24844,0.3526,2.35117,0.87623,0.00204717,0.00068239,0.00204717,0.00068239,0.00204717,0.00068239,0.00204717,0.00068239
7,37.3972,0.44397,2.52069,1.013,0.43382,0.23474,0.3045,0.27295,0.35838,2.31254,0.87978,0.00234218,0.000780726,0.00234218,0.000780726,0.00234218,0.000780726,0.00234218,0.000780726
8,40.4114,0.4228,2.44577,0.98518,0.50251,0.24664,0.32063,0.29073,0.35288,2.26032,0.87737,0.0026219,0.000873968,0.0026219,0.000873968,0.0026219,0.000873968,0.0026219,0.000873968
9,43.4273,0.42524,2.34583,1.02901,0.55545,0.29398,0.3478,0.31787,0.36322,2.22946,0.88998,0.00288635,0.000962117,0.00288635,0.000962117,0.00288635,0.000962117,0.00288635,0.000962117
10,46.2104,0.4714,2.32762,1.02011,0.55328,0.3957,0.33503,0.30744,0.34778,2.15825,0.87782,0.00313552,0.00104517,0.00313552,0.00104517,0.00313552,0.00104517,0.00313552,0.00104517
11,48.9963,0.43679,2.17322,0.97717,0.30563,0.52113,0.33434,0.3044,0.35029,2.10321,0.87403,0.00336941,0.00112314,0.00336941,0.00112314,0.00336941,0.00112314,0.00336941,0.00112314
12,51.9459,0.45942,2.11156,1.0081,0.31525,0.61092,0.3577,0.32281,0.39429,2.0462,0.90029,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,54.7457,0.47303,1.97841,1.00618,0.30027,0.62741,0.36579,0.33491,0.38883,1.99741,0.90072,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,57.511,0.46184,1.98774,1.01152,0.29731,0.64072,0.37223,0.3464,0.40306,1.97935,0.90271,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,60.3149,0.47442,1.8276,0.99964,0.2973,0.64359,0.38013,0.35768,0.3933,1.94214,0.89308,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,63.2804,0.4392,1.79495,0.98155,0.30366,0.69107,0.37155,0.34642,0.38392,1.89286,0.88805,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,66.359,0.459,1.67884,0.97608,0.31325,0.69184,0.3955,0.36671,0.39193,1.84912,0.89374,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,69.1562,0.44565,1.73091,1.00692,0.30758,0.69988,0.40742,0.37918,0.39126,1.78961,0.89947,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,71.9475,0.46208,1.54328,0.98329,0.32354,0.6658,0.43771,0.40443,0.39492,1.75322,0.9011,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,74.8981,0.45079,1.5312,0.97553,0.38416,0.49496,0.45721,0.42198,0.38256,1.72469,0.90864,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,77.7183,0.42922,1.44549,0.99762,0.37149,0.62469,0.49302,0.45221,0.36035,1.71171,0.88457,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,80.4889,0.45992,1.45716,0.98877,0.47391,0.56704,0.5245,0.47072,0.36201,1.72876,0.87638,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,83.3007,0.41674,1.37245,0.97172,0.45621,0.61155,0.54738,0.4963,0.36423,1.68913,0.87502,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,86.3403,0.43973,1.33883,0.97657,0.5935,0.51553,0.58192,0.5374,0.36631,1.63141,0.87684,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,89.132,0.42949,1.33399,0.98577,0.61578,0.52117,0.60522,0.56124,0.36824,1.59334,0.87968,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
