epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.0594,0.5361,3.23229,1.05432,0.7699,0.20588,0.1445,0.13458,0.3691,4.86563,0.94553,0,0,0,0,0,0,0,0
2,17.1956,0.53109,4.08647,1.09843,0.77056,0.20588,0.14447,0.13454,0.36726,4.87536,0.94386,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,19.0825,0.40342,3.41673,1.01329,0.76963,0.20588,0.14228,0.1328,0.36665,4.89326,0.94365,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,20.7148,0.50325,3.57791,1.12631,0.76974,0.20588,0.14219,0.13271,0.36678,4.89375,0.94297,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,22.2845,0.42851,3.71883,1.01921,0.76989,0.20588,0.14363,0.13367,0.36638,4.91297,0.94272,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,25.2755,0.45572,4.09111,1.04776,0.77012,0.20588,0.14252,0.13284,0.3657,4.90229,0.94186,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,26.7619,0.63115,3.87826,1.2074,0.77043,0.20829,0.14244,0.13265,0.36579,4.9326,0.94189,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,30.1806,0.5397,4.71551,1.22408,0.7706,0.20588,0.14684,0.13665,0.36554,4.95576,0.94138,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,38.1488,0.47245,3.52339,1.08205,0.77155,0.20588,0.14201,0.13244,0.36503,4.8279,0.94102,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,46.1422,0.39165,3.53696,0.97641,0.77002,0.20588,0.15312,0.14259,0.36404,4.65306,0.94032,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,50.7004,0.43533,3.36794,1.01797,0.76739,0.20588,0.15269,0.14233,0.36334,4.48057,0.94128,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,54.7366,0.40695,3.22508,1.0061,0.76679,0.21569,0.16171,0.15081,0.35958,4.28682,0.93911,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,58.8405,0.4398,3.27745,1.04797,0.76279,0.23529,0.17327,0.16332,0.3571,4.11211,0.9373,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
14,60.8277,0.58263,3.21839,1.13397,0.56398,0.30779,0.19113,0.17991,0.3543,3.96718,0.93619,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953
