epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.8245,0.99196,3.48902,1.59993,0.13486,0.25846,0.13185,0.10364,0.79701,3.13793,1.56252,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432
2,21.1472,0.78957,2.92018,1.39484,0.27497,0.44216,0.26377,0.2363,0.54514,2.57529,1.22781,0.00071436,0.00023812,0.00071436,0.00023812,0.00071436,0.00023812,0.00071436,0.00023812
3,26.3531,0.71197,2.43626,1.34077,0.42269,0.47194,0.43721,0.41263,0.408,2.21037,1.06268,0.00107048,0.000356827,0.00107048,0.000356827,0.00107048,0.000356827,0.00107048,0.000356827
4,31.3532,0.60412,2.01913,1.22754,0.45532,0.52757,0.5353,0.50404,0.32953,2.20935,0.97173,0.00141132,0.000470441,0.00141132,0.000470441,0.00141132,0.000470441,0.00141132,0.000470441
5,36.5022,0.56546,1.72807,1.19789,0.52336,0.46577,0.55885,0.52309,0.31392,1.89704,0.94752,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962
6,41.4115,0.51483,1.48157,1.15064,0.6031,0.50501,0.60619,0.57202,0.2758,1.65129,0.90466,0.00204717,0.00068239,0.00204717,0.00068239,0.00204717,0.00068239,0.00204717,0.00068239
7,46.2636,0.49594,1.25705,1.10868,0.61672,0.60392,0.64831,0.62007,0.26909,1.57316,0.89341,0.00234218,0.000780726,0.00234218,0.000780726,0.00234218,0.000780726,0.00234218,0.000780726
8,51.0212,0.44996,1.11642,1.06153,0.68644,0.5711,0.68773,0.65362,0.29626,1.40842,0.90721,0.0026219,0.000873968,0.0026219,0.000873968,0.0026219,0.000873968,0.0026219,0.000873968
9,55.7922,0.4303,0.99678,1.0746,0.75146,0.60565,0.74506,0.70846,0.30935,1.18638,0.90501,0.00288635,0.000962117,0.00288635,0.000962117,0.00288635,0.000962117,0.00288635,0.000962117
10,60.3236,0.4431,0.9064,1.05362,0.59175,0.7279,0.73249,0.69617,0.29349,1.22827,0.88628,0.00313552,0.00104517,0.00313552,0.00104517,0.00313552,0.00104517,0.00313552,0.00104517
