Scheme,Scheme_Label,K,Size,mAP50,mAP50-95
S1,Scheme 1,5,medium,0.59257,0.56876
S1,Scheme 1,10,medium,0.6834,0.6534
S1,Scheme 1,15,medium,0.68999,0.65473
S1,Scheme 1,20,medium,0.66609,0.63496
S1,Scheme 1,25,medium,0.63148,0.59921
S1,Scheme 1,30,medium,0.71233,0.68275
S1,Scheme 1,35,medium,0.7714,0.74667
S1,Scheme 1,40,medium,0.74808,0.71462
S1,Scheme 1,45,medium,0.78156,0.75046
S1,Scheme 1,50,medium,0.81539,0.7768
S2,Scheme 2,5,medium,0.40372,0.39131
S2,Scheme 2,10,medium,0.43017,0.40367
S2,Scheme 2,15,medium,0.6407,0.60179
S2,Scheme 2,20,medium,0.63161,0.60599
S2,Scheme 2,25,medium,0.63824,0.61551
S2,Scheme 2,30,medium,0.71583,0.68837
S2,Scheme 2,35,medium,0.73354,0.70263
S2,Scheme 2,40,medium,0.7083,0.67503
S2,Scheme 2,45,medium,0.73411,0.71236
S2,Scheme 2,50,medium,0.73648,0.70512
S3,Scheme 3,5,medium,0.44272,0.40494
S3,Scheme 3,10,medium,0.56841,0.52981
S3,Scheme 3,15,medium,0.69828,0.66826
S3,Scheme 3,20,medium,0.73076,0.68952
S3,Scheme 3,25,medium,0.70304,0.67364
S3,Scheme 3,30,medium,0.78982,0.75022
S3,Scheme 3,35,medium,0.80921,0.77413
S3,Scheme 3,40,medium,0.77482,0.7348
S3,Scheme 3,45,medium,0.79116,0.75277
S3,Scheme 3,50,medium,0.88305,0.83909
S1,Scheme 1,5,nano,0.22479,0.1955
S1,Scheme 1,10,nano,0.26022,0.22679
S1,Scheme 1,15,nano,0.38352,0.34967
S1,Scheme 1,20,nano,0.39757,0.36181
S1,Scheme 1,25,nano,0.52222,0.47377
S1,Scheme 1,30,nano,0.65366,0.60609
S1,Scheme 1,35,nano,0.69321,0.63627
S1,Scheme 1,40,nano,0.67775,0.62968
S1,Scheme 1,45,nano,0.7015,0.64993
S1,Scheme 1,50,nano,0.72959,0.69496
S2,Scheme 2,5,nano,0.18966,0.16937
S2,Scheme 2,10,nano,0.27993,0.254
S2,Scheme 2,15,nano,0.41198,0.3732
S2,Scheme 2,20,nano,0.37623,0.34057
S2,Scheme 2,25,nano,0.4623,0.43027
S2,Scheme 2,30,nano,0.58052,0.52454
S2,Scheme 2,35,nano,0.64454,0.59058
S2,Scheme 2,40,nano,0.65209,0.60013
S2,Scheme 2,45,nano,0.69552,0.63255
S2,Scheme 2,50,nano,0.71831,0.66251
S3,Scheme 3,5,nano,0.14625,0.09213
S3,Scheme 3,10,nano,0.33862,0.28883
S3,Scheme 3,15,nano,0.35818,0.32723
S3,Scheme 3,20,nano,0.47996,0.43289
S3,Scheme 3,25,nano,0.55009,0.4985
S3,Scheme 3,30,nano,0.70633,0.63551
S3,Scheme 3,35,nano,0.81504,0.75302
S3,Scheme 3,40,nano,0.7936,0.72665
S3,Scheme 3,45,nano,0.76861,0.70117
S3,Scheme 3,50,nano,0.79205,0.72893
S1,Scheme 1,5,small,0.48078,0.43384
S1,Scheme 1,10,small,0.76104,0.70998
S1,Scheme 1,15,small,0.7928,0.74524
S1,Scheme 1,20,small,0.76111,0.72554
S1,Scheme 1,25,small,0.77173,0.73457
S1,Scheme 1,30,small,0.7633,0.72505
S1,Scheme 1,35,small,0.80303,0.75818
S1,Scheme 1,40,small,0.7628,0.71374
S1,Scheme 1,45,small,0.80978,0.76122
S1,Scheme 1,50,small,0.81089,0.77711
S2,Scheme 2,5,small,0.3516,0.33198
S2,Scheme 2,10,small,0.54792,0.51542
S2,Scheme 2,15,small,0.66917,0.62502
S2,Scheme 2,20,small,0.60334,0.57018
S2,Scheme 2,25,small,0.67657,0.63715
S2,Scheme 2,30,small,0.70901,0.67694
S2,Scheme 2,35,small,0.74669,0.71546
S2,Scheme 2,40,small,0.70501,0.66769
S2,Scheme 2,45,small,0.75384,0.72413
S2,Scheme 2,50,small,0.75473,0.72638
S3,Scheme 3,5,small,0.30836,0.27224
S3,Scheme 3,10,small,0.45739,0.40321
S3,Scheme 3,15,small,0.64626,0.60388
S3,Scheme 3,20,small,0.73708,0.69266
S3,Scheme 3,25,small,0.70836,0.67028
S3,Scheme 3,30,small,0.81554,0.77376
S3,Scheme 3,35,small,0.79113,0.74956
S3,Scheme 3,40,small,0.77244,0.71203
S3,Scheme 3,45,small,0.79866,0.74828
S3,Scheme 3,50,small,0.81917,0.78058
