no,nama_file,luas_daun,luas_lesi,severity_estimation
1,00001_frog_eye_leaf_spot_jpg.rf.806a4e55716bb6c2867fb0b5d91625f0.jpg,1903944,39870,2.09%
2,00002_frog_eye_leaf_spot_jpg.rf.86ba81c9c485f1b7bae660b9c159e372.jpg,4243697,20146,0.47%
3,00003_frog_eye_leaf_spot_jpg.rf.9ea9e8a1bf55912cf436ac51f4cc7d3c.jpg,4806180,39947,0.83%
4,00004_frog_eye_leaf_spot_jpg.rf.44759921f9dee5a1300ca6b0d108b899.jpg,3892175,22965,0.59%
5,00005_frog_eye_leaf_spot_jpg.rf.44ce7a6495450428c4ef8ccdac5fda95.jpg,5035274,7457,0.15%
6,00006_frog_eye_leaf_spot_jpg.rf.4b746cfab59b3660328b5560f7ddce87.jpg,2381893,44100,1.85%
7,00007_frog_eye_leaf_spot_jpg.rf.e4592b4dd00e58eea06aa8ea66020451.jpg,3149827,131594,4.18%
8,00008_frog_eye_leaf_spot_jpg.rf.d5f2b374e7e1fcae9f152ffe44dd78a7.jpg,3743143,64849,1.73%
9,00009_frog_eye_leaf_spot_jpg.rf.55071c9cf25884b392ea758324b8d76c.jpg,2461834,82028,3.33%
10,00010_frog_eye_leaf_spot_jpg.rf.e7890eb2e70d7a2aaca79573f411b83c.jpg,6705432,15063,0.22%
11,00011_frog_eye_leaf_spot_jpg.rf.bcdea06c432ba2753d3e6f31c4c21323.jpg,2634446,20234,0.77%
12,00012_frog_eye_leaf_spot_jpg.rf.8b59079062fbb235fcc398680e81b75b.jpg,5220953,67585,1.29%
13,00013_frog_eye_leaf_spot_jpg.rf.670760f81712542fa52468193a3da28a.jpg,2281007,33166,1.45%
14,00014_frog_eye_leaf_spot_jpg.rf.16357a8b2dce552ae36383f3f6095929.jpg,5394122,23707,0.44%
15,00016_frog_eye_leaf_spot_jpg.rf.819888c4ebcb5ad36404f7f6358bebf1.jpg,3460829,9922,0.29%
16,00017_frog_eye_leaf_spot_jpg.rf.dd4b23a0492e872557b6452af66cb7d9.jpg,3431062,35289,1.03%
17,00018_frog_eye_leaf_spot_jpg.rf.1de11ffc3c9e8f0c17b3a15035404f72.jpg,2159004,7045,0.33%
18,00019_frog_eye_leaf_spot_jpg.rf.bc554f9404951ab91f50a05b4af42c13.jpg,3831094,120233,3.14%
19,00020_frog_eye_leaf_spot_jpg.rf.d34be1c4f7d78c5b153683ad29ed4b09.jpg,5275677,77984,1.48%
20,00021_frog_eye_leaf_spot_jpg.rf.55459879607cf35786b670c190e2756e.jpg,3890050,55270,1.42%
21,00022_frog_eye_leaf_spot_jpg.rf.d5c4c64b8445169e44b53a5713cfde33.jpg,2845279,69600,2.45%
22,00023_frog_eye_leaf_spot_jpg.rf.243b71685cb4e37133acf716e0bec103.jpg,4389265,80026,1.82%
23,00024_frog_eye_leaf_spot_jpg.rf.567ced8328567c31d5c3438bfac92d5c.jpg,1781529,60292,3.38%
24,00025_frog_eye_leaf_spot_jpg.rf.805f4eea86d3edc7cbf4ffe44b261bc5.jpg,6515881,21541,0.33%
25,00026_frog_eye_leaf_spot_jpg.rf.dd9aceb3c783e0794e50e24ce8590b3e.jpg,3098536,39285,1.27%
26,00027_frog_eye_leaf_spot_jpg.rf.b449b9104c34b514300bac659acfb38e.jpg,3202227,6816,0.21%
27,00028_frog_eye_leaf_spot_jpg.rf.8b351158640fe11478cbd835c44d7abb.jpg,2176650,10757,0.49%
28,00029_frog_eye_leaf_spot_jpg.rf.d5a6161a1799f12a1c8ae8dfb20b55d7.jpg,2093380,20759,0.99%
29,00030_frog_eye_leaf_spot_jpg.rf.3831fe7523dda115e51ac1b999b0ef91.jpg,7924103,189728,2.39%
30,00031_frog_eye_leaf_spot_jpg.rf.a55e462e91cd811712b354522319f115.jpg,3037324,235378,7.75%
31,00032_frog_eye_leaf_spot_jpg.rf.68c81156688bd6ced7b0ef941e2c46fd.jpg,5663685,17657,0.31%
32,00033_frog_eye_leaf_spot_jpg.rf.cddea9469bc92f958e4d451d3913b053.jpg,2035184,36739,1.81%
33,00034_frog_eye_leaf_spot_jpg.rf.cbaa99bbd414e671a89a925eb2cc7f54.jpg,5024753,26023,0.52%
34,00035_frog_eye_leaf_spot_jpg.rf.c6645dc5dd6972523e883614d63b776b.jpg,3518558,25345,0.72%
35,00036_frog_eye_leaf_spot_jpg.rf.91d8c756c84f443626f2fc43e23ae71a.jpg,1188489,44420,3.74%
36,00037_frog_eye_leaf_spot_jpg.rf.e5a95801b20f558bf1778b70ff37ccea.jpg,3317615,0,0.00%
37,00038_frog_eye_leaf_spot_jpg.rf.7df2b85c4b4a8d95288a0fd381bb28ad.jpg,3862733,28898,0.75%
38,00039_frog_eye_leaf_spot_jpg.rf.f3df891535935ddfff5d052e397bcb75.jpg,2664090,16513,0.62%
39,00040_frog_eye_leaf_spot_jpg.rf.e148a0775d1e048c8cafb0726ea1c4ca.jpg,2066922,21286,1.03%
40,00041_frog_eye_leaf_spot_jpg.rf.6d6ce1d4bafb61faecb1b014b89441e0.jpg,4069940,9353,0.23%
41,00042_frog_eye_leaf_spot_jpg.rf.0c1b76407c6e797e518790843cb0c2d4.jpg,5221578,67074,1.28%
42,00043_frog_eye_leaf_spot_jpg.rf.d4eca69afc448048f734ae96572aab40.jpg,4210269,87121,2.07%
43,00044_frog_eye_leaf_spot_jpg.rf.db630e7e801b4cf10855db6e502718b1.jpg,5386444,13313,0.25%
44,00045_frog_eye_leaf_spot_jpg.rf.d2a187c3fe3a8f1b05bd4ab4b76ddf45.jpg,1324533,25334,1.91%
45,00046_frog_eye_leaf_spot_jpg.rf.961095af844d805779cab639b3bbb295.jpg,5753906,76026,1.32%
46,00047_frog_eye_leaf_spot_jpg.rf.fbfa707ada8892d9674d26b4501f6f2f.jpg,2366667,45332,1.92%
47,00048_frog_eye_leaf_spot_jpg.rf.0f0d8ce76f72bcacb7ecd57aab00f007.jpg,4773454,15409,0.32%
48,00049_frog_eye_leaf_spot_jpg.rf.d344e0ff44f22644a3ec6bed055c1e8a.jpg,3873891,4486,0.12%
49,00050_frog_eye_leaf_spot_jpg.rf.9ea86585758ad677ac10c90d2764412c.jpg,3311673,54462,1.64%
50,00051_frog_eye_leaf_spot_jpg.rf.6770c4745a8ec47886d809b3463b85cd.jpg,2001436,21586,1.08%
51,00052_frog_eye_leaf_spot_jpg.rf.c34d5f5c2377d1f6b43db6137bb89a19.jpg,4093297,21058,0.51%
52,00053_frog_eye_leaf_spot_jpg.rf.5f86df4397b0d22b03bf91ad4c126b24.jpg,5471306,73294,1.34%
53,00054_frog_eye_leaf_spot_jpg.rf.ce429d41880f1851c1d63b769cc816db.jpg,3894723,43596,1.12%
54,00055_frog_eye_leaf_spot_jpg.rf.b329d026642a3940bd0639408bbf7fdf.jpg,4993828,9942,0.20%
55,00056_frog_eye_leaf_spot_jpg.rf.988c7f0d2dd4d47d0a18325f45c6f647.jpg,5003079,230163,4.60%
56,00057_frog_eye_leaf_spot_jpg.rf.7e9d9d3a37179c5d094e7f4a4cf97ca5.jpg,3056057,12034,0.39%
57,00058_frog_eye_leaf_spot_jpg.rf.ae2cae5fec88ce8286b38f0fe5caf8f8.jpg,5154693,97470,1.89%
58,00059_frog_eye_leaf_spot_jpg.rf.42d0e9da5dbf368820b2124ac6ed37eb.jpg,6014390,70343,1.17%
