model_size,split_size,test_mAP50,test_mAP50_95,train_mAP50,train_mAP50_95
nano,100,0.5768866666666667,0.5408733333333333,0.6320733333333334,0.61865
nano,200,0.76012,0.72812,0.9798,0.96359
nano,300,0.8127,0.7474966666666667,0.9944633333333334,0.9885933333333333
nano,400,0.77784,0.7143200000000002,0.97167,0.9385233333333334
nano,500,0.8863766666666667,0.8531,0.9947499999999999,0.9852
nano,600,0.9264666666666667,0.8858966666666667,0.99494,0.9870933333333333
nano,700,0.8715766666666666,0.81119,0.9947900000000001,0.9821833333333334
nano,750,0.9308033333333334,0.8519666666666666,0.98692,0.9655133333333333
nano,1000,0.9057733333333333,0.8398433333333334,0.98608,0.9632133333333334
nano,1250,0.9571766666666668,0.9012266666666666,0.9890866666666667,0.9666966666666666
nano,1500,0.9648166666666667,0.9186333333333333,0.9858933333333333,0.9649066666666667
nano,1750,0.9422166666666666,0.8947099999999999,0.9886633333333332,0.9678266666666667
nano,2000,0.9407533333333333,0.8959999999999999,0.9881433333333334,0.9676566666666666
nano,3000,0.9601833333333333,0.9148966666666666,0.9864,0.9644833333333332
nano,4000,0.9585833333333333,0.9167133333333334,0.9865733333333333,0.9664966666666667
