epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6067,0.84087,2.7186,1.36066,0.007,0.97132,0.32611,0.26655,0.67317,2.79763,1.19581,0.000465508,0.000465508,0.000465508
2,23.6083,0.84953,1.92801,1.34564,0.44714,0.44721,0.42528,0.31045,0.84442,2.19596,1.52827,0.000923192,0.000923192,0.000923192
3,30.6295,0.89482,1.68991,1.33968,0.31417,0.50489,0.34552,0.22905,1.05982,2.60199,1.60754,0.00136201,0.00136201,0.00136201
4,37.4702,0.87006,1.62975,1.32856,0.48328,0.47045,0.41137,0.24931,0.9789,4.00078,1.53672,0.00134412,0.00134412,0.00134412
5,44.5681,0.85763,1.52909,1.32827,0.35686,0.47494,0.34189,0.212,1.27776,3.41195,1.93365,0.00131582,0.00131582,0.00131582
6,51.6506,0.83395,1.49282,1.31549,0.58785,0.56561,0.60485,0.38895,1.04567,2.8668,1.6233,0.00128753,0.00128753,0.00128753
7,58.7156,0.80456,1.38954,1.26709,0.42736,0.6565,0.55921,0.42129,0.81855,1.8629,1.33019,0.00125923,0.00125923,0.00125923
8,65.6186,0.822,1.36257,1.30717,0.33858,0.70275,0.56816,0.46103,0.83546,1.98326,1.30872,0.00123094,0.00123094,0.00123094
9,72.5413,0.7675,1.26239,1.26145,0.80605,0.69062,0.78989,0.59864,0.7596,1.89233,1.30198,0.00120265,0.00120265,0.00120265
10,79.3283,0.74709,1.21103,1.23866,0.77045,0.72416,0.76625,0.61314,0.69851,1.64844,1.25189,0.00117435,0.00117435,0.00117435
11,86.0441,0.75125,1.21389,1.24208,0.6949,0.52522,0.64058,0.46582,0.89147,1.97602,1.42391,0.00114606,0.00114606,0.00114606
12,92.7598,0.71342,1.15486,1.22517,0.70085,0.62522,0.73044,0.55152,0.80389,1.8375,1.26352,0.00111776,0.00111776,0.00111776
13,99.5658,0.71507,1.11234,1.23374,0.65106,0.67266,0.71857,0.57778,0.67123,1.30361,1.16979,0.00108947,0.00108947,0.00108947
14,106.189,0.72607,1.10456,1.22412,0.69861,0.74406,0.77676,0.62836,0.70526,1.76156,1.23172,0.00106118,0.00106118,0.00106118
15,112.887,0.68806,1.10042,1.21233,0.72541,0.74894,0.81609,0.69804,0.54632,1.20796,1.08731,0.00103288,0.00103288,0.00103288
16,119.742,0.67751,1.05465,1.20279,0.83876,0.72705,0.84778,0.70127,0.58592,1.27685,1.11306,0.00100459,0.00100459,0.00100459
17,127.188,0.65192,1.02192,1.18279,0.83459,0.75658,0.84742,0.72648,0.59423,0.93639,1.11319,0.000976293,0.000976293,0.000976293
18,134.495,0.66353,0.99413,1.19442,0.84294,0.73042,0.84978,0.73452,0.5349,1.08306,1.07939,0.000947999,0.000947999,0.000947999
19,141.789,0.64215,0.97069,1.16326,0.80376,0.80475,0.89621,0.78824,0.49199,0.9696,1.05377,0.000919704,0.000919704,0.000919704
20,149.244,0.62306,0.95832,1.16495,0.79818,0.79795,0.87942,0.75783,0.55267,0.92128,1.07897,0.00089141,0.00089141,0.00089141
21,156.687,0.59891,0.94383,1.15151,0.81781,0.79254,0.87707,0.76084,0.58042,0.92677,1.14996,0.000863116,0.000863116,0.000863116
22,163.962,0.61835,0.93383,1.16511,0.84947,0.75453,0.88042,0.76507,0.55504,0.89641,1.09182,0.000834822,0.000834822,0.000834822
23,171.118,0.60309,0.88513,1.15695,0.87221,0.77132,0.88969,0.76695,0.5506,0.99325,1.07458,0.000806528,0.000806528,0.000806528
24,177.738,0.59793,0.87285,1.14472,0.78175,0.7624,0.85197,0.72943,0.51502,0.99519,1.05539,0.000778233,0.000778233,0.000778233
25,184.412,0.62286,0.88783,1.1598,0.86244,0.78755,0.88568,0.78543,0.47285,0.89115,0.99043,0.000749939,0.000749939,0.000749939
