epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.4976,1.10068,3.27011,1.6578,0.00629,0.93197,0.03795,0.0161,0.87484,3.0933,1.46848,0.00055731,0.00018577,0.00055731,0.00018577,0.00055731,0.00018577,0.00055731,0.00018577
2,17.9343,0.86709,3.12187,1.4166,0.00671,0.95918,0.11329,0.09077,0.63751,3.05136,1.20542,0.00113457,0.000378191,0.00113457,0.000378191,0.00113457,0.000378191,0.00113457,0.000378191
3,22.15,0.72828,3.03848,1.31324,0.00761,0.96599,0.20316,0.15484,0.5095,3.03463,1.09274,0.00168807,0.000562689,0.00168807,0.000562689,0.00168807,0.000562689,0.00168807,0.000562689
4,26.0561,0.66744,2.95846,1.27857,0.00853,0.97959,0.23452,0.19362,0.50408,3.00055,1.0769,0.00221779,0.000739265,0.00221779,0.000739265,0.00221779,0.000739265,0.00221779,0.000739265
5,30.031,0.62469,2.84266,1.20738,0.0086,0.9932,0.29231,0.25264,0.46307,2.90208,0.97255,0.00272375,0.000907918,0.00272375,0.000907918,0.00272375,0.000907918,0.00272375,0.000907918
6,33.508,0.57445,2.72443,1.18477,0.00835,0.98639,0.3344,0.29439,0.47388,2.76853,0.95119,0.00320595,0.00106865,0.00320595,0.00106865,0.00320595,0.00106865,0.00320595,0.00106865
7,36.5696,0.59635,2.68535,1.19648,0.73265,0.08952,0.35824,0.31499,0.49303,2.63349,0.96703,0.00366437,0.00122146,0.00366437,0.00122146,0.00366437,0.00122146,0.00366437,0.00122146
8,39.9548,0.57634,2.54844,1.14322,0.64508,0.29548,0.37382,0.31833,0.56247,2.40642,0.9989,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,43.2693,0.53882,2.40815,1.13793,0.6145,0.46011,0.4189,0.36351,0.56712,2.19428,1.00472,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,46.5557,0.59791,2.27247,1.13847,0.60024,0.3927,0.37506,0.33037,0.52301,1.96142,0.98437,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
