epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.881,0.92852,2.24212,1.45082,0,0,0,0,nan,nan,nan,0.00045728,0.00045728,0.00045728
2,310.044,1.19531,1.88454,1.56674,0,0,0,0,nan,nan,nan,0.000919654,0.000919654,0.000919654
3,491.942,1.28237,1.90454,1.61305,0.33398,0.02817,0.00021,8e-05,nan,nan,nan,0.00137269,0.00137269,0.00137269
4,651.35,1.1751,1.71443,1.52922,0.05999,0.33889,0.04995,0.01587,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,805.866,1.08696,1.62447,1.48137,0.03341,0.17888,0.01641,0.00555,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,997.051,1.02647,1.56608,1.42252,0.51096,0.3502,0.22809,0.10055,1.60467,16.0665,2.37967,0.00135826,0.00135826,0.00135826
7,1174.89,1.05066,1.48488,1.43042,0.58227,0.32325,0.28056,0.16654,nan,nan,nan,0.00134412,0.00134412,0.00134412
8,1362.42,0.99786,1.45344,1.38976,0.56751,0.51358,0.40536,0.24045,1.01915,14.4368,1.53652,0.00132997,0.00132997,0.00132997
9,1550.39,0.9419,1.36019,1.33973,0.64978,0.57473,0.62229,0.46951,0.78618,2.59048,1.3359,0.00131582,0.00131582,0.00131582
10,1769.07,0.94269,1.31641,1.36447,0.49778,0.62783,0.59922,0.4788,0.74085,3.41541,1.29243,0.00130168,0.00130168,0.00130168
11,1921.46,0.8721,1.24964,1.30983,0.73451,0.42745,0.61365,0.47936,0.76622,2.33389,1.25562,0.00128753,0.00128753,0.00128753
12,2075.31,0.88392,1.26374,1.33286,0.66878,0.60747,0.71667,0.58077,0.74206,2.22706,1.24087,0.00127338,0.00127338,0.00127338
13,2248.44,0.83824,1.13456,1.27812,0.68137,0.60306,0.73919,0.62091,0.76475,1.77386,1.25286,0.00125923,0.00125923,0.00125923
14,2450.18,0.86101,1.20174,1.29053,0.81182,0.75027,0.82365,0.68195,0.70872,1.18128,1.19353,0.00124509,0.00124509,0.00124509
15,2644.99,0.82816,1.15872,1.28569,0.80769,0.71565,0.8401,0.69728,0.63708,1.1838,1.12449,0.00123094,0.00123094,0.00123094
16,2845.39,0.79607,1.11974,1.26544,0.77732,0.61536,0.67094,0.55474,0.64931,2.09936,1.12885,0.00121679,0.00121679,0.00121679
17,3111.58,0.76706,1.08797,1.24064,0.64853,0.72345,0.77918,0.65128,0.6004,1.20561,1.10066,0.00120265,0.00120265,0.00120265
