epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.314,0.54277,1.19109,1.18258,0.86728,0.77382,0.88885,0.77213,0.54041,0.7783,1.14181,0.00332636,0.00332636,0.00332636
2,284.656,0.59041,0.88952,1.17516,0.78751,0.76594,0.83618,0.72249,0.52201,0.80762,1.07847,0.00659376,0.00659376,0.00659376
3,421.452,0.70509,1.01476,1.24111,0.48311,0.46763,0.46336,0.29636,1.19369,2.50609,1.90736,0.00979516,0.00979516,0.00979516
4,557.728,0.76312,1.04341,1.27932,0.7219,0.62281,0.71796,0.57423,0.6878,1.13693,1.25387,0.009703,0.009703,0.009703
5,694.556,0.70714,0.96822,1.23537,0.84533,0.79727,0.88607,0.77791,0.49519,0.69083,1.05356,0.009604,0.009604,0.009604
6,831.092,0.67036,0.90941,1.21174,0.81323,0.74074,0.85392,0.74251,0.5241,0.88795,1.09315,0.009505,0.009505,0.009505
7,967.789,0.63615,0.85954,1.18435,0.88538,0.83709,0.93085,0.84597,0.4015,0.53201,0.96926,0.009406,0.009406,0.009406
8,1102.2,0.61739,0.82687,1.17532,0.87892,0.8664,0.93603,0.8464,0.40551,0.61366,0.95891,0.009307,0.009307,0.009307
9,1234.27,0.60013,0.79922,1.16641,0.86966,0.86117,0.93704,0.85685,0.3821,0.50599,0.95384,0.009208,0.009208,0.009208
10,1366.09,0.58018,0.77494,1.15303,0.86987,0.86559,0.93316,0.86006,0.36729,0.50804,0.93263,0.009109,0.009109,0.009109
11,1495.64,0.56658,0.75045,1.14354,0.89876,0.85578,0.93747,0.8718,0.3533,0.49566,0.91758,0.00901,0.00901,0.00901
12,1628.1,0.55212,0.7356,1.13652,0.88445,0.87606,0.93625,0.86217,0.35963,0.48111,0.93676,0.008911,0.008911,0.008911
13,1763.08,0.54454,0.71688,1.12706,0.90901,0.87272,0.95457,0.88917,0.3372,0.4475,0.9167,0.008812,0.008812,0.008812
14,1897.79,0.54189,0.7113,1.12521,0.76145,0.76701,0.83123,0.7743,0.35537,0.84285,0.92761,0.008713,0.008713,0.008713
15,2033.14,0.52751,0.70619,1.11852,0.88893,0.86856,0.94442,0.88144,0.32466,0.46243,0.90304,0.008614,0.008614,0.008614
16,2168.51,0.52333,0.69212,1.11696,0.91341,0.85933,0.94539,0.88426,0.31635,0.43345,0.90704,0.008515,0.008515,0.008515
17,2301.77,0.51852,0.68954,1.11357,0.89152,0.88124,0.95043,0.89265,0.31454,0.44225,0.89868,0.008416,0.008416,0.008416
18,2434.93,0.51256,0.68072,1.1088,0.87696,0.90002,0.95201,0.89951,0.30512,0.43308,0.89236,0.008317,0.008317,0.008317
19,2568.17,0.50087,0.66098,1.09809,0.89146,0.87303,0.94206,0.89423,0.29163,0.42636,0.86979,0.008218,0.008218,0.008218
20,2701.29,0.49775,0.65229,1.10293,0.92466,0.86793,0.95724,0.90644,0.28892,0.41626,0.87654,0.008119,0.008119,0.008119
21,2834.6,0.49423,0.64865,1.10015,0.9012,0.88659,0.95041,0.90398,0.27549,0.40625,0.85889,0.00802,0.00802,0.00802
