epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8261,0.64093,1.96307,1.20435,0.79872,0.76322,0.83706,0.70848,0.54136,1.25497,1.0565,0.00332636,0.00332636,0.00332636
2,143.577,0.64064,1.22352,1.16402,0.74505,0.73711,0.81244,0.70138,0.52279,1.168,1.04038,0.00659376,0.00659376,0.00659376
3,206.847,0.73904,1.21237,1.21422,0.58794,0.54873,0.62784,0.44584,0.9007,2.51095,1.45239,0.00979516,0.00979516,0.00979516
4,269.55,0.77297,1.1657,1.24014,0.8445,0.74565,0.82846,0.70731,0.57503,0.85682,1.07314,0.009703,0.009703,0.009703
5,331.578,0.72218,1.04402,1.21224,0.84001,0.77183,0.87454,0.76704,0.5179,0.75948,1.0119,0.009604,0.009604,0.009604
6,393.694,0.69156,0.97737,1.19069,0.84696,0.79794,0.89144,0.77563,0.49775,0.75264,1.02592,0.009505,0.009505,0.009505
7,456.138,0.66211,0.92604,1.17124,0.83744,0.8024,0.88049,0.76691,0.48453,0.67629,1.01431,0.009406,0.009406,0.009406
8,518.084,0.64437,0.87962,1.1635,0.8758,0.82486,0.9163,0.81297,0.44777,0.64014,0.9692,0.009307,0.009307,0.009307
9,579.774,0.62245,0.85204,1.15578,0.87982,0.83994,0.9335,0.84626,0.39255,0.55481,0.94133,0.009208,0.009208,0.009208
10,640.988,0.60865,0.83078,1.14361,0.83575,0.8316,0.90428,0.79678,0.46528,0.67259,1.00029,0.009109,0.009109,0.009109
11,701.543,0.59,0.80117,1.13125,0.88983,0.85137,0.93125,0.85556,0.37537,0.51712,0.90806,0.00901,0.00901,0.00901
12,764.7,0.58358,0.78677,1.1268,0.8739,0.86018,0.93227,0.84882,0.38831,0.51138,0.93481,0.008911,0.008911,0.008911
13,826.005,0.57105,0.76719,1.11893,0.85541,0.8388,0.92045,0.85665,0.34263,0.53481,0.89895,0.008812,0.008812,0.008812
14,887.998,0.56872,0.7549,1.11419,0.8833,0.88595,0.94844,0.87339,0.35109,0.46127,0.8882,0.008713,0.008713,0.008713
15,949.685,0.55991,0.74947,1.11463,0.88381,0.87186,0.9454,0.87286,0.34197,0.4737,0.87952,0.008614,0.008614,0.008614
16,1011.41,0.54863,0.732,1.10846,0.88684,0.88041,0.94482,0.87107,0.34703,0.47278,0.8969,0.008515,0.008515,0.008515
17,1073.14,0.54604,0.72731,1.10642,0.89584,0.86259,0.94425,0.87045,0.34901,0.47001,0.88471,0.008416,0.008416,0.008416
18,1134.95,0.54575,0.7246,1.10924,0.89265,0.8793,0.95134,0.89461,0.32458,0.44274,0.86041,0.008317,0.008317,0.008317
19,1196.75,0.53387,0.70387,1.09458,0.89218,0.88108,0.94816,0.88763,0.32048,0.42896,0.86933,0.008218,0.008218,0.008218
20,1259.15,0.52748,0.69603,1.09824,0.90196,0.88809,0.9556,0.89694,0.31727,0.42529,0.86172,0.008119,0.008119,0.008119
21,1320.99,0.5228,0.6841,1.09414,0.89684,0.88821,0.95494,0.90078,0.30908,0.41613,0.85027,0.00802,0.00802,0.00802
22,1381.01,0.52325,0.68818,1.09247,0.91431,0.86942,0.95263,0.89531,0.31263,0.42753,0.85333,0.007921,0.007921,0.007921
23,1440.97,0.5174,0.66913,1.08844,0.89786,0.89312,0.95435,0.89591,0.30552,0.41116,0.84881,0.007822,0.007822,0.007822
24,1502.1,0.51239,0.66414,1.08805,0.90056,0.886,0.94961,0.89611,0.29605,0.42063,0.84222,0.007723,0.007723,0.007723
25,1562.47,0.50559,0.66095,1.08172,0.90454,0.891,0.95654,0.90326,0.28603,0.40531,0.84033,0.007624,0.007624,0.007624
26,1622.68,0.50409,0.65389,1.07881,0.92365,0.88464,0.96149,0.90293,0.29841,0.39122,0.84779,0.007525,0.007525,0.007525
27,1683.66,0.50096,0.64933,1.07678,0.8942,0.90499,0.96108,0.91252,0.28072,0.38862,0.82726,0.007426,0.007426,0.007426
28,1744.31,0.50472,0.64428,1.08123,0.90437,0.8913,0.9588,0.91021,0.28036,0.40374,0.83515,0.007327,0.007327,0.007327
29,1804.98,0.49558,0.64403,1.07261,0.90397,0.88172,0.95803,0.90778,0.28034,0.40206,0.83153,0.007228,0.007228,0.007228
30,1864.92,0.49247,0.64058,1.07551,0.91573,0.883,0.95853,0.90498,0.28924,0.39901,0.84262,0.007129,0.007129,0.007129
31,1926.25,0.49113,0.63179,1.07501,0.91345,0.90053,0.96292,0.916,0.27129,0.37446,0.82675,0.00703,0.00703,0.00703
32,1986.35,0.48976,0.6274,1.07355,0.90152,0.9018,0.95905,0.91242,0.27366,0.3852,0.82156,0.006931,0.006931,0.006931
33,2046.5,0.48323,0.61937,1.06759,0.92062,0.88863,0.96104,0.91142,0.2772,0.37719,0.83002,0.006832,0.006832,0.006832
34,2107.18,0.48019,0.6218,1.06583,0.89403,0.91292,0.96157,0.91162,0.27297,0.37507,0.8305,0.006733,0.006733,0.006733
