epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.131,0.58941,1.29545,1.20251,0.86716,0.78496,0.88811,0.77681,0.53013,0.7321,1.07122,0.00332636,0.00332636,0.00332636
2,201.19,0.59953,0.89377,1.16938,0.8593,0.80042,0.89553,0.77834,0.51205,0.7915,1.04901,0.00659376,0.00659376,0.00659376
3,292.075,0.70724,1.01042,1.23407,0.76371,0.70847,0.80024,0.62003,0.74735,1.45435,1.30459,0.00979516,0.00979516,0.00979516
4,379.244,0.75346,1.0482,1.26472,0.84796,0.77169,0.88039,0.75111,0.56049,0.73352,1.09425,0.009703,0.009703,0.009703
5,468.394,0.70809,0.95653,1.22933,0.81842,0.75399,0.86279,0.72658,0.62878,0.81086,1.15072,0.009604,0.009604,0.009604
6,554.148,0.67555,0.91791,1.20919,0.87362,0.77172,0.89644,0.79879,0.46143,0.65521,1.01536,0.009505,0.009505,0.009505
7,639.262,0.64302,0.86795,1.1869,0.85322,0.78298,0.89569,0.80885,0.41932,0.6882,0.98127,0.009406,0.009406,0.009406
8,723.205,0.62493,0.83187,1.17817,0.88758,0.84741,0.93511,0.84565,0.42835,0.54302,0.9697,0.009307,0.009307,0.009307
9,806.527,0.60675,0.80933,1.1642,0.86557,0.85407,0.92554,0.8437,0.40172,0.53305,0.95378,0.009208,0.009208,0.009208
10,895.255,0.58522,0.78265,1.14879,0.89898,0.81531,0.92486,0.85228,0.37182,0.54314,0.91752,0.009109,0.009109,0.009109
11,986.503,0.57783,0.76713,1.14493,0.87051,0.85752,0.93435,0.86712,0.35708,0.51435,0.91235,0.00901,0.00901,0.00901
12,1071.81,0.56549,0.7485,1.13399,0.89142,0.84664,0.93082,0.85829,0.3715,0.48591,0.93096,0.008911,0.008911,0.008911
13,1158.26,0.55127,0.73225,1.12687,0.90579,0.87515,0.95214,0.89258,0.32424,0.4442,0.89107,0.008812,0.008812,0.008812
14,1244.14,0.54951,0.72171,1.12362,0.8963,0.87642,0.95291,0.89876,0.31806,0.44664,0.89166,0.008713,0.008713,0.008713
15,1329.79,0.54021,0.71208,1.12138,0.90709,0.87507,0.94826,0.89269,0.31886,0.43931,0.88203,0.008614,0.008614,0.008614
16,1416.41,0.53309,0.69552,1.1158,0.91726,0.85665,0.95037,0.89078,0.30728,0.43112,0.88026,0.008515,0.008515,0.008515
17,1506.08,0.52884,0.69659,1.11352,0.89522,0.88188,0.95072,0.88889,0.31606,0.43534,0.87976,0.008416,0.008416,0.008416
18,1595.66,0.52274,0.68998,1.11358,0.9068,0.85551,0.95306,0.9017,0.30716,0.42815,0.87659,0.008317,0.008317,0.008317
19,1684.31,0.51362,0.67195,1.10331,0.9172,0.85527,0.94731,0.89909,0.29133,0.42307,0.86064,0.008218,0.008218,0.008218
20,1771.38,0.50624,0.66574,1.10313,0.91146,0.87057,0.95421,0.90522,0.29568,0.40728,0.85677,0.008119,0.008119,0.008119
21,1856.18,0.50187,0.6578,1.09935,0.91538,0.88143,0.95565,0.9046,0.29325,0.39927,0.86418,0.00802,0.00802,0.00802
22,1940.93,0.50064,0.6503,1.09902,0.89928,0.89468,0.95778,0.91036,0.28377,0.39998,0.8514,0.007921,0.007921,0.007921
23,2026.1,0.49282,0.63827,1.09575,0.91798,0.87289,0.95256,0.90047,0.28882,0.41084,0.87047,0.007822,0.007822,0.007822
24,2113.78,0.49113,0.63555,1.09192,0.89749,0.89429,0.9547,0.90658,0.29241,0.4072,0.85978,0.007723,0.007723,0.007723
25,2199.66,0.48397,0.63321,1.08691,0.91653,0.88759,0.95733,0.90806,0.28128,0.38943,0.85901,0.007624,0.007624,0.007624
26,2286.62,0.48223,0.61592,1.08442,0.92979,0.88521,0.96205,0.92134,0.26984,0.37115,0.84917,0.007525,0.007525,0.007525
27,2373.53,0.47656,0.62085,1.08179,0.91197,0.88788,0.95635,0.90907,0.27919,0.39451,0.85435,0.007426,0.007426,0.007426
28,2460.14,0.48412,0.61259,1.08582,0.91796,0.88618,0.96112,0.91554,0.26891,0.36819,0.83293,0.007327,0.007327,0.007327
29,2547.8,0.47365,0.61517,1.07536,0.89442,0.89672,0.95842,0.9172,0.25848,0.37821,0.839,0.007228,0.007228,0.007228
30,2635.1,0.47271,0.61463,1.07668,0.90607,0.88985,0.9619,0.91673,0.26956,0.36706,0.84159,0.007129,0.007129,0.007129
31,2722.03,0.46792,0.60143,1.07841,0.91997,0.88243,0.96013,0.92105,0.26129,0.36517,0.83977,0.00703,0.00703,0.00703
32,2809.81,0.46854,0.60096,1.07899,0.90907,0.89187,0.96171,0.92163,0.2554,0.37106,0.83257,0.006931,0.006931,0.006931
33,2897.38,0.46374,0.59142,1.07179,0.91728,0.8865,0.9591,0.91748,0.25338,0.36297,0.83697,0.006832,0.006832,0.006832
34,2985.54,0.45809,0.59363,1.06722,0.91822,0.90124,0.96334,0.92206,0.25449,0.37077,0.82684,0.006733,0.006733,0.006733
35,3074.61,0.45791,0.58592,1.06964,0.93476,0.87918,0.96343,0.92214,0.24775,0.35082,0.82542,0.006634,0.006634,0.006634
36,3164.27,0.45692,0.57993,1.06846,0.92415,0.88717,0.96179,0.92239,0.25516,0.35924,0.82498,0.006535,0.006535,0.006535
37,3254.22,0.45149,0.57305,1.06679,0.91035,0.90688,0.96489,0.9271,0.25996,0.36835,0.84055,0.006436,0.006436,0.006436
38,3345.65,0.45092,0.57194,1.06627,0.92508,0.89254,0.96438,0.92603,0.23769,0.34152,0.81967,0.006337,0.006337,0.006337
39,3436.41,0.4476,0.56285,1.062,0.89758,0.91357,0.96299,0.92483,0.24243,0.34208,0.82628,0.006238,0.006238,0.006238
40,3523.52,0.44734,0.56673,1.06239,0.8954,0.92062,0.96458,0.92648,0.24727,0.34588,0.82747,0.006139,0.006139,0.006139
41,3611.52,0.43739,0.556,1.05391,0.89605,0.92516,0.9667,0.92953,0.23902,0.33258,0.81861,0.00604,0.00604,0.00604
42,3700.49,0.43795,0.54847,1.05804,0.89482,0.91707,0.96209,0.92565,0.24067,0.35296,0.82424,0.005941,0.005941,0.005941
43,3790.78,0.44016,0.55742,1.05923,0.91491,0.90994,0.96733,0.93227,0.23996,0.33019,0.81707,0.005842,0.005842,0.005842
44,3877.39,0.43865,0.55533,1.05834,0.89844,0.92163,0.96609,0.92996,0.24104,0.33806,0.81974,0.005743,0.005743,0.005743
45,3963,0.43326,0.54312,1.05447,0.92326,0.90516,0.96585,0.93112,0.24115,0.33293,0.82378,0.005644,0.005644,0.005644
46,4048.54,0.42626,0.53764,1.04942,0.89743,0.9208,0.9663,0.93166,0.23302,0.32918,0.8104,0.005545,0.005545,0.005545
47,4134.45,0.43222,0.54055,1.05189,0.90778,0.92214,0.96739,0.93197,0.23441,0.32491,0.81214,0.005446,0.005446,0.005446
48,4219.22,0.42863,0.54223,1.05028,0.93409,0.89883,0.96889,0.934,0.23523,0.321,0.81779,0.005347,0.005347,0.005347
49,4303.04,0.42762,0.53624,1.05308,0.91666,0.9164,0.96908,0.9332,0.23076,0.31705,0.8124,0.005248,0.005248,0.005248
50,4388.69,0.42489,0.53758,1.05048,0.9191,0.91304,0.96805,0.93171,0.23167,0.32516,0.81398,0.005149,0.005149,0.005149
51,4473.85,0.42836,0.53322,1.05124,0.91937,0.91156,0.96825,0.93325,0.23138,0.32361,0.81457,0.00505,0.00505,0.00505
52,4558.73,0.41943,0.52113,1.04798,0.9018,0.92022,0.96422,0.93062,0.22755,0.33126,0.81593,0.004951,0.004951,0.004951
53,4644.46,0.4198,0.5163,1.04755,0.92095,0.90332,0.96602,0.93257,0.2295,0.32812,0.8153,0.004852,0.004852,0.004852
54,4727.85,0.41835,0.52119,1.04296,0.92311,0.9134,0.96813,0.93226,0.23018,0.31812,0.81222,0.004753,0.004753,0.004753
55,4811.22,0.41294,0.51115,1.04317,0.9225,0.89328,0.96561,0.93324,0.22727,0.31874,0.81789,0.004654,0.004654,0.004654
56,4895.37,0.41825,0.51335,1.04713,0.93136,0.8906,0.96713,0.9321,0.22461,0.31175,0.81445,0.004555,0.004555,0.004555
57,4978.72,0.41028,0.50899,1.04081,0.92399,0.91286,0.96621,0.93313,0.22573,0.31468,0.8219,0.004456,0.004456,0.004456
58,5062.12,0.41073,0.50996,1.03935,0.9302,0.90607,0.96856,0.93531,0.22549,0.31282,0.81187,0.004357,0.004357,0.004357
59,5145.79,0.4135,0.50399,1.04576,0.91274,0.91829,0.9665,0.93199,0.22562,0.32404,0.81358,0.004258,0.004258,0.004258
60,5234.24,0.40437,0.49385,1.03508,0.91895,0.91254,0.96779,0.93471,0.22305,0.31674,0.81024,0.004159,0.004159,0.004159
61,5319.41,0.40296,0.49861,1.03733,0.91289,0.91105,0.9663,0.93561,0.22179,0.32012,0.81459,0.00406,0.00406,0.00406
62,5408.26,0.40082,0.49062,1.03787,0.92009,0.90939,0.96735,0.93637,0.2215,0.31267,0.81601,0.003961,0.003961,0.003961
63,5494.36,0.39908,0.48617,1.03357,0.91395,0.92412,0.96797,0.93431,0.22547,0.31245,0.81432,0.003862,0.003862,0.003862
64,5579.83,0.39957,0.4947,1.03599,0.90649,0.92942,0.96764,0.9359,0.22027,0.31146,0.8089,0.003763,0.003763,0.003763
65,5665.32,0.39811,0.48609,1.03434,0.92385,0.9104,0.96743,0.93463,0.22185,0.30708,0.81345,0.003664,0.003664,0.003664
66,5751.4,0.39593,0.47716,1.02977,0.92794,0.90804,0.96753,0.93628,0.22177,0.30599,0.81229,0.003565,0.003565,0.003565
67,5837.15,0.39919,0.48203,1.03483,0.914,0.91623,0.96795,0.93849,0.21332,0.30519,0.80489,0.003466,0.003466,0.003466
68,5926.23,0.39213,0.47477,1.031,0.91145,0.92054,0.96779,0.93655,0.21488,0.30977,0.80247,0.003367,0.003367,0.003367
69,6014.38,0.39197,0.47352,1.02703,0.93678,0.89158,0.96543,0.93432,0.21393,0.31282,0.80189,0.003268,0.003268,0.003268
70,6100.13,0.3929,0.46592,1.02826,0.91334,0.91115,0.96447,0.93317,0.21521,0.31493,0.80483,0.003169,0.003169,0.003169
71,6187.48,0.38686,0.46887,1.02459,0.92172,0.90559,0.96487,0.93356,0.21391,0.31146,0.80437,0.00307,0.00307,0.00307
72,6273.08,0.38595,0.46576,1.02306,0.91059,0.91702,0.96632,0.93619,0.21353,0.30964,0.80596,0.002971,0.002971,0.002971
