epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.507,0.89683,1.88773,1.38825,0.21215,0.26676,0.13297,0.07346,1.47119,11.235,2.59343,0.000469116,0.000469116,0.000469116
2,787.678,1.09624,1.63871,1.48425,0.26167,0.26557,0.1692,0.05986,2.20112,26.2656,2.8783,0.00093609,0.00093609,0.00093609
3,1231.11,1.06576,1.53325,1.44675,0.0654,0.24958,0.02121,0.00752,2.13297,66.2282,2.68258,0.00139363,0.00139363,0.00139363
4,1667.98,1.0563,1.52399,1.45272,0.43074,0.48351,0.39574,0.25312,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,2085.16,0.95798,1.4117,1.3724,0.72799,0.53349,0.66202,0.51582,0.92595,3.28692,1.41987,0.00137241,0.00137241,0.00137241
6,2448.2,0.93962,1.2975,1.35551,0.68633,0.638,0.68625,0.53804,0.82811,1.80823,1.29166,0.00135826,0.00135826,0.00135826
7,2851.45,0.88963,1.23227,1.32003,0.62583,0.77552,0.75566,0.61845,0.60136,1.56861,1.06768,0.00134412,0.00134412,0.00134412
8,3204.1,0.86498,1.20408,1.29327,0.53936,0.61849,0.62078,0.49327,0.69739,1.71796,1.16758,0.00132997,0.00132997,0.00132997
9,3791.6,0.82819,1.18633,1.28915,0.65799,0.67133,0.71969,0.59641,0.64629,3.21665,1.10765,0.00131582,0.00131582,0.00131582
10,4131.26,0.79643,1.14776,1.26601,0.65864,0.67368,0.76166,0.63097,0.6989,1.30018,1.20922,0.00130168,0.00130168,0.00130168
11,4599.11,0.78865,1.10171,1.24322,0.73111,0.71573,0.78688,0.68789,0.52613,1.39363,1.02413,0.00128753,0.00128753,0.00128753
12,5103.43,0.76362,1.10347,1.23593,0.70695,0.76535,0.78073,0.67978,0.50443,1.48193,0.9975,0.00127338,0.00127338,0.00127338
13,5586.55,0.75618,1.06127,1.2259,0.72901,0.78077,0.8041,0.67227,0.65232,1.90518,1.13642,0.00125923,0.00125923,0.00125923
14,6019.45,0.7083,0.97256,1.19394,0.7503,0.72532,0.82833,0.73195,0.53068,1.05078,1.04032,0.00124509,0.00124509,0.00124509
15,6431.25,0.72965,1.02122,1.21095,0.91159,0.67078,0.8752,0.78532,0.48198,0.87423,0.98032,0.00123094,0.00123094,0.00123094
16,6788.53,0.68217,0.96902,1.17665,0.81308,0.7899,0.88509,0.7836,0.51144,0.90465,1.00695,0.00121679,0.00121679,0.00121679
17,7432.33,0.68694,0.97943,1.17676,0.83628,0.76031,0.87825,0.78221,0.46095,0.9054,0.95898,0.00120265,0.00120265,0.00120265
18,7942.46,0.67635,0.94463,1.17265,0.74861,0.69334,0.81754,0.71834,0.47944,1.13464,0.99383,0.0011885,0.0011885,0.0011885
19,8445.32,0.68396,0.94084,1.18685,0.8231,0.68803,0.78287,0.71025,0.50793,1.45573,1.01188,0.00117435,0.00117435,0.00117435
20,8724.37,0.67885,0.93395,1.17615,0.87179,0.71578,0.87121,0.79808,0.45452,0.74601,0.9646,0.00116021,0.00116021,0.00116021
21,9133.2,0.66391,0.87574,1.16945,0.90299,0.78573,0.90978,0.83658,0.42639,0.81879,0.95286,0.00114606,0.00114606,0.00114606
22,9448.14,0.66306,0.89681,1.17924,0.75872,0.8157,0.88032,0.81082,0.3886,0.76421,0.925,0.00113191,0.00113191,0.00113191
23,9828.04,0.63315,0.85985,1.14219,0.76568,0.72322,0.84898,0.76322,0.44564,1.02643,0.95321,0.00111776,0.00111776,0.00111776
24,10223.6,0.63325,0.86005,1.14567,0.88776,0.73689,0.90054,0.81547,0.43162,0.65799,0.94564,0.00110362,0.00110362,0.00110362
25,10649.7,0.60991,0.82963,1.13525,0.81861,0.84032,0.90123,0.83185,0.4221,0.75536,0.9728,0.00108947,0.00108947,0.00108947
26,11044.7,0.61018,0.84805,1.13515,0.83074,0.70886,0.85576,0.77823,0.39059,1.15902,0.90744,0.00107532,0.00107532,0.00107532
27,11408.8,0.61828,0.8325,1.14712,0.81393,0.84059,0.88357,0.81836,0.41077,0.8827,0.93157,0.00106118,0.00106118,0.00106118
28,11847.8,0.58654,0.80393,1.11848,0.88398,0.80642,0.90259,0.83196,0.39892,0.83074,0.91358,0.00104703,0.00104703,0.00104703
29,12128.2,0.58819,0.80053,1.11533,0.75846,0.82563,0.88955,0.79689,0.45718,0.73706,0.95622,0.00103288,0.00103288,0.00103288
30,12538.1,0.58945,0.78747,1.11942,0.87308,0.7902,0.9053,0.82676,0.42462,1.16825,0.94477,0.00101873,0.00101873,0.00101873
31,12817.9,0.5944,0.80515,1.11246,0.81594,0.89097,0.92548,0.84993,0.38195,0.92495,0.91423,0.00100459,0.00100459,0.00100459
32,13237.8,0.56395,0.76385,1.09945,0.82648,0.84062,0.92669,0.84581,0.39379,0.62869,0.94454,0.00099044,0.00099044,0.00099044
