epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4506,0.84788,1.91652,1.33275,0.00159,0.16717,0.00132,0.00069,nan,nan,nan,0.000469116,0.000469116,0.000469116
2,45.2858,1.06868,1.62117,1.43314,0.45671,0.13228,0.06289,0.02698,2.08285,12.8319,3.01117,0.00093609,0.00093609,0.00093609
3,63.7704,1.1002,1.54547,1.43554,0.18491,0.31241,0.14957,0.09309,1.46478,19.7998,2.18012,0.00139363,0.00139363,0.00139363
4,82.1032,1.04593,1.5042,1.42546,0.38558,0.47865,0.39688,0.23527,1.18805,5.83905,1.63236,0.00138656,0.00138656,0.00138656
5,100.49,0.97327,1.3729,1.35891,0.56958,0.52416,0.5426,0.37155,1.02975,2.47212,1.44962,0.00137241,0.00137241,0.00137241
6,118.847,0.92309,1.27028,1.3318,0.82177,0.59961,0.74082,0.58529,0.74291,2.12228,1.18248,0.00135826,0.00135826,0.00135826
7,137.887,0.86281,1.2037,1.27986,0.63623,0.67122,0.73624,0.60561,0.62798,2.00973,1.11429,0.00134412,0.00134412,0.00134412
8,156.254,0.85646,1.19664,1.27856,0.77828,0.66117,0.77534,0.62365,0.75356,1.62797,1.21259,0.00132997,0.00132997,0.00132997
9,174.682,0.82046,1.14274,1.2629,0.7058,0.63382,0.6792,0.5581,0.77824,3.94611,1.24216,0.00131582,0.00131582,0.00131582
10,193.081,0.80418,1.1072,1.24095,0.81136,0.66656,0.83939,0.72972,0.58072,1.21945,1.04995,0.00130168,0.00130168,0.00130168
11,211.424,0.79839,1.0877,1.23777,0.84729,0.69647,0.82354,0.70731,0.57245,1.25142,1.02858,0.00128753,0.00128753,0.00128753
12,229.65,0.75536,1.06452,1.21828,0.69507,0.63375,0.72073,0.62676,0.51083,1.67817,1.00744,0.00127338,0.00127338,0.00127338
13,247.987,0.74114,1.03025,1.20879,0.91964,0.72079,0.87001,0.77231,0.52749,0.96308,1.00976,0.00125923,0.00125923,0.00125923
14,266.33,0.68931,0.93271,1.17953,0.84634,0.75419,0.84526,0.74933,0.5016,1.03856,1.01536,0.00124509,0.00124509,0.00124509
15,284.724,0.74561,0.99111,1.2153,0.84475,0.77604,0.88213,0.778,0.48157,0.84999,0.98193,0.00123094,0.00123094,0.00123094
16,303.035,0.70656,0.9531,1.17979,0.83216,0.63366,0.77658,0.67473,0.51283,1.08093,0.9997,0.00121679,0.00121679,0.00121679
17,321.358,0.68617,0.95429,1.17178,0.73726,0.85034,0.87384,0.78028,0.47794,0.77027,0.96705,0.00120265,0.00120265,0.00120265
18,339.644,0.68871,0.92577,1.17005,0.6812,0.75468,0.81747,0.72733,0.48218,1.40779,0.96288,0.0011885,0.0011885,0.0011885
19,358.07,0.67443,0.89899,1.17143,0.75441,0.80939,0.87128,0.76803,0.54865,0.93263,1.07032,0.00117435,0.00117435,0.00117435
20,376.298,0.66905,0.9123,1.16232,0.87406,0.77419,0.86736,0.77536,0.47519,0.76663,1.00458,0.00116021,0.00116021,0.00116021
21,395.153,0.67379,0.85328,1.16561,0.91947,0.80633,0.93442,0.83552,0.47108,0.66517,0.97231,0.00114606,0.00114606,0.00114606
