epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1492,0.81438,2.48655,1.27754,0.7725,0.26441,0.61825,0.48409,0.65279,2.24413,1.10694,0.000469116,0.000469116,0.000469116
2,24.7908,0.81845,1.61795,1.23379,0.42097,0.60477,0.4654,0.32002,1.1277,2.61304,1.70823,0.00093609,0.00093609,0.00093609
3,34.121,0.86615,1.512,1.25788,0.3636,0.52216,0.37132,0.24971,0.81647,2.41262,1.34185,0.00139363,0.00139363,0.00139363
4,43.3553,0.87239,1.43942,1.28325,0.68125,0.61766,0.68799,0.48117,0.76791,1.75904,1.25242,0.00138656,0.00138656,0.00138656
5,52.6154,0.83656,1.31811,1.24153,0.84255,0.60419,0.75049,0.59755,0.76669,1.44547,1.2581,0.00137241,0.00137241,0.00137241
6,61.9348,0.82153,1.23075,1.24097,0.87337,0.77836,0.87731,0.7283,0.62784,1.02597,1.07012,0.00135826,0.00135826,0.00135826
7,71.0754,0.76292,1.15006,1.19561,0.7801,0.67317,0.79682,0.65692,0.65059,1.24243,1.11141,0.00134412,0.00134412,0.00134412
8,80.1514,0.76847,1.14177,1.19882,0.76667,0.68111,0.78561,0.6725,0.52853,1.66846,0.98049,0.00132997,0.00132997,0.00132997
9,89.2787,0.73803,1.05582,1.1844,0.78043,0.70118,0.83513,0.7187,0.52235,1.24131,0.99534,0.00131582,0.00131582,0.00131582
10,98.2556,0.69977,1.03247,1.16558,0.70485,0.691,0.79029,0.6872,0.59097,1.10909,1.05026,0.00130168,0.00130168,0.00130168
11,107.216,0.71721,0.99653,1.16129,0.87042,0.67587,0.85417,0.74573,0.48236,0.98879,0.97137,0.00128753,0.00128753,0.00128753
12,116.164,0.70168,0.97137,1.15258,0.86126,0.85197,0.92473,0.82122,0.49107,0.77719,0.96255,0.00127338,0.00127338,0.00127338
13,125.207,0.69409,0.92751,1.14772,0.80448,0.8535,0.89638,0.75639,0.5231,0.90864,1.01048,0.00125923,0.00125923,0.00125923
14,134.166,0.63387,0.89045,1.11191,0.82623,0.75067,0.88253,0.77641,0.49204,0.82335,0.99158,0.00124509,0.00124509,0.00124509
15,143.148,0.67893,0.9077,1.13941,0.83915,0.87037,0.92663,0.83451,0.45347,0.69724,0.92724,0.00123094,0.00123094,0.00123094
16,152.09,0.64287,0.8679,1.1181,0.84463,0.81201,0.88505,0.77957,0.49435,0.85377,0.97166,0.00121679,0.00121679,0.00121679
17,161.052,0.64857,0.89117,1.12108,0.85776,0.8098,0.8864,0.79157,0.46384,0.81867,0.94567,0.00120265,0.00120265,0.00120265
18,169.926,0.62959,0.85031,1.1114,0.84371,0.82826,0.90277,0.82152,0.4554,0.81851,0.93465,0.0011885,0.0011885,0.0011885
19,178.911,0.62867,0.81159,1.11993,0.83973,0.76711,0.90234,0.80307,0.48914,0.81859,0.9617,0.00117435,0.00117435,0.00117435
20,187.771,0.63522,0.85213,1.1183,0.91636,0.83097,0.92268,0.83034,0.45116,0.64344,0.95744,0.00116021,0.00116021,0.00116021
21,196.931,0.62725,0.79827,1.11015,0.89872,0.85766,0.92864,0.84101,0.42603,0.63183,0.92093,0.00114606,0.00114606,0.00114606
22,205.915,0.63261,0.8159,1.12219,0.78864,0.80685,0.86296,0.78036,0.44708,0.84164,0.92079,0.00113191,0.00113191,0.00113191
23,214.906,0.598,0.76668,1.09016,0.88308,0.8593,0.92835,0.8048,0.44302,0.61454,0.9609,0.00111776,0.00111776,0.00111776
24,224.759,0.61278,0.7805,1.10744,0.85574,0.86528,0.92496,0.8353,0.45214,0.63658,0.94558,0.00110362,0.00110362,0.00110362
25,233.913,0.61722,0.77213,1.09404,0.88644,0.84473,0.93679,0.84994,0.40212,0.58205,0.89479,0.00108947,0.00108947,0.00108947
