epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7185,0.81578,2.0829,1.30873,0.54814,0.46997,0.49183,0.37682,0.73834,3.00588,1.29903,0.000469116,0.000469116,0.000469116
2,32.7683,0.90973,1.44017,1.33096,0.23777,0.50579,0.36624,0.25772,0.93976,7.41884,1.72078,0.00093609,0.00093609,0.00093609
3,44.4395,0.95193,1.42012,1.34005,0.31191,0.45073,0.26524,0.19784,0.88056,3.52089,1.4431,0.00139363,0.00139363,0.00139363
4,57.369,0.94251,1.35965,1.35074,0.70775,0.43673,0.53441,0.40815,0.95442,2.53529,1.45698,0.00138656,0.00138656,0.00138656
5,68.8918,0.88186,1.24663,1.29431,0.71947,0.64764,0.7264,0.59262,0.7074,1.51435,1.17907,0.00137241,0.00137241,0.00137241
6,80.3598,0.87832,1.21871,1.29712,0.41847,0.69296,0.42624,0.34235,0.7393,10.928,1.15115,0.00135826,0.00135826,0.00135826
7,91.7868,0.83396,1.11707,1.26556,0.72165,0.68502,0.76488,0.63249,0.67138,1.35655,1.13958,0.00134412,0.00134412,0.00134412
8,103.216,0.79591,1.14115,1.23823,0.76759,0.75272,0.81679,0.68916,0.63111,1.07148,1.09196,0.00132997,0.00132997,0.00132997
9,114.727,0.78102,1.05529,1.2382,0.86462,0.60916,0.75543,0.66127,0.51846,1.55264,1.02524,0.00131582,0.00131582,0.00131582
10,126.375,0.75333,1.03007,1.20853,0.87815,0.69901,0.80813,0.67125,0.62354,1.10046,1.0928,0.00130168,0.00130168,0.00130168
11,137.807,0.73717,0.98772,1.198,0.87262,0.7312,0.83336,0.7252,0.52242,1.02573,0.99945,0.00128753,0.00128753,0.00128753
12,149.313,0.73379,0.98318,1.19601,0.67534,0.71044,0.79287,0.68732,0.50444,1.4841,1.00569,0.00127338,0.00127338,0.00127338
13,161.412,0.72193,0.94684,1.19008,0.79165,0.78351,0.86886,0.75385,0.53163,0.84595,1.02975,0.00125923,0.00125923,0.00125923
14,172.808,0.6685,0.87531,1.15661,0.83493,0.81636,0.899,0.8018,0.43883,0.72889,0.9443,0.00124509,0.00124509,0.00124509
15,184.492,0.70945,0.91918,1.18306,0.89573,0.78412,0.92793,0.81847,0.47096,0.71596,0.9741,0.00123094,0.00123094,0.00123094
16,195.957,0.6522,0.84456,1.14192,0.87239,0.74627,0.86481,0.76898,0.4648,0.90839,0.96862,0.00121679,0.00121679,0.00121679
17,207.431,0.65253,0.87704,1.14742,0.83445,0.78122,0.86656,0.7609,0.45552,0.82418,0.93696,0.00120265,0.00120265,0.00120265
18,218.922,0.65413,0.83514,1.14211,0.87664,0.81944,0.92844,0.82364,0.45648,0.75225,0.974,0.0011885,0.0011885,0.0011885
19,230.415,0.66051,0.82425,1.15752,0.94435,0.8216,0.93165,0.83119,0.41821,0.58916,0.92401,0.00117435,0.00117435,0.00117435
20,241.824,0.63762,0.84142,1.13871,0.87871,0.75616,0.89084,0.78898,0.49589,0.94602,1.01947,0.00116021,0.00116021,0.00116021
21,253.52,0.64719,0.79688,1.14522,0.8603,0.75922,0.88137,0.79263,0.42826,0.88427,0.95623,0.00114606,0.00114606,0.00114606
22,264.974,0.63999,0.81224,1.145,0.79615,0.87484,0.91137,0.82392,0.42033,0.63224,0.95071,0.00113191,0.00113191,0.00113191
23,276.479,0.60604,0.76426,1.10909,0.909,0.81234,0.94305,0.84318,0.41896,0.57187,0.93028,0.00111776,0.00111776,0.00111776
24,287.957,0.6279,0.80029,1.12818,0.91575,0.823,0.92602,0.83046,0.45016,0.59018,0.94633,0.00110362,0.00110362,0.00110362
25,299.44,0.61302,0.77378,1.11807,0.92333,0.76805,0.90901,0.82765,0.41594,0.67918,0.9269,0.00108947,0.00108947,0.00108947
26,310.842,0.60929,0.77481,1.11911,0.89773,0.77632,0.93187,0.85698,0.43836,0.65355,0.92104,0.00107532,0.00107532,0.00107532
27,322.558,0.62425,0.74825,1.13121,0.9475,0.84137,0.93998,0.85408,0.38501,0.68797,0.91299,0.00106118,0.00106118,0.00106118
28,334.058,0.59489,0.74791,1.10889,0.91392,0.84966,0.94816,0.86767,0.41649,0.56745,0.91317,0.00104703,0.00104703,0.00104703
29,345.523,0.58104,0.72692,1.09696,0.91073,0.8318,0.94892,0.88117,0.35141,0.56408,0.88071,0.00103288,0.00103288,0.00103288
30,356.993,0.56968,0.72685,1.09696,0.81203,0.68646,0.78799,0.73056,0.36219,1.13558,0.89708,0.00101873,0.00101873,0.00101873
31,368.47,0.57563,0.73148,1.09074,0.86884,0.82362,0.92461,0.84928,0.39738,0.69038,0.91902,0.00100459,0.00100459,0.00100459
32,379.914,0.56392,0.71891,1.08808,0.81764,0.87547,0.92834,0.85228,0.43957,0.5555,0.94122,0.00099044,0.00099044,0.00099044
33,391.551,0.57904,0.71414,1.10021,0.9572,0.81665,0.95609,0.88321,0.39334,0.62991,0.9122,0.000976293,0.000976293,0.000976293
34,403.759,0.56047,0.67189,1.08318,0.90656,0.89763,0.95436,0.86598,0.36193,0.48431,0.89477,0.000962146,0.000962146,0.000962146
35,415.255,0.5438,0.68383,1.07237,0.90343,0.83025,0.9383,0.87641,0.41656,0.72747,0.93278,0.000947999,0.000947999,0.000947999
36,426.714,0.54988,0.67583,1.06792,0.86947,0.77202,0.93726,0.85663,0.39563,0.69825,0.92676,0.000933851,0.000933851,0.000933851
37,438.114,0.55488,0.69287,1.08491,0.83479,0.87015,0.93516,0.84802,0.42463,0.58139,0.95005,0.000919704,0.000919704,0.000919704
38,449.548,0.54819,0.66585,1.07205,0.91665,0.85074,0.96224,0.89332,0.3761,0.49502,0.89305,0.000905557,0.000905557,0.000905557
39,461.268,0.5375,0.63335,1.06542,0.91125,0.8292,0.91822,0.85825,0.3539,0.5793,0.8818,0.00089141,0.00089141,0.00089141
40,472.646,0.54963,0.65577,1.07354,0.93284,0.86205,0.9453,0.88123,0.37479,0.48643,0.9072,0.000877263,0.000877263,0.000877263
41,484.143,0.5364,0.64126,1.06837,0.86665,0.82831,0.93354,0.8612,0.38519,0.59434,0.91961,0.000863116,0.000863116,0.000863116
42,495.568,0.52717,0.62337,1.06108,0.95009,0.84105,0.95213,0.89033,0.3392,0.45418,0.88608,0.000848969,0.000848969,0.000848969
43,507.036,0.53216,0.61646,1.06361,0.89969,0.83212,0.92789,0.85838,0.37961,0.61436,0.921,0.000834822,0.000834822,0.000834822
44,518.529,0.52239,0.63244,1.06132,0.9306,0.84849,0.92634,0.86091,0.3857,0.55577,0.91833,0.000820675,0.000820675,0.000820675
45,530.169,0.50951,0.62233,1.05889,0.85209,0.84944,0.91617,0.85581,0.34175,0.55969,0.88667,0.000806528,0.000806528,0.000806528
46,541.77,0.50077,0.60531,1.05006,0.97312,0.79567,0.94994,0.87461,0.37424,0.53196,0.90815,0.00079238,0.00079238,0.00079238
47,553.176,0.51865,0.61579,1.05482,0.89914,0.92648,0.96745,0.90204,0.34899,0.41397,0.88526,0.000778233,0.000778233,0.000778233
48,564.793,0.51589,0.62616,1.05491,0.91251,0.92027,0.9613,0.89482,0.34383,0.48031,0.88519,0.000764086,0.000764086,0.000764086
49,576.213,0.50465,0.59021,1.05195,0.92595,0.85582,0.94911,0.88129,0.33394,0.51283,0.91371,0.000749939,0.000749939,0.000749939
50,587.76,0.50429,0.59976,1.04757,0.89041,0.8745,0.9503,0.89785,0.32771,0.47856,0.87122,0.000735792,0.000735792,0.000735792
51,599.168,0.49769,0.5845,1.04413,0.9706,0.85183,0.95607,0.89813,0.33873,0.44318,0.87845,0.000721645,0.000721645,0.000721645
52,610.61,0.49912,0.57348,1.04713,0.94628,0.84382,0.94625,0.88331,0.3376,0.47954,0.89937,0.000707498,0.000707498,0.000707498
53,622.04,0.48324,0.55881,1.0403,0.93989,0.82507,0.95415,0.88512,0.35204,0.53371,0.92788,0.000693351,0.000693351,0.000693351
54,633.453,0.47218,0.55481,1.02015,0.87854,0.92067,0.95772,0.88875,0.36474,0.44961,0.9079,0.000679204,0.000679204,0.000679204
55,645.52,0.48131,0.5522,1.03198,0.94269,0.85647,0.95274,0.88761,0.33841,0.4757,0.90429,0.000665057,0.000665057,0.000665057
56,657.104,0.47846,0.54183,1.03569,0.94587,0.85544,0.96525,0.90334,0.32826,0.40982,0.8984,0.000650909,0.000650909,0.000650909
57,668.578,0.4692,0.53516,1.02583,0.90835,0.80908,0.89264,0.84865,0.31377,0.57392,0.87299,0.000636762,0.000636762,0.000636762
