epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.223,0.76692,1.56673,2.16152,1.06435,0.31948,0.5936,0.39387,0.28935,0.31924,0.5709,0.37405,0.22643,0.82023,2.77913,3.62602,1.05206,0.00035552,0.00035552,0.00035552
2,30.3574,0.76555,1.16647,1.23634,1.03158,0.40001,0.32317,0.29827,0.17078,0.37893,0.30034,0.27061,0.13377,1.62961,6.64942,2.43508,1.85657,0.000715001,0.000715001,0.000715001
3,42.2944,0.8267,1.17217,1.18944,1.05278,0.36404,0.43344,0.41385,0.26013,0.29586,0.34885,0.29928,0.14272,1.31964,13.1173,2.33573,1.71168,0.00106722,0.00106722,0.00106722
4,54.1295,0.8053,1.2371,1.12965,1.05213,0.57798,0.55772,0.61605,0.40861,0.51761,0.48912,0.4721,0.24459,1.08427,4.26406,2.79369,1.29923,0.001078,0.001078,0.001078
5,66.0925,0.7787,1.08881,1.05625,1.03288,0.59754,0.59204,0.59767,0.43799,0.59581,0.58785,0.57808,0.36346,0.96822,2.46852,2.51123,1.16092,0.001067,0.001067,0.001067
6,78.3174,0.75805,1.07132,1.00048,1.01765,0.68188,0.67141,0.72503,0.48618,0.6674,0.65872,0.68524,0.41256,0.98368,1.96151,3.11247,1.22388,0.00105601,0.00105601,0.00105601
7,90.2692,0.74995,1.0282,0.97854,1.02238,0.71833,0.64149,0.71976,0.54884,0.69218,0.60912,0.65928,0.35464,0.85002,2.03795,1.71245,1.12061,0.00104501,0.00104501,0.00104501
8,102.84,0.74786,1.02886,0.9638,1.00771,0.58424,0.7924,0.78409,0.60385,0.56289,0.75842,0.73037,0.48179,0.77687,1.43019,1.85675,1.02244,0.00103401,0.00103401,0.00103401
9,114.855,0.72489,1.01639,0.8873,0.99203,0.72189,0.75694,0.83608,0.64773,0.74028,0.67516,0.78135,0.5334,0.73336,1.32834,1.31544,1.02359,0.00102301,0.00102301,0.00102301
10,126.816,0.70141,0.96336,0.85135,0.99557,0.73215,0.77704,0.85115,0.66802,0.70667,0.74757,0.79457,0.56705,0.69552,1.28679,1.2347,0.95427,0.00101201,0.00101201,0.00101201
