epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2366,0.81268,1.54985,2.29047,1.04977,0.5831,0.58741,0.55374,0.38501,0.5858,0.56827,0.51884,0.32252,0.82977,1.53633,2.5829,0.95815,0.00035552,0.00035552,0.00035552
2,19.3375,0.74248,1.04048,1.21604,0.99316,0.38984,0.66023,0.47094,0.29453,0.3649,0.65246,0.43773,0.27378,1.04996,1.89789,1.96186,1.27082,0.000715001,0.000715001,0.000715001
3,28.0089,0.75185,1.03201,1.07235,0.99719,0.66146,0.67218,0.74588,0.55382,0.64821,0.63022,0.68863,0.4423,0.83626,2.63828,1.18477,1.09825,0.00106722,0.00106722,0.00106722
4,35.4329,0.76767,1.13015,1.06321,0.99954,0.5453,0.65401,0.66884,0.49333,0.5221,0.55678,0.54695,0.32745,0.81838,3.4787,1.92325,0.99277,0.001078,0.001078,0.001078
5,42.9715,0.74413,0.99933,0.99226,0.9932,0.64176,0.69053,0.75872,0.58799,0.63184,0.68053,0.73447,0.4714,0.81417,1.81463,1.42911,1.00443,0.001067,0.001067,0.001067
6,50.2672,0.72981,0.9933,0.94293,0.97019,0.75044,0.70276,0.78958,0.59781,0.73613,0.67495,0.74027,0.52863,0.82984,1.30411,1.30249,1.02463,0.00105601,0.00105601,0.00105601
7,57.7387,0.71465,0.94744,0.90059,0.98236,0.68377,0.67493,0.77949,0.60727,0.65949,0.64527,0.74806,0.48582,0.72016,1.46595,1.2027,0.94865,0.00104501,0.00104501,0.00104501
8,65.0955,0.6977,0.92324,0.86051,0.95977,0.79697,0.64743,0.81,0.63679,0.77872,0.62464,0.76706,0.5437,0.73819,1.26226,1.30012,0.91871,0.00103401,0.00103401,0.00103401
9,72.5331,0.68769,0.93889,0.83555,0.949,0.8106,0.69602,0.83074,0.64346,0.78787,0.66718,0.77827,0.55421,0.79388,1.39215,1.19653,0.977,0.00102301,0.00102301,0.00102301
10,79.9844,0.68346,0.90606,0.82391,0.96135,0.73627,0.77739,0.83384,0.6606,0.71039,0.73686,0.78094,0.56691,0.73392,1.24622,1.47694,0.93502,0.00101201,0.00101201,0.00101201
11,87.2859,0.66423,0.8586,0.80181,0.94509,0.81218,0.83483,0.88624,0.73107,0.78254,0.79824,0.83774,0.60982,0.65323,1.06994,0.87809,0.88539,0.00100101,0.00100101,0.00100101
12,94.7833,0.65929,0.84628,0.77369,0.95323,0.84211,0.73891,0.86512,0.6974,0.82253,0.71567,0.8309,0.60438,0.66727,1.00826,0.94311,0.88594,0.000990012,0.000990012,0.000990012
13,102.318,0.62903,0.81568,0.73053,0.93988,0.83968,0.76849,0.87676,0.72066,0.83018,0.7404,0.82919,0.59853,0.66082,1.16504,0.86514,0.89089,0.000979013,0.000979013,0.000979013
14,109.733,0.62199,0.81554,0.76381,0.93111,0.83111,0.75943,0.85936,0.69782,0.80246,0.73076,0.80352,0.58365,0.64357,1.051,0.82616,0.89397,0.000968014,0.000968014,0.000968014
15,117.137,0.62703,0.86547,0.76238,0.9449,0.82474,0.78005,0.87604,0.72425,0.81888,0.73266,0.82568,0.58173,0.64799,1.22417,0.75875,0.88105,0.000957015,0.000957015,0.000957015
16,124.42,0.62119,0.79929,0.7305,0.92582,0.79846,0.70172,0.81831,0.68726,0.79845,0.66297,0.77605,0.57652,0.6227,1.15887,1.22859,0.87883,0.000946016,0.000946016,0.000946016
17,131.882,0.6096,0.76991,0.71952,0.92655,0.74513,0.83504,0.87446,0.72246,0.7247,0.79697,0.8237,0.61402,0.61901,1.03208,0.87386,0.86592,0.000935018,0.000935018,0.000935018
18,139.215,0.59285,0.77414,0.71061,0.92362,0.81649,0.79387,0.88751,0.72567,0.79644,0.76648,0.8385,0.61734,0.66957,1.02096,0.82632,0.92402,0.000924019,0.000924019,0.000924019
19,146.607,0.63054,0.83892,0.72334,0.93515,0.81216,0.80281,0.89036,0.74127,0.79782,0.75536,0.85416,0.6319,0.63815,0.99342,0.74909,0.88607,0.00091302,0.00091302,0.00091302
20,154.287,0.60139,0.76631,0.68785,0.92387,0.79187,0.75707,0.85419,0.72035,0.77847,0.73578,0.8239,0.62359,0.57318,1.01222,0.9005,0.8544,0.000902021,0.000902021,0.000902021
21,161.697,0.5831,0.74934,0.69894,0.91619,0.79381,0.74093,0.84965,0.70643,0.75863,0.69925,0.7892,0.59882,0.63308,1.00889,0.84042,0.86437,0.000891022,0.000891022,0.000891022
22,169.415,0.59147,0.7567,0.71566,0.917,0.83069,0.80394,0.89595,0.73964,0.81635,0.78434,0.86207,0.6071,0.62643,1.11852,0.78599,0.86532,0.000880023,0.000880023,0.000880023
23,176.746,0.57486,0.72061,0.65005,0.9134,0.87681,0.82995,0.91843,0.77246,0.86206,0.80962,0.89274,0.67434,0.61116,0.97147,0.82751,0.88713,0.000869024,0.000869024,0.000869024
24,184.351,0.57616,0.71501,0.67751,0.91136,0.83201,0.79103,0.87511,0.73789,0.82438,0.77437,0.84598,0.61916,0.60997,1.14589,0.86645,0.86345,0.000858025,0.000858025,0.000858025
25,191.621,0.5696,0.71384,0.67292,0.90882,0.79298,0.8378,0.90103,0.75335,0.8186,0.79276,0.8646,0.63701,0.59125,1.00885,0.82559,0.86615,0.000847026,0.000847026,0.000847026
26,198.907,0.55906,0.70417,0.64523,0.90865,0.86624,0.86704,0.93602,0.79214,0.83887,0.83972,0.8966,0.66731,0.58376,1.06064,0.57052,0.88278,0.000836027,0.000836027,0.000836027
27,206.273,0.55834,0.69089,0.64571,0.90126,0.87462,0.78824,0.90773,0.77439,0.85543,0.77314,0.86486,0.65472,0.55479,1.04081,0.64278,0.84384,0.000825029,0.000825029,0.000825029
28,213.74,0.55048,0.68068,0.65262,0.90409,0.84574,0.84668,0.92169,0.77576,0.82906,0.78394,0.85727,0.64473,0.58018,0.93914,0.62856,0.87902,0.00081403,0.00081403,0.00081403
29,221.116,0.56562,0.7019,0.63535,0.90469,0.75171,0.80117,0.86131,0.74247,0.85068,0.69904,0.82735,0.6249,0.57535,0.89317,0.9015,0.85281,0.000803031,0.000803031,0.000803031
30,228.374,0.53912,0.69079,0.62327,0.90021,0.87794,0.82966,0.91223,0.77921,0.84993,0.77336,0.8649,0.65787,0.5669,0.9647,0.68735,0.83451,0.000792032,0.000792032,0.000792032
31,235.872,0.54748,0.67898,0.63601,0.89335,0.8255,0.83978,0.90759,0.76466,0.81644,0.8151,0.8797,0.64616,0.57637,1.05665,0.63333,0.83967,0.000781033,0.000781033,0.000781033
32,243.174,0.52544,0.64712,0.60499,0.89703,0.63997,0.74323,0.83263,0.70708,0.67721,0.63991,0.78686,0.61218,0.56556,0.89366,1.12213,0.83923,0.000770034,0.000770034,0.000770034
33,251.104,0.52002,0.64408,0.58753,0.89468,0.84765,0.81957,0.9207,0.79761,0.87104,0.76296,0.88606,0.67046,0.53428,0.91319,0.6013,0.83705,0.000759035,0.000759035,0.000759035
34,258.529,0.52643,0.66022,0.57848,0.89439,0.86328,0.83512,0.92584,0.79801,0.88748,0.79679,0.89753,0.68224,0.54632,0.89399,0.59367,0.84078,0.000748036,0.000748036,0.000748036
35,265.84,0.53216,0.66082,0.59544,0.89041,0.85016,0.80449,0.88057,0.75933,0.84006,0.76573,0.83401,0.6253,0.54494,0.87648,0.71064,0.84246,0.000737037,0.000737037,0.000737037
36,273.218,0.52867,0.6422,0.57138,0.88958,0.86335,0.80973,0.89462,0.7671,0.84119,0.78066,0.85435,0.65348,0.55792,0.96468,0.63295,0.84283,0.000726038,0.000726038,0.000726038
37,280.381,0.56003,0.66113,0.61793,0.9068,0.83106,0.86933,0.92144,0.78735,0.81051,0.84439,0.89233,0.67363,0.55323,0.86313,0.64533,0.83699,0.00071504,0.00071504,0.00071504
38,287.658,0.50964,0.6211,0.56026,0.88487,0.89001,0.85107,0.92761,0.80302,0.86409,0.82606,0.89265,0.67804,0.52253,0.81601,0.5537,0.82216,0.000704041,0.000704041,0.000704041
39,294.909,0.51533,0.62477,0.57745,0.89033,0.86322,0.84077,0.92558,0.79907,0.87722,0.78592,0.88547,0.67624,0.53283,0.80801,0.61313,0.82487,0.000693042,0.000693042,0.000693042
40,302.296,0.5147,0.6572,0.54622,0.88833,0.87706,0.81928,0.91527,0.78872,0.84701,0.77869,0.86498,0.65679,0.5574,0.94273,0.6356,0.82854,0.000682043,0.000682043,0.000682043
41,309.828,0.51403,0.62243,0.56059,0.88596,0.87132,0.84037,0.92684,0.7974,0.83146,0.80456,0.88222,0.6723,0.52508,0.873,0.56946,0.81971,0.000671044,0.000671044,0.000671044
42,317.113,0.50731,0.60296,0.57303,0.88663,0.86016,0.87752,0.93479,0.8063,0.83307,0.84173,0.89649,0.67264,0.53608,0.8255,0.54607,0.8333,0.000660045,0.000660045,0.000660045
43,324.421,0.50284,0.63067,0.55626,0.88649,0.87389,0.80684,0.91605,0.78908,0.89137,0.74309,0.87557,0.68123,0.54621,0.86015,0.57753,0.83842,0.000649046,0.000649046,0.000649046
44,331.804,0.51208,0.61347,0.55081,0.88669,0.84023,0.84146,0.90438,0.7865,0.80568,0.8032,0.85428,0.64796,0.52456,1.01126,0.62397,0.82681,0.000638047,0.000638047,0.000638047
45,339.106,0.48135,0.571,0.52725,0.88347,0.84908,0.86718,0.92811,0.79578,0.8202,0.82632,0.87695,0.6696,0.54195,0.84497,0.58878,0.8319,0.000627048,0.000627048,0.000627048
46,346.364,0.49954,0.59088,0.53742,0.88339,0.87976,0.84403,0.92979,0.80236,0.84403,0.80781,0.8696,0.66993,0.51833,0.96055,0.56307,0.83066,0.000616049,0.000616049,0.000616049
47,353.777,0.48295,0.59513,0.52831,0.88034,0.89572,0.83232,0.93221,0.80236,0.86067,0.80277,0.88322,0.66886,0.5386,0.93632,0.56055,0.8292,0.000605051,0.000605051,0.000605051
48,361.079,0.48943,0.61808,0.51826,0.87659,0.85372,0.88029,0.92833,0.79984,0.8582,0.81341,0.87991,0.66994,0.52285,0.89211,0.61089,0.81974,0.000594052,0.000594052,0.000594052
