epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7469,0.92361,1.71835,3.44429,1.14271,0.01482,0.58977,0.15814,0.11019,0.01492,0.5876,0.15706,0.11592,0.76116,1.55368,3.71409,1.09551,0.00035552,0.00035552,0.00035552
2,29.5658,0.82289,1.07116,2.23805,1.08155,0.00875,0.61314,0.28152,0.18697,0.00882,0.614,0.2817,0.19834,0.80442,1.79237,3.49115,1.07242,0.000715001,0.000715001,0.000715001
3,39.1591,0.80141,1.04658,1.82698,1.07633,0.66818,0.24191,0.32707,0.2229,0.63952,0.24231,0.31036,0.23736,0.92178,1.93987,2.98447,1.21844,0.00106722,0.00106722,0.00106722
4,48.8271,0.78813,1.07053,1.58149,1.04993,0.50848,0.54439,0.57524,0.4137,0.50394,0.53867,0.57204,0.4161,0.90776,1.38929,2.49766,1.20186,0.001078,0.001078,0.001078
5,58.7742,0.762,0.97179,1.43073,1.0379,0.62918,0.68119,0.72232,0.54107,0.62937,0.67093,0.7168,0.51515,0.81104,1.36498,1.4951,1.09157,0.001067,0.001067,0.001067
6,68.3477,0.75005,0.96423,1.31535,1.01634,0.6971,0.75443,0.79614,0.53268,0.69577,0.75148,0.79041,0.52828,0.93363,1.54092,1.42628,1.16398,0.00105601,0.00105601,0.00105601
7,77.5196,0.73648,0.95963,1.25751,1.02076,0.73111,0.37354,0.5461,0.41313,0.73488,0.37354,0.54417,0.40796,0.77215,1.16897,1.94855,1.05444,0.00104501,0.00104501,0.00104501
8,86.9179,0.70494,0.93413,1.20428,1.00366,0.71789,0.77597,0.81369,0.61282,0.70385,0.7607,0.78986,0.56354,0.80093,1.3601,1.27866,1.07598,0.00103401,0.00103401,0.00103401
9,95.9605,0.71092,0.92818,1.11553,0.99718,0.76244,0.79773,0.86905,0.68053,0.76085,0.79508,0.86698,0.6536,0.73843,1.0451,1.00097,1.02293,0.00102301,0.00102301,0.00102301
10,105.118,0.6897,0.87405,1.0904,1.00988,0.86159,0.73395,0.86552,0.60238,0.85288,0.72959,0.8534,0.62138,0.89161,1.13184,1.10373,1.21908,0.00101201,0.00101201,0.00101201
11,114.45,0.69903,0.87447,1.04246,0.9949,0.81648,0.76796,0.87164,0.67637,0.8244,0.77228,0.869,0.65485,0.73718,1.16139,0.99157,1.04341,0.00100101,0.00100101,0.00100101
12,123.385,0.68528,0.88362,1.02375,0.99963,0.80938,0.74371,0.86237,0.65,0.82566,0.72791,0.8587,0.63701,0.77203,1.33069,1.07417,1.06821,0.000990012,0.000990012,0.000990012
13,132.979,0.66619,0.85708,0.95672,0.98338,0.84113,0.73992,0.89065,0.71844,0.85091,0.74978,0.89399,0.6871,0.6989,1.10956,0.90812,1.01284,0.000979013,0.000979013,0.000979013
14,142.733,0.65215,0.83701,0.94869,0.9763,0.79781,0.7559,0.8877,0.72346,0.79447,0.75564,0.87883,0.68921,0.6805,1.04793,0.91039,0.97216,0.000968014,0.000968014,0.000968014
15,152.421,0.64741,0.86305,0.92585,0.97223,0.73862,0.8435,0.89797,0.74679,0.73869,0.84166,0.89388,0.69922,0.6648,0.98099,0.98271,0.97395,0.000957015,0.000957015,0.000957015
16,162.225,0.62411,0.78225,0.86734,0.95927,0.83121,0.73851,0.89559,0.73379,0.8342,0.73747,0.88708,0.69076,0.68626,1.04818,0.89476,0.9826,0.000946016,0.000946016,0.000946016
17,172.227,0.62696,0.77185,0.85723,0.96809,0.83089,0.80657,0.90369,0.69953,0.8285,0.80257,0.89648,0.70131,0.76004,1.06185,0.86665,1.04122,0.000935018,0.000935018,0.000935018
