epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8466,0.6499,1.62304,2.25765,1.16346,0.19379,0.44538,0.18072,0.11243,0.1811,0.42465,0.16647,0.09223,1.38473,8.99897,3.5178,1.72286,0.00045728,0.00045728,0.00045728
2,30.5116,0.71896,1.22834,1.49444,1.14651,0.44103,0.1,0.07332,0.02768,0.4359,0.09524,0.06586,0.03012,2.35801,37.6267,19.6749,4.15968,0.000919654,0.000919654,0.000919654
3,41.7347,0.80717,1.31601,1.47825,1.1829,0.21513,0.17437,0.02555,0.01689,0.21453,0.09104,0.02186,0.01105,3.63588,30.9606,117.337,6.74513,0.00137269,0.00137269,0.00137269
4,53.2395,0.83916,1.38282,1.36422,1.21405,0.2574,0.22409,0.21969,0.11584,0.25354,0.21695,0.19427,0.11403,1.72391,14.025,18.0903,3.88028,0.00138656,0.00138656,0.00138656
5,65.4277,0.79681,1.26742,1.31046,1.19002,0.28469,0.26449,0.19627,0.1463,0.28562,0.26514,0.18496,0.13262,1.32396,5.42229,12.449,1.78328,0.00137241,0.00137241,0.00137241
6,77.537,0.73099,1.15135,1.21934,1.13495,0.63599,0.45445,0.5669,0.42058,0.61513,0.4376,0.51654,0.30351,0.973,6.32353,5.98431,1.52239,0.00135826,0.00135826,0.00135826
7,89.5442,0.73229,1.10138,1.16406,1.14498,0.65859,0.54368,0.60203,0.44275,0.63735,0.5152,0.56542,0.34274,0.83182,3.5443,6.27491,1.3349,0.00134412,0.00134412,0.00134412
8,101.44,0.68006,1.08644,1.11418,1.1161,0.83679,0.61502,0.76279,0.60201,0.84145,0.62007,0.75533,0.51875,0.67161,2.55613,2.25822,1.20569,0.00132997,0.00132997,0.00132997
9,113.092,0.64394,1.04346,1.06361,1.07861,0.79526,0.59188,0.74917,0.57465,0.81372,0.61476,0.77407,0.60364,0.75666,1.64928,2.00963,1.24802,0.00131582,0.00131582,0.00131582
10,125.157,0.64565,0.95055,1.03779,1.09057,0.64595,0.70602,0.75573,0.63775,0.64595,0.70602,0.75562,0.64008,0.55677,1.44207,2.32325,1.06994,0.00130168,0.00130168,0.00130168
11,136.962,0.59979,0.88132,0.98125,1.05833,0.6729,0.63978,0.70281,0.55813,0.76084,0.59542,0.70933,0.5791,0.75226,1.92367,2.79191,1.26541,0.00128753,0.00128753,0.00128753
12,148.595,0.59828,0.96122,0.96255,1.07134,0.67306,0.57339,0.67021,0.56694,0.62822,0.62796,0.67463,0.53239,0.55759,1.72235,1.90451,1.0271,0.00127338,0.00127338,0.00127338
13,160.336,0.55422,0.90041,0.90946,1.04195,0.68976,0.5496,0.70388,0.60272,0.68976,0.5496,0.69842,0.54417,0.6166,2.40437,2.39005,1.13276,0.00125923,0.00125923,0.00125923
14,172.703,0.58152,0.87875,0.96902,1.05119,0.80616,0.71279,0.83097,0.74397,0.80616,0.71279,0.8308,0.74357,0.48455,1.29497,1.11423,0.99175,0.00124509,0.00124509,0.00124509
15,184.464,0.57119,0.89129,0.93448,1.04573,0.8863,0.64055,0.85341,0.78279,0.8863,0.64055,0.84404,0.75636,0.43895,1.27751,0.90469,0.91265,0.00123094,0.00123094,0.00123094
16,196.258,0.52517,0.81338,0.874,1.02485,0.8591,0.74927,0.87163,0.75288,0.86294,0.7293,0.87307,0.76904,0.52015,1.23472,1.39458,1.01457,0.00121679,0.00121679,0.00121679
17,208.798,0.51381,0.82105,0.87978,1.02515,0.85921,0.677,0.86433,0.7821,0.85189,0.67342,0.85703,0.71768,0.43216,1.48573,1.03845,0.95219,0.00120265,0.00120265,0.00120265
18,221.086,0.52366,0.84182,0.87928,1.0205,0.83765,0.69298,0.81665,0.74339,0.8281,0.68841,0.80673,0.72616,0.46643,1.18621,0.89691,0.96503,0.0011885,0.0011885,0.0011885
19,233.07,0.53005,0.84776,0.86609,1.02708,0.88344,0.75732,0.86232,0.76858,0.87886,0.75141,0.85572,0.73375,0.40364,1.312,0.84303,0.92523,0.00117435,0.00117435,0.00117435
20,244.861,0.4936,0.76326,0.8286,1.00597,0.84747,0.807,0.90351,0.80212,0.85261,0.81176,0.908,0.78706,0.4441,1.06239,0.68618,0.96041,0.00116021,0.00116021,0.00116021
21,256.795,0.51093,0.75214,0.84069,1.01307,0.86823,0.72186,0.8617,0.74037,0.87622,0.71485,0.86577,0.74241,0.46087,1.00085,0.92603,1.01724,0.00114606,0.00114606,0.00114606
22,268.444,0.5127,0.74146,0.85823,1.00879,0.91344,0.76796,0.9013,0.81297,0.91792,0.76765,0.89614,0.81954,0.47775,1.07344,0.96134,0.97656,0.00113191,0.00113191,0.00113191
23,280.169,0.48975,0.72079,0.78019,0.9973,0.83329,0.77807,0.88584,0.79978,0.82419,0.76855,0.87013,0.7777,0.41071,1.09818,0.97475,0.91726,0.00111776,0.00111776,0.00111776
