epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2819,0.68132,1.81836,2.81252,1.14714,0.0058,0.98543,0.38173,0.29673,0.00567,0.97143,0.37848,0.32441,0.5335,1.44285,2.85781,0.99983,0.00045728,0.00045728,0.00045728
2,22.5285,0.67769,0.97188,1.99927,1.09493,0.5499,0.35739,0.37164,0.23173,0.55349,0.36215,0.36866,0.27003,0.87901,2.76977,2.75056,1.40256,0.000919654,0.000919654,0.000919654
3,29.7841,0.66328,0.95187,1.58231,1.06419,0.51871,0.44156,0.44824,0.34727,0.52359,0.43215,0.44331,0.33986,0.75159,2.29453,2.17179,1.20756,0.00137269,0.00137269,0.00137269
4,36.836,0.63468,1.05055,1.45361,1.05082,0.58818,0.53099,0.60616,0.49687,0.58818,0.53099,0.60245,0.50698,0.60208,1.92146,1.8183,1.04172,0.00138656,0.00138656,0.00138656
5,44.0628,0.63901,0.94826,1.38316,1.06163,0.41867,0.73718,0.6112,0.50568,0.42398,0.7465,0.61949,0.53012,0.57621,1.63356,2.03093,1.06001,0.00137241,0.00137241,0.00137241
6,51.1668,0.59792,0.90202,1.29996,1.02679,0.77374,0.63282,0.72752,0.61708,0.77965,0.63681,0.73883,0.63271,0.56352,1.2202,1.65144,0.98591,0.00135826,0.00135826,0.00135826
7,58.2547,0.59906,0.89168,1.23833,1.03748,0.74323,0.53592,0.70697,0.58896,0.74814,0.53364,0.70486,0.59504,0.57149,1.63719,2.07922,1.01893,0.00134412,0.00134412,0.00134412
8,65.4539,0.57523,0.89502,1.17837,1.017,0.75016,0.61779,0.70749,0.5535,0.75703,0.62255,0.7093,0.58441,0.64609,1.42713,1.68649,1.0774,0.00132997,0.00132997,0.00132997
9,72.8299,0.57826,0.85098,1.10684,1.00569,0.6534,0.61655,0.70029,0.61474,0.6534,0.61655,0.69234,0.62481,0.54253,1.17498,1.92809,0.96333,0.00131582,0.00131582,0.00131582
10,79.8083,0.55651,0.80868,1.08625,1.0193,0.55354,0.7632,0.74643,0.62584,0.55354,0.7632,0.74674,0.61712,0.60447,1.41333,1.64923,1.0364,0.00130168,0.00130168,0.00130168
11,86.8762,0.51623,0.75747,1.04246,0.99413,0.71807,0.52443,0.68919,0.5857,0.7103,0.51977,0.68,0.54626,0.56237,1.80252,1.74507,1.04996,0.00128753,0.00128753,0.00128753
12,93.9145,0.52056,0.78433,1.03905,0.99839,0.54572,0.75321,0.72883,0.62319,0.54071,0.74885,0.71835,0.64045,0.55787,0.99051,1.69243,1.02208,0.00127338,0.00127338,0.00127338
13,100.795,0.5135,0.78691,0.9735,0.98823,0.79794,0.55125,0.73684,0.64916,0.79331,0.54161,0.73408,0.65624,0.49366,0.97413,1.4295,0.98117,0.00125923,0.00125923,0.00125923
14,107.583,0.51372,0.76406,1.00477,0.98476,0.77938,0.75402,0.88394,0.79022,0.77938,0.75402,0.88441,0.81578,0.46372,0.80852,0.98324,0.93661,0.00124509,0.00124509,0.00124509
15,114.361,0.50493,0.77835,0.97918,0.9922,0.83114,0.7871,0.88974,0.79235,0.83114,0.7871,0.88974,0.71227,0.49669,1.26881,0.83004,0.95468,0.00123094,0.00123094,0.00123094
16,121.129,0.48353,0.68427,0.93402,0.97141,0.78996,0.74524,0.83604,0.73199,0.79674,0.73999,0.8371,0.75357,0.45956,1.0042,1.19345,0.92068,0.00121679,0.00121679,0.00121679
17,127.903,0.47494,0.68257,0.91856,0.9776,0.86719,0.73956,0.88633,0.77377,0.8608,0.73488,0.87776,0.8183,0.50089,1.02277,0.84208,0.96008,0.00120265,0.00120265,0.00120265
18,134.619,0.5053,0.70261,0.90596,0.98168,0.89148,0.70929,0.88447,0.77446,0.89148,0.70929,0.88659,0.80928,0.51945,0.89424,0.86977,0.98295,0.0011885,0.0011885,0.0011885
19,141.431,0.51547,0.77424,0.88957,0.98495,0.91668,0.75824,0.88121,0.78917,0.91668,0.75824,0.88077,0.80473,0.4353,0.94548,0.87185,0.92293,0.00117435,0.00117435,0.00117435
20,148.324,0.46841,0.696,0.8562,0.9703,0.88378,0.77395,0.88136,0.81574,0.89499,0.78375,0.89258,0.80653,0.40943,0.7837,0.86608,0.89613,0.00116021,0.00116021,0.00116021
21,155.191,0.47325,0.651,0.86807,0.96897,0.76718,0.5999,0.7195,0.63981,0.76274,0.58988,0.71604,0.65359,0.44462,0.947,1.37034,0.90618,0.00114606,0.00114606,0.00114606
22,162.091,0.47496,0.66692,0.84301,0.96936,0.77591,0.76542,0.87806,0.81172,0.7841,0.77658,0.88261,0.81168,0.37695,0.90248,0.88924,0.86,0.00113191,0.00113191,0.00113191
23,169.2,0.45031,0.64992,0.78754,0.95062,0.7767,0.79111,0.8514,0.76906,0.76553,0.77921,0.84455,0.76769,0.43237,0.95143,0.98944,0.90372,0.00111776,0.00111776,0.00111776
24,176.254,0.45028,0.6449,0.844,0.95932,0.73465,0.80895,0.87775,0.77719,0.7403,0.81371,0.88327,0.80311,0.46111,0.84569,0.77754,0.93603,0.00110362,0.00110362,0.00110362
25,183.265,0.44111,0.63418,0.79772,0.94365,0.81928,0.7302,0.86522,0.76514,0.82288,0.7357,0.86701,0.76958,0.46128,0.96042,1.0239,0.93267,0.00108947,0.00108947,0.00108947
26,191.072,0.43273,0.62179,0.76769,0.94365,0.83079,0.86225,0.92498,0.81528,0.82608,0.85806,0.92317,0.84226,0.47118,1.01827,0.74512,0.95561,0.00107532,0.00107532,0.00107532
