epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1322,0.62077,1.54811,2.24182,1.11157,0.48013,0.53445,0.47764,0.35278,0.47579,0.52268,0.455,0.37989,0.83097,2.56751,3.17539,1.2887,0.00045728,0.00045728,0.00045728
2,22.7702,0.63849,1.03053,1.34211,1.07384,0.15793,0.2388,0.10956,0.07123,0.14794,0.21947,0.09978,0.06296,1.30861,4.62923,3.79879,1.63042,0.000919654,0.000919654,0.000919654
3,30.1476,0.68716,1.02941,1.22097,1.0746,0.5412,0.34034,0.23192,0.12212,0.55954,0.35224,0.22656,0.12999,1.21079,3.66562,5.89649,1.68928,0.00137269,0.00137269,0.00137269
4,37.6469,0.70058,1.13482,1.20138,1.08706,0.22112,0.50672,0.25019,0.18705,0.22483,0.55255,0.25076,0.19855,1.04896,2.95977,5.71401,1.53867,0.00138656,0.00138656,0.00138656
5,45.1712,0.69422,1.07056,1.14469,1.09905,0.5327,0.60138,0.61236,0.40369,0.48864,0.55056,0.52626,0.29423,0.89375,7.32047,2.32392,1.31114,0.00137241,0.00137241,0.00137241
6,52.8266,0.64182,0.99887,1.09445,1.06115,0.69702,0.4338,0.56269,0.3746,0.74634,0.42351,0.56778,0.35759,1.01076,2.63275,2.15684,1.53558,0.00135826,0.00135826,0.00135826
7,61.5298,0.64633,0.9585,1.07367,1.06983,0.75122,0.38841,0.52098,0.37264,0.73315,0.37861,0.48149,0.29914,0.83134,2.80977,2.29592,1.24039,0.00134412,0.00134412,0.00134412
8,69.123,0.60671,0.95006,1.00601,1.03828,0.70846,0.66966,0.79504,0.6458,0.71296,0.67898,0.7906,0.66858,0.60882,1.29803,1.46267,1.07106,0.00132997,0.00132997,0.00132997
9,76.6794,0.57323,0.92393,0.96402,1.02208,0.60648,0.71765,0.7307,0.63998,0.61232,0.71737,0.72898,0.62783,0.51961,1.34688,1.51604,0.99031,0.00131582,0.00131582,0.00131582
10,84.1202,0.58631,0.85459,0.9379,1.03816,0.73538,0.67941,0.72631,0.57073,0.73066,0.67465,0.72266,0.57333,0.69575,1.86458,1.6359,1.13029,0.00130168,0.00130168,0.00130168
11,91.5471,0.55988,0.80809,0.92686,1.02018,0.73057,0.80564,0.83209,0.74547,0.72906,0.81015,0.83326,0.73906,0.45692,1.13258,1.05538,0.92576,0.00128753,0.00128753,0.00128753
12,99.9419,0.5449,0.81677,0.86473,1.01708,0.80643,0.74664,0.86943,0.7936,0.80101,0.74188,0.86518,0.77452,0.46727,1.2813,1.07299,0.9313,0.00127338,0.00127338,0.00127338
13,107.593,0.53394,0.8014,0.82707,1.01126,0.88454,0.7292,0.8624,0.767,0.88454,0.7292,0.86878,0.73189,0.50309,1.35743,0.74874,0.96223,0.00125923,0.00125923,0.00125923
14,115.084,0.52612,0.78719,0.90012,1.00271,0.83907,0.70703,0.84787,0.77248,0.83704,0.70224,0.84389,0.77114,0.42327,0.97081,0.86795,0.90612,0.00124509,0.00124509,0.00124509
15,122.613,0.52843,0.79497,0.8907,1.00709,0.82348,0.82672,0.89874,0.787,0.82348,0.82672,0.89534,0.80772,0.48613,1.06895,0.86227,0.94747,0.00123094,0.00123094,0.00123094
16,130.031,0.50462,0.74436,0.8374,0.99022,0.80575,0.59538,0.76836,0.66625,0.80575,0.59538,0.76725,0.68383,0.49685,0.92681,1.11615,0.95585,0.00121679,0.00121679,0.00121679
17,137.636,0.49886,0.70454,0.82561,0.9978,0.77521,0.71813,0.81698,0.72919,0.77823,0.71475,0.81787,0.75599,0.44501,0.89305,0.9738,0.91729,0.00120265,0.00120265,0.00120265
18,144.867,0.52072,0.73729,0.80112,0.99842,0.86545,0.73938,0.85345,0.76303,0.86545,0.73938,0.85511,0.78014,0.46537,0.89014,0.95467,0.95085,0.0011885,0.0011885,0.0011885
19,152.253,0.50601,0.73519,0.79489,0.98865,0.91781,0.79066,0.90521,0.83509,0.91781,0.79066,0.90443,0.82332,0.43162,1.05156,0.74767,0.90433,0.00117435,0.00117435,0.00117435
20,159.719,0.47129,0.66657,0.74599,0.97632,0.71557,0.75989,0.82814,0.75039,0.71147,0.75513,0.82994,0.73655,0.43348,1.01942,1.21536,0.92981,0.00116021,0.00116021,0.00116021
