epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5468,0.77899,1.97724,3.19596,1.32461,0.02513,0.96373,0.14615,0.10904,0.02566,0.96877,0.14364,0.10984,0.70563,1.86273,3.06363,1.41691,0.00045728,0.00045728,0.00045728
2,28.2959,0.67437,0.99426,2.36622,1.21769,0.00629,0.97591,0.39929,0.22714,0.00626,0.97115,0.39828,0.29208,0.8812,2.28297,2.8268,1.69935,0.000919654,0.000919654,0.000919654
3,37.7344,0.67652,0.96214,1.94809,1.20187,0.33005,0.36878,0.30701,0.17233,0.33005,0.36878,0.30161,0.18625,1.06744,3.95433,2.45809,1.87887,0.00137269,0.00137269,0.00137269
4,48.2504,0.65998,1.0374,1.78726,1.18754,0.33997,0.44034,0.32341,0.22854,0.32382,0.44449,0.31378,0.20817,0.87094,2.84426,2.39319,1.64035,0.00138656,0.00138656,0.00138656
5,57.9178,0.62418,0.92314,1.63678,1.15467,0.39442,0.55066,0.49459,0.32548,0.39442,0.55066,0.49718,0.34999,0.89915,2.61839,2.56119,1.65592,0.00137241,0.00137241,0.00137241
6,67.2349,0.60945,0.93223,1.54342,1.14263,0.48358,0.71595,0.62044,0.44074,0.49483,0.72926,0.63698,0.44822,0.81676,2.18378,2.77679,1.48979,0.00135826,0.00135826,0.00135826
7,76.4939,0.64966,0.9332,1.47632,1.16494,0.57966,0.41025,0.46748,0.36767,0.57852,0.4119,0.46706,0.38064,0.76398,1.37931,2.46931,1.43489,0.00134412,0.00134412,0.00134412
8,86.0044,0.58867,0.87709,1.34933,1.12797,0.5941,0.7547,0.74373,0.60164,0.59498,0.75269,0.73919,0.62953,0.64869,1.36838,1.93304,1.29852,0.00132997,0.00132997,0.00132997
9,95.4077,0.57449,0.8708,1.28568,1.1039,0.7486,0.64256,0.74759,0.42924,0.76211,0.65073,0.76152,0.53558,1.05791,1.07784,1.60904,1.63312,0.00131582,0.00131582,0.00131582
10,104.928,0.56396,0.82278,1.26333,1.11942,0.57946,0.69104,0.62053,0.48172,0.57946,0.69104,0.61625,0.50098,0.69367,1.66197,2.78661,1.29303,0.00130168,0.00130168,0.00130168
11,114.166,0.55261,0.78152,1.19623,1.09519,0.72564,0.64169,0.72666,0.54693,0.72564,0.64169,0.73288,0.61827,0.72041,1.09235,1.56274,1.34433,0.00128753,0.00128753,0.00128753
12,123.911,0.55992,0.802,1.16998,1.11442,0.45674,0.59094,0.54255,0.42953,0.46842,0.59108,0.5399,0.46186,0.66768,1.11886,1.99238,1.32172,0.00127338,0.00127338,0.00127338
13,133.264,0.51397,0.7754,1.05859,1.078,0.76509,0.7199,0.82846,0.71138,0.76509,0.7199,0.82557,0.74961,0.50442,1.03256,1.28286,1.17809,0.00125923,0.00125923,0.00125923
14,142.615,0.50405,0.73636,1.0515,1.07019,0.62034,0.72115,0.7639,0.61825,0.62412,0.7105,0.7634,0.69445,0.58036,0.90777,1.43913,1.21097,0.00124509,0.00124509,0.00124509
15,151.564,0.51081,0.80452,1.0654,1.07528,0.63304,0.66729,0.77703,0.65269,0.62931,0.66274,0.77668,0.69728,0.57545,1.09725,1.4086,1.19088,0.00123094,0.00123094,0.00123094
16,160.833,0.48302,0.70547,0.99201,1.05318,0.84409,0.67965,0.81478,0.65138,0.83987,0.67489,0.81432,0.71684,0.59633,1.10508,1.35625,1.16959,0.00121679,0.00121679,0.00121679
17,169.804,0.4934,0.68695,0.99969,1.06982,0.54813,0.65994,0.71063,0.61655,0.54813,0.65994,0.71216,0.64452,0.50737,0.98942,1.39524,1.11863,0.00120265,0.00120265,0.00120265
18,179.23,0.4956,0.74298,0.98334,1.07223,0.78213,0.73221,0.82433,0.71502,0.77552,0.72241,0.81395,0.68978,0.53299,1.48235,1.03582,1.13054,0.0011885,0.0011885,0.0011885
19,188.229,0.50057,0.76581,0.91775,1.0655,0.79509,0.74804,0.86484,0.70238,0.79509,0.74804,0.86005,0.74593,0.62501,1.34499,1.00464,1.23912,0.00117435,0.00117435,0.00117435
20,198.361,0.45986,0.67476,0.88216,1.04005,0.8004,0.71689,0.85392,0.75145,0.79595,0.712,0.84517,0.77474,0.50581,1.01873,1.07184,1.12995,0.00116021,0.00116021,0.00116021
21,207.304,0.45673,0.63663,0.88307,1.03965,0.81061,0.76202,0.86375,0.77202,0.81619,0.76678,0.86693,0.7793,0.4758,1.08092,0.9155,1.10066,0.00114606,0.00114606,0.00114606
22,216.063,0.46869,0.66948,0.88941,1.03177,0.77105,0.74159,0.86012,0.73508,0.78009,0.72671,0.86386,0.77988,0.51059,0.89498,0.95673,1.1468,0.00113191,0.00113191,0.00113191
23,224.959,0.44485,0.64876,0.83956,1.0271,0.78176,0.7749,0.84416,0.75327,0.78176,0.7749,0.85027,0.76532,0.46041,1.05989,1.65173,1.07619,0.00111776,0.00111776,0.00111776
24,234.245,0.45392,0.61222,0.84718,1.03053,0.83799,0.76739,0.88238,0.78363,0.83345,0.76344,0.88157,0.79429,0.48018,0.96901,1.10315,1.09168,0.00110362,0.00110362,0.00110362
25,243.337,0.44625,0.62802,0.8274,1.01417,0.82469,0.71491,0.86116,0.75358,0.82991,0.71967,0.86385,0.80459,0.5083,0.8695,0.96217,1.15744,0.00108947,0.00108947,0.00108947
26,252.299,0.42884,0.59012,0.79952,1.01061,0.80122,0.75677,0.87095,0.7905,0.80122,0.75677,0.87336,0.82818,0.42784,0.83102,0.94461,1.06495,0.00107532,0.00107532,0.00107532
27,261.417,0.42117,0.56188,0.76681,1.00214,0.82096,0.80672,0.88962,0.77494,0.82525,0.81148,0.89103,0.83375,0.48936,0.85718,0.99838,1.12883,0.00106118,0.00106118,0.00106118
28,271.087,0.45034,0.5943,0.81224,1.03282,0.88959,0.64888,0.84753,0.73322,0.88959,0.64888,0.84987,0.79201,0.47578,0.91394,0.9381,1.14132,0.00104703,0.00104703,0.00104703
29,280.027,0.4415,0.60641,0.78136,1.01728,0.78582,0.73112,0.85969,0.76375,0.78582,0.73112,0.86186,0.79629,0.43582,0.97776,1.13932,1.06929,0.00103288,0.00103288,0.00103288
30,289.116,0.41394,0.58808,0.75183,0.99194,0.83984,0.81236,0.89127,0.77633,0.83893,0.81464,0.89371,0.83065,0.48438,0.96969,1.31742,1.14059,0.00101873,0.00101873,0.00101873
31,298.206,0.4182,0.56611,0.77362,1.00834,0.85973,0.75134,0.90155,0.79452,0.85973,0.75134,0.90376,0.84631,0.42881,0.88786,0.87979,1.08666,0.00100459,0.00100459,0.00100459
32,307.214,0.42628,0.58994,0.74436,1.00823,0.72898,0.66211,0.77554,0.62802,0.72898,0.66211,0.7765,0.69717,0.52582,0.87901,1.39733,1.18782,0.00099044,0.00099044,0.00099044
33,316.173,0.41118,0.58269,0.71368,0.99483,0.77103,0.83554,0.9031,0.80716,0.77103,0.83554,0.90328,0.83961,0.4637,0.84025,0.82823,1.08203,0.000976293,0.000976293,0.000976293
34,325.121,0.40957,0.5856,0.72526,1.00094,0.85966,0.73289,0.88321,0.80885,0.85966,0.73289,0.88557,0.82262,0.38544,0.77739,0.76433,1.012,0.000962146,0.000962146,0.000962146
35,334.214,0.38706,0.5319,0.70407,0.9798,0.90857,0.74845,0.88592,0.81087,0.90857,0.74845,0.88521,0.83267,0.37842,0.76141,0.88869,1.03854,0.000947999,0.000947999,0.000947999
36,343.156,0.39781,0.56234,0.68842,0.98379,0.87474,0.78065,0.88605,0.825,0.88272,0.78928,0.89363,0.84375,0.40967,0.88051,1.0979,1.01632,0.000933851,0.000933851,0.000933851
37,352.412,0.41254,0.55068,0.7325,1.00671,0.86791,0.82751,0.92614,0.85563,0.87052,0.83302,0.93002,0.86729,0.37728,0.79509,0.75994,1.00196,0.000919704,0.000919704,0.000919704
38,361.262,0.38813,0.51648,0.67659,0.98934,0.96133,0.82479,0.92883,0.85148,0.96133,0.82479,0.92695,0.8667,0.39984,0.82782,0.60049,1.03151,0.000905557,0.000905557,0.000905557
39,370.048,0.39899,0.51435,0.68953,0.99925,0.89131,0.78748,0.93611,0.8826,0.84204,0.85048,0.94227,0.88399,0.353,0.79521,0.60757,1.01755,0.00089141,0.00089141,0.00089141
40,378.932,0.38998,0.531,0.64765,0.98569,0.92218,0.81657,0.93691,0.86777,0.92218,0.81657,0.93573,0.87668,0.36882,0.82373,0.57636,0.97934,0.000877263,0.000877263,0.000877263
41,387.795,0.38649,0.50437,0.64425,0.98271,0.82939,0.82294,0.90992,0.83951,0.82461,0.81841,0.90232,0.84378,0.42788,0.96403,0.66919,1.0546,0.000863116,0.000863116,0.000863116
42,396.682,0.39867,0.51693,0.6718,0.9971,0.81979,0.85879,0.90329,0.81157,0.82696,0.85439,0.90716,0.84009,0.4661,0.89734,0.71734,1.06409,0.000848969,0.000848969,0.000848969
43,405.427,0.38457,0.54002,0.66747,0.9776,0.82399,0.85856,0.90649,0.828,0.82134,0.87157,0.90608,0.8499,0.42918,0.8502,0.71007,1.0602,0.000834822,0.000834822,0.000834822
44,414.446,0.38768,0.49869,0.64356,0.97689,0.78171,0.79807,0.87267,0.79487,0.78171,0.79807,0.8754,0.82949,0.39276,0.78979,0.78661,1.00452,0.000820675,0.000820675,0.000820675
