epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.196,0.72456,1.74045,2.98222,1.27714,0.2379,0.6486,0.29322,0.17059,0.22908,0.61975,0.27407,0.18297,1.0974,3.44031,2.85329,1.63765,0.00045728,0.00045728,0.00045728
2,42.492,0.72427,1.14333,1.51181,1.23975,0.29396,0.56834,0.31004,0.17743,0.3166,0.56331,0.31108,0.18645,1.20852,3.90302,4.66487,2.42363,0.000919654,0.000919654,0.000919654
3,55.2353,0.75785,1.17813,1.36455,1.25153,0.51128,0.39385,0.25035,0.1398,0.51128,0.39385,0.253,0.16782,1.30237,4.4092,4.08369,2.40591,0.00137269,0.00137269,0.00137269
4,67.8487,0.75129,1.17583,1.27613,1.23394,0.34146,0.40644,0.36343,0.22142,0.29302,0.50224,0.3725,0.19582,1.32933,3.11948,3.77907,2.20802,0.00138656,0.00138656,0.00138656
5,80.5272,0.74611,1.067,1.23068,1.24265,0.50439,0.61459,0.61844,0.39337,0.50848,0.61367,0.6362,0.41303,1.13438,2.60694,2.88558,1.77572,0.00137241,0.00137241,0.00137241
6,93.198,0.69168,1.05953,1.15588,1.21125,0.54203,0.71009,0.72275,0.49323,0.53716,0.70678,0.72855,0.54991,0.94808,2.16398,2.91109,1.71112,0.00135826,0.00135826,0.00135826
7,105.886,0.69344,0.99682,1.08571,1.19691,0.65262,0.6036,0.69875,0.51224,0.65308,0.60019,0.68293,0.50053,0.80764,1.98612,1.53094,1.47364,0.00134412,0.00134412,0.00134412
8,118.578,0.62656,1.01089,1.0469,1.15509,0.86025,0.65874,0.83488,0.69374,0.78023,0.76283,0.84123,0.73308,0.63043,1.39072,2.44002,1.30452,0.00132997,0.00132997,0.00132997
9,131.829,0.61017,0.96175,1.00217,1.1361,0.63119,0.53683,0.59072,0.38971,0.61417,0.51751,0.56089,0.31276,0.9287,3.11428,2.89991,1.49154,0.00131582,0.00131582,0.00131582
10,144.513,0.62979,0.89859,0.99843,1.16394,0.85077,0.71331,0.8483,0.64553,0.84457,0.71226,0.83934,0.69208,0.76371,1.42298,1.16193,1.39478,0.00130168,0.00130168,0.00130168
11,157.164,0.57454,0.83199,0.94221,1.11654,0.75593,0.63367,0.71023,0.58505,0.75593,0.63367,0.70319,0.6215,0.57244,1.17776,1.64674,1.19509,0.00128753,0.00128753,0.00128753
12,169.766,0.56618,0.83069,0.9481,1.12352,0.85721,0.73668,0.86931,0.72254,0.85721,0.73668,0.87404,0.75296,0.6181,1.22837,1.14498,1.23138,0.00127338,0.00127338,0.00127338
13,182.348,0.54559,0.83888,0.87892,1.10295,0.76306,0.7552,0.79199,0.61231,0.76821,0.75996,0.79424,0.63461,0.79025,1.88441,1.11347,1.5255,0.00125923,0.00125923,0.00125923
14,194.89,0.54835,0.80882,0.90527,1.1109,0.80372,0.7406,0.84071,0.70954,0.79378,0.75173,0.84402,0.73802,0.58958,1.54541,1.06678,1.24743,0.00124509,0.00124509,0.00124509
15,207.503,0.55297,0.83372,0.91061,1.10182,0.8234,0.73768,0.81185,0.70151,0.8234,0.73768,0.80798,0.73947,0.61545,1.25916,1.15665,1.19346,0.00123094,0.00123094,0.00123094
16,220.148,0.51854,0.71985,0.859,1.0745,0.8029,0.75697,0.83291,0.70743,0.8029,0.75697,0.83401,0.73579,0.59149,1.31758,2.21776,1.22443,0.00121679,0.00121679,0.00121679
