epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2982,1.41277,1.47703,3.44086,0.88524,0.00283,0.22526,0.02965,0.01302,0.00695,0.53961,0.04126,0.0265,1.10039,1.39974,3.79048,0.8039,0.00053344,0.00053344,0.00053344
2,18.0668,1.20075,1.21718,2.10094,0.87197,0.00219,0.17539,0.00147,0.00095,0.00276,0.22455,0.00192,0.0011,1.07254,1.40983,3.49495,0.8269,0.00107282,0.00107282,0.00107282
3,24.6914,1.20509,1.13432,1.81156,0.87206,0.82672,0.03778,0.05977,0.03699,0.82672,0.03778,0.0581,0.0413,1.20001,1.44821,2.99909,0.83189,0.00160131,0.00160131,0.00160131
4,31.3949,1.1528,1.21168,1.56719,0.86879,0.66105,0.25332,0.39856,0.20774,0.64894,0.23732,0.38674,0.20674,1.20257,1.46374,2.2892,0.82804,0.00161749,0.00161749,0.00161749
5,38.0637,1.16749,1.16283,1.42335,0.86599,0.64131,0.63426,0.66646,0.42653,0.61885,0.55461,0.59759,0.28869,1.12224,1.42632,1.61372,0.85576,0.00160099,0.00160099,0.00160099
6,44.7115,1.10884,1.10066,1.27333,0.8701,0.79471,0.80212,0.86386,0.57539,0.77696,0.72879,0.77875,0.34825,1.02171,1.33673,1.24625,0.83805,0.00158448,0.00158448,0.00158448
7,51.3552,1.07672,1.0674,1.2608,0.85383,0.58607,0.69275,0.63496,0.44194,0.55307,0.634,0.58099,0.27922,1.00069,1.33713,1.26151,0.85431,0.00156798,0.00156798,0.00156798
8,58.3805,1.08471,1.11538,1.1937,0.85529,0.79879,0.74751,0.79866,0.52187,0.73222,0.68158,0.71311,0.32139,1.02427,1.70293,1.09821,0.84777,0.00155148,0.00155148,0.00155148
9,65.1854,1.02526,1.00475,1.04366,0.84657,0.76303,0.76621,0.83848,0.56612,0.70861,0.62771,0.67175,0.3232,0.96879,1.17058,1.00453,0.82674,0.00153497,0.00153497,0.00153497
10,71.8659,0.99832,1.02825,1.04026,0.84101,0.81611,0.71003,0.81683,0.56044,0.75,0.64632,0.70036,0.31132,0.97701,1.39645,1.01421,0.8242,0.00151847,0.00151847,0.00151847
11,78.4698,1.0215,0.99464,1.00224,0.84096,0.65987,0.72706,0.76359,0.50943,0.6158,0.67118,0.69804,0.31318,1.01602,1.22174,1.02683,0.81135,0.00150197,0.00150197,0.00150197
12,84.95,1.01432,1.04364,0.94596,0.84608,0.77174,0.76729,0.83393,0.56778,0.70637,0.66566,0.72109,0.303,0.96709,1.36209,0.92099,0.84106,0.00148546,0.00148546,0.00148546
13,91.4221,1.01713,1.00827,0.89475,0.84136,0.79938,0.79563,0.87453,0.61944,0.81561,0.71746,0.81622,0.40529,0.90732,1.52358,0.79471,0.81118,0.00146896,0.00146896,0.00146896
14,98.1803,0.99984,0.93189,0.90284,0.84922,0.7588,0.81066,0.84924,0.57101,0.69962,0.72536,0.75041,0.34752,0.99229,1.23839,0.85605,0.82665,0.00145246,0.00145246,0.00145246
15,104.922,0.98603,1.01346,0.92428,0.83929,0.76352,0.76803,0.81696,0.58051,0.78079,0.68214,0.7361,0.35794,0.89533,1.35509,1.04194,0.80326,0.00143595,0.00143595,0.00143595
16,111.602,0.95851,0.92942,0.8564,0.82787,0.72791,0.72944,0.80021,0.56704,0.67849,0.63516,0.7008,0.33571,0.90904,1.08805,1.05876,0.81657,0.00141945,0.00141945,0.00141945
17,118.012,0.94445,0.93898,0.80512,0.83078,0.66187,0.73347,0.75419,0.53056,0.62969,0.65959,0.68378,0.33582,0.91773,1.59423,1.18365,0.81008,0.00140295,0.00140295,0.00140295
18,124.511,0.96028,0.92885,0.82352,0.83625,0.8233,0.84114,0.89008,0.6206,0.82906,0.67784,0.76041,0.33112,0.93012,1.24591,0.85649,0.81869,0.00138644,0.00138644,0.00138644
19,130.924,0.94381,0.94599,0.84572,0.84179,0.80188,0.77713,0.84973,0.59381,0.74514,0.69953,0.7501,0.33906,0.90755,1.41759,0.86014,0.80359,0.00136994,0.00136994,0.00136994
20,137.464,0.95745,0.92288,0.83625,0.83888,0.79149,0.78834,0.83986,0.59694,0.69476,0.73003,0.74106,0.36206,0.9099,1.4878,0.85074,0.81863,0.00135344,0.00135344,0.00135344
21,143.906,0.9363,0.93562,0.81525,0.8217,0.73052,0.69187,0.79365,0.52512,0.63281,0.57727,0.62712,0.28706,1.01349,1.06589,1.0987,0.81321,0.00133693,0.00133693,0.00133693
22,150.407,0.95795,0.9777,0.82006,0.83392,0.80023,0.70173,0.8158,0.55555,0.75736,0.65661,0.7101,0.32974,0.96656,1.50951,1.04593,0.81913,0.00132043,0.00132043,0.00132043
23,156.893,0.91974,0.93515,0.76321,0.8321,0.85019,0.82221,0.89573,0.66658,0.77294,0.74532,0.75669,0.35148,0.8565,1.18089,0.75585,0.80868,0.00130393,0.00130393,0.00130393
24,163.339,0.90794,0.90121,0.763,0.82666,0.86079,0.79329,0.89114,0.65452,0.80078,0.72442,0.79663,0.38543,0.86097,1.02157,0.78722,0.79967,0.00128742,0.00128742,0.00128742
25,169.861,0.9438,0.92014,0.77679,0.83263,0.86618,0.74497,0.85896,0.632,0.82195,0.69589,0.77635,0.36576,0.87161,1.13049,0.88074,0.81194,0.00127092,0.00127092,0.00127092
26,176.382,0.93602,0.89753,0.77933,0.8308,0.83337,0.82332,0.85107,0.61218,0.7462,0.72016,0.73699,0.3472,0.88588,1.09936,0.88492,0.80865,0.00125442,0.00125442,0.00125442
27,182.88,0.93471,0.96403,0.7434,0.83309,0.81589,0.83332,0.87735,0.63971,0.75289,0.7663,0.77733,0.36661,0.8602,1.15218,0.80334,0.8163,0.00123791,0.00123791,0.00123791
28,189.425,0.91248,0.92463,0.77144,0.83016,0.84013,0.80191,0.87955,0.62982,0.84064,0.67388,0.76024,0.33025,0.89104,1.52183,0.72822,0.82198,0.00122141,0.00122141,0.00122141
29,195.939,0.91362,0.9328,0.74441,0.83092,0.8057,0.81492,0.87184,0.62544,0.7632,0.68056,0.7197,0.32387,0.85617,1.52166,0.77367,0.80411,0.00120491,0.00120491,0.00120491
30,202.413,0.893,0.92926,0.73793,0.82834,0.82144,0.80115,0.87827,0.64489,0.77319,0.73803,0.77364,0.35702,0.86603,1.42055,0.86727,0.81892,0.0011884,0.0011884,0.0011884
31,209.037,0.93878,0.95713,0.75276,0.82991,0.85795,0.83963,0.90565,0.6404,0.80352,0.75956,0.78584,0.37465,0.88275,1.37069,0.74338,0.81889,0.0011719,0.0011719,0.0011719
