epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6138,1.24419,1.40995,3.22332,0.90004,0.5836,0.49179,0.51023,0.32388,0.55029,0.45165,0.44369,0.18757,1.11403,1.52858,2.09184,0.85853,0.00053344,0.00053344,0.00053344
2,19.416,1.0747,1.16835,1.31883,0.88043,0.51487,0.31654,0.33385,0.22204,0.49163,0.30667,0.30307,0.1525,1.39797,3.40936,2.15727,0.99229,0.00107282,0.00107282,0.00107282
3,26.9602,1.15198,1.15976,1.09323,0.9125,0.42259,0.47152,0.35673,0.22072,0.40353,0.44876,0.32493,0.1501,1.3425,3.91214,1.91198,1.10903,0.00160131,0.00160131,0.00160131
4,34.556,1.14039,1.18836,1.16283,0.90359,0.61005,0.50708,0.52435,0.36306,0.57726,0.46503,0.45837,0.19728,1.08723,1.79585,4.11555,0.99539,0.00161749,0.00161749,0.00161749
5,41.8826,1.05832,1.02327,0.92847,0.88079,0.81542,0.71696,0.82257,0.55734,0.76804,0.663,0.72415,0.31837,1.15433,1.60636,1.33428,1.0989,0.00160099,0.00160099,0.00160099
6,49.4454,1.09083,1.10865,0.95815,0.89473,0.67056,0.70647,0.74638,0.50623,0.60941,0.64061,0.65043,0.29998,1.04132,1.51113,1.39966,0.97336,0.00158448,0.00158448,0.00158448
7,57.759,1.04685,1.06739,0.93959,0.87543,0.79862,0.69776,0.76819,0.52666,0.7403,0.6329,0.6818,0.29218,1.37005,16.6892,2.19304,1.28799,0.00156798,0.00156798,0.00156798
8,65.2641,1.03284,1.02859,0.91088,0.87311,0.79413,0.68247,0.79959,0.54683,0.75014,0.6557,0.71117,0.30993,1.02511,1.40134,1.06892,0.9705,0.00155148,0.00155148,0.00155148
9,72.8633,1.02161,0.98407,0.82176,0.87036,0.74899,0.7379,0.83567,0.59207,0.77226,0.6418,0.74254,0.33389,0.97161,1.17212,0.97088,0.96106,0.00153497,0.00153497,0.00153497
10,80.341,0.96717,0.9679,0.84979,0.85823,0.73845,0.75945,0.81044,0.57374,0.80864,0.66225,0.75151,0.33433,1.0752,1.37569,1.00326,1.01191,0.00151847,0.00151847,0.00151847
11,87.7776,1.00431,0.9729,0.84842,0.87053,0.76935,0.70371,0.80555,0.55595,0.78008,0.57812,0.68809,0.2908,1.01645,1.27561,1.06802,0.92856,0.00150197,0.00150197,0.00150197
12,95.2236,1.0065,1.00653,0.79951,0.87131,0.74866,0.79732,0.84684,0.5804,0.70005,0.67925,0.71312,0.32222,0.97626,1.2396,0.97097,0.93821,0.00148546,0.00148546,0.00148546
13,102.72,0.98244,0.98622,0.75807,0.86372,0.72099,0.77728,0.81939,0.57854,0.69034,0.72861,0.7582,0.3885,0.95179,1.57976,0.92328,0.9477,0.00146896,0.00146896,0.00146896
14,110.353,0.95848,0.90143,0.75588,0.8705,0.83817,0.73662,0.84867,0.60037,0.77993,0.67982,0.74449,0.32668,0.96884,1.19374,0.91625,0.95173,0.00145246,0.00145246,0.00145246
15,117.825,0.93878,0.96273,0.76411,0.85681,0.81584,0.7612,0.84831,0.60302,0.76265,0.68204,0.73927,0.31766,0.9623,1.41009,1.11532,0.95156,0.00143595,0.00143595,0.00143595
16,125.651,0.934,0.90116,0.70339,0.8483,0.84128,0.79257,0.88214,0.61748,0.75857,0.7144,0.76426,0.32791,1.00595,1.2675,0.88153,1.0048,0.00141945,0.00141945,0.00141945
17,133.083,0.9404,0.92809,0.73656,0.85701,0.78284,0.73452,0.83395,0.60868,0.68978,0.67739,0.70811,0.3207,0.96005,1.89078,0.84555,0.96269,0.00140295,0.00140295,0.00140295
18,140.441,0.93071,0.88567,0.74801,0.85907,0.8159,0.75287,0.84363,0.5906,0.72307,0.66726,0.71261,0.28118,0.99984,1.65972,0.94619,0.93,0.00138644,0.00138644,0.00138644
19,147.89,0.93117,0.91527,0.73466,0.86041,0.82299,0.82861,0.89227,0.65353,0.779,0.75219,0.79114,0.3504,0.89429,1.44287,0.75303,0.91208,0.00136994,0.00136994,0.00136994
20,155.425,0.9341,0.87918,0.72643,0.85865,0.7138,0.70381,0.75846,0.55065,0.70225,0.65563,0.67832,0.32431,0.89374,1.37282,1.60284,0.91224,0.00135344,0.00135344,0.00135344
21,162.82,0.92539,0.90731,0.73838,0.84577,0.83151,0.79007,0.85368,0.58856,0.7286,0.65832,0.69051,0.28515,0.96121,1.0918,0.81731,0.92583,0.00133693,0.00133693,0.00133693
22,170.333,0.93774,0.92348,0.75674,0.85473,0.8257,0.74028,0.80602,0.58278,0.78276,0.69893,0.72085,0.36363,0.91823,1.55938,1.0852,0.90125,0.00132043,0.00132043,0.00132043
23,177.731,0.88279,0.86813,0.65646,0.84979,0.83438,0.80186,0.86067,0.6226,0.75558,0.69081,0.7097,0.3089,0.88049,1.22877,0.7548,0.92168,0.00130393,0.00130393,0.00130393
24,185.243,0.893,0.88471,0.69532,0.84179,0.79517,0.82619,0.87323,0.63808,0.75009,0.77661,0.79682,0.3524,0.93907,1.45805,0.94571,0.94289,0.00128742,0.00128742,0.00128742
25,192.643,0.89857,0.86968,0.69789,0.84764,0.74743,0.80808,0.86488,0.62531,0.75341,0.67796,0.7521,0.33373,0.86712,1.11565,0.94701,0.90816,0.00127092,0.00127092,0.00127092
26,200.385,0.9158,0.88619,0.7285,0.84461,0.81912,0.7577,0.84498,0.60192,0.75815,0.70311,0.74498,0.32955,0.87951,1.13258,0.9886,0.9078,0.00125442,0.00125442,0.00125442
27,208.058,0.8811,0.89469,0.67255,0.84245,0.82646,0.8182,0.86452,0.63142,0.73948,0.72612,0.73238,0.30638,0.85605,1.05877,0.77733,0.89483,0.00123791,0.00123791,0.00123791
28,215.45,0.87888,0.8641,0.65139,0.84559,0.80978,0.81816,0.85566,0.63267,0.75299,0.75411,0.76262,0.33356,0.88679,1.13553,0.73677,0.91985,0.00122141,0.00122141,0.00122141
29,222.94,0.87961,0.87259,0.64825,0.84934,0.81156,0.78528,0.86468,0.64098,0.70733,0.68201,0.70338,0.30002,0.8446,1.33187,0.83018,0.87952,0.00120491,0.00120491,0.00120491
30,230.392,0.86229,0.8809,0.653,0.84232,0.82597,0.73261,0.83222,0.60655,0.73861,0.64537,0.6846,0.29879,0.91997,1.2282,0.85529,0.90085,0.0011884,0.0011884,0.0011884
31,237.857,0.87921,0.87756,0.72589,0.83966,0.84774,0.75687,0.83839,0.63004,0.83175,0.67006,0.74709,0.33818,0.87198,1.43886,0.83836,0.90045,0.0011719,0.0011719,0.0011719
32,245.41,0.8462,0.81056,0.68912,0.83253,0.82822,0.77855,0.83842,0.61325,0.76427,0.66537,0.70741,0.30358,0.8321,1.16756,0.86575,0.88776,0.0011554,0.0011554,0.0011554
33,253.234,0.84324,0.8505,0.64837,0.83237,0.84701,0.81416,0.88069,0.65914,0.77779,0.73313,0.75793,0.32822,0.79255,1.28596,0.73967,0.87727,0.00113889,0.00113889,0.00113889
34,260.717,0.83148,0.85447,0.62228,0.82912,0.85682,0.82902,0.89668,0.67638,0.79904,0.78518,0.8018,0.37352,0.82171,1.07436,0.78671,0.87994,0.00112239,0.00112239,0.00112239
35,268.269,0.85314,0.83199,0.64276,0.83829,0.85132,0.81332,0.89028,0.63461,0.77415,0.71803,0.75908,0.34011,0.89602,1.07608,0.74896,0.89217,0.00110589,0.00110589,0.00110589
36,276.114,0.84721,0.84775,0.61059,0.83518,0.79768,0.79874,0.81002,0.59,0.77367,0.74229,0.74698,0.35071,0.88867,1.31896,1.1095,0.89724,0.00108938,0.00108938,0.00108938
37,283.542,0.90894,0.91291,0.69059,0.85008,0.85974,0.75733,0.87994,0.63892,0.83709,0.74162,0.83145,0.39482,0.86357,1.11269,0.92316,0.88591,0.00107288,0.00107288,0.00107288
38,290.917,0.83377,0.83398,0.61506,0.84022,0.87446,0.76355,0.8824,0.65518,0.77823,0.70848,0.76519,0.33833,0.82961,1.18294,0.71423,0.89586,0.00105638,0.00105638,0.00105638
39,298.322,0.81306,0.81018,0.59955,0.8349,0.79209,0.837,0.88234,0.65765,0.73893,0.73041,0.74889,0.29146,0.79513,1.05603,0.70078,0.87984,0.00103987,0.00103987,0.00103987
40,305.829,0.84176,0.82434,0.57917,0.83656,0.86293,0.84338,0.90535,0.66647,0.78437,0.76517,0.78805,0.34018,0.84275,0.9936,0.62567,0.88878,0.00102337,0.00102337,0.00102337
41,313.26,0.8137,0.80536,0.57453,0.83379,0.78438,0.85545,0.8906,0.66674,0.79262,0.7079,0.79047,0.37652,0.83832,1.06614,0.64941,0.90905,0.00100687,0.00100687,0.00100687
42,320.704,0.82833,0.7954,0.60217,0.83309,0.83899,0.77727,0.87848,0.64805,0.76364,0.66282,0.73155,0.28789,0.84828,1.17442,0.7272,0.89349,0.000990365,0.000990365,0.000990365
43,328.164,0.82079,0.81081,0.59479,0.83639,0.83524,0.79545,0.88574,0.66335,0.73222,0.69268,0.72914,0.3323,0.8138,1.30827,0.68057,0.88952,0.000973861,0.000973861,0.000973861
44,335.53,0.83248,0.82596,0.57288,0.83688,0.84757,0.80073,0.88496,0.65803,0.75624,0.71441,0.74653,0.34545,0.87386,1.24414,0.69259,0.92064,0.000957358,0.000957358,0.000957358
45,343.396,0.81152,0.76481,0.57168,0.82743,0.83077,0.80308,0.87147,0.64541,0.80396,0.69661,0.74635,0.32525,0.82678,1.25081,0.72677,0.8748,0.000940855,0.000940855,0.000940855
