epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6633,1.18096,1.31467,3.56166,0.89802,0.00265,0.18268,0.04786,0.02832,0.00644,0.45355,0.05345,0.04099,0.92866,1.50986,3.91812,0.83837,0.00053344,0.00053344,0.00053344
2,29.4751,1.03093,1.1581,2.38083,0.8762,0.00263,0.18268,0.01297,0.00697,0.00874,0.60966,0.10086,0.0543,0.95695,1.4028,3.61268,0.86579,0.00107282,0.00107282,0.00107282
3,38.9307,1.04172,1.10453,1.96378,0.88386,0.90522,0.06545,0.22799,0.16436,0.90522,0.06545,0.23191,0.17376,1.03478,1.64516,2.99284,0.89637,0.00160131,0.00160131,0.00160131
4,48.2776,1.02825,1.10136,1.72565,0.88133,0.72255,0.56604,0.65907,0.43995,0.72415,0.56236,0.64292,0.39198,1.07612,1.62618,2.14761,0.91966,0.00161749,0.00161749,0.00161749
5,57.645,0.93755,1.0556,1.48414,0.87088,0.68911,0.3348,0.54491,0.39117,0.68911,0.3348,0.54013,0.29793,1.00816,1.43122,2.54304,0.89827,0.00160099,0.00160099,0.00160099
6,66.9908,0.97149,1.049,1.31366,0.86971,0.59598,0.69871,0.72089,0.51235,0.59407,0.69471,0.71022,0.40138,0.99046,1.32939,1.45923,0.88117,0.00158448,0.00158448,0.00158448
7,76.3925,0.95445,1.03363,1.27866,0.86488,0.72674,0.70458,0.79214,0.57764,0.72524,0.69658,0.78382,0.46604,0.91648,1.21202,1.27007,0.87393,0.00156798,0.00156798,0.00156798
8,85.8323,0.96061,1.02394,1.22168,0.87005,0.79008,0.68161,0.79364,0.58613,0.79653,0.6565,0.7732,0.44085,0.9586,1.35738,1.13611,0.87222,0.00155148,0.00155148,0.00155148
9,95.3332,0.91159,0.97971,1.07584,0.86096,0.77256,0.78894,0.81795,0.58787,0.77256,0.78894,0.81445,0.46823,0.92959,1.25142,1.0938,0.86128,0.00153497,0.00153497,0.00153497
10,104.845,0.89773,0.95027,1.0712,0.86512,0.72857,0.74817,0.81844,0.60854,0.7375,0.73063,0.80711,0.49414,0.88095,1.17368,1.05956,0.87038,0.00151847,0.00151847,0.00151847
11,114.146,0.8864,0.95236,0.97362,0.85427,0.82267,0.83432,0.88607,0.65803,0.8078,0.81679,0.87041,0.50711,0.86199,1.32512,0.88003,0.86648,0.00150197,0.00150197,0.00150197
12,123.574,0.8806,0.99438,0.95055,0.85729,0.80367,0.69273,0.81889,0.58051,0.8104,0.67514,0.81193,0.46371,0.93109,1.26037,1.14358,0.87223,0.00148546,0.00148546,0.00148546
13,132.808,0.88695,1.00354,0.91699,0.85201,0.83813,0.79989,0.87561,0.65935,0.83285,0.79518,0.86047,0.52403,0.88285,1.24875,0.90735,0.8581,0.00146896,0.00146896,0.00146896
14,142.065,0.87391,0.94421,0.89334,0.86123,0.88252,0.80576,0.90563,0.68283,0.86912,0.78796,0.88135,0.54727,0.83013,1.23896,0.82495,0.85234,0.00145246,0.00145246,0.00145246
15,151.385,0.87159,0.95905,0.87581,0.85831,0.79143,0.83973,0.88863,0.65867,0.77983,0.82181,0.86516,0.50522,0.88156,1.26994,0.87315,0.85777,0.00143595,0.00143595,0.00143595
16,160.732,0.84837,0.89962,0.81703,0.84333,0.8322,0.78502,0.87158,0.61733,0.82412,0.76162,0.83913,0.44507,0.88407,1.28297,0.9062,0.85142,0.00141945,0.00141945,0.00141945
17,170.092,0.84157,0.90226,0.80882,0.84834,0.85697,0.81855,0.90935,0.69809,0.85195,0.81556,0.90807,0.54244,0.84055,1.00673,0.80886,0.85057,0.00140295,0.00140295,0.00140295
18,179.521,0.83036,0.88312,0.79075,0.84841,0.83946,0.78435,0.90071,0.65941,0.82445,0.76928,0.87881,0.48071,0.87496,1.1,0.89648,0.85084,0.00138644,0.00138644,0.00138644
19,188.512,0.82195,0.91935,0.80198,0.85067,0.84876,0.81635,0.89689,0.66392,0.83309,0.8005,0.87286,0.51506,0.85192,1.08171,0.75616,0.84952,0.00136994,0.00136994,0.00136994
20,198.28,0.81817,0.89326,0.77234,0.84332,0.80953,0.83137,0.88311,0.6517,0.79614,0.81679,0.8573,0.4884,0.91216,1.22984,1.10865,0.87017,0.00135344,0.00135344,0.00135344
21,207.428,0.84011,0.90402,0.77919,0.83971,0.83452,0.815,0.86991,0.67475,0.83452,0.815,0.86922,0.54631,0.82136,0.99356,0.77909,0.85041,0.00133693,0.00133693,0.00133693
22,216.635,0.8277,0.88325,0.79547,0.84714,0.8895,0.80905,0.9147,0.69983,0.88139,0.80176,0.89877,0.56629,0.85073,1.11264,0.90154,0.85284,0.00132043,0.00132043,0.00132043
23,225.811,0.82539,0.88222,0.74214,0.84542,0.85714,0.80225,0.89961,0.67197,0.83513,0.77917,0.87659,0.49041,0.84051,1.30396,0.74347,0.85803,0.00130393,0.00130393,0.00130393
24,235.578,0.83281,0.8907,0.73677,0.84946,0.84778,0.8488,0.92006,0.68644,0.89083,0.79332,0.89239,0.53613,0.83365,0.93309,0.77141,0.84286,0.00128742,0.00128742,0.00128742
25,244.756,0.81612,0.88738,0.73931,0.83935,0.76204,0.86176,0.88844,0.67624,0.87602,0.74628,0.86952,0.52333,0.8352,1.26589,0.81079,0.849,0.00127092,0.00127092,0.00127092
26,253.757,0.80544,0.90197,0.75598,0.83531,0.80595,0.87864,0.90264,0.67712,0.77975,0.84955,0.87227,0.52369,0.88719,0.98482,0.85176,0.85648,0.00125442,0.00125442,0.00125442
27,262.809,0.80876,0.89298,0.7168,0.83581,0.81763,0.85047,0.87658,0.67699,0.81363,0.84647,0.8643,0.52494,0.80496,0.94732,0.82264,0.8505,0.00123791,0.00123791,0.00123791
28,272.1,0.81568,0.86913,0.69767,0.84202,0.72933,0.77653,0.83117,0.64468,0.72177,0.76924,0.82339,0.48084,0.80058,1.24338,1.22713,0.85174,0.00122141,0.00122141,0.00122141
29,281.376,0.80077,0.86853,0.69055,0.84365,0.76844,0.77229,0.84245,0.64806,0.76398,0.76475,0.83497,0.50717,0.79046,0.91528,1.0547,0.84269,0.00120491,0.00120491,0.00120491
30,290.673,0.77174,0.87657,0.66428,0.83027,0.85393,0.89241,0.93698,0.70829,0.83855,0.8652,0.91125,0.53552,0.82739,1.01934,0.68469,0.84222,0.0011884,0.0011884,0.0011884
31,300.009,0.81245,0.89158,0.71162,0.83951,0.86773,0.83189,0.89401,0.70266,0.87358,0.82873,0.89028,0.56962,0.79375,1.01433,0.65885,0.83971,0.0011719,0.0011719,0.0011719
32,309.414,0.76507,0.86634,0.68782,0.82834,0.78004,0.76038,0.82352,0.64302,0.77485,0.75238,0.81559,0.49321,0.79756,1.20749,0.9141,0.84498,0.0011554,0.0011554,0.0011554
33,318.165,0.77917,0.89152,0.64615,0.83313,0.80787,0.86372,0.91298,0.70431,0.79773,0.84917,0.8974,0.56331,0.78407,1.10656,0.71505,0.83798,0.00113889,0.00113889,0.00113889
34,327.566,0.77977,0.88385,0.64967,0.83027,0.80275,0.86277,0.89262,0.68837,0.80165,0.84524,0.86869,0.52421,0.80112,1.34485,0.9857,0.83689,0.00112239,0.00112239,0.00112239
35,336.777,0.78801,0.90407,0.65082,0.83387,0.87473,0.81569,0.91627,0.70776,0.87886,0.80699,0.91624,0.53098,0.80784,1.03597,0.63421,0.84613,0.00110589,0.00110589,0.00110589
36,346.067,0.78673,0.84502,0.6385,0.83278,0.8682,0.81065,0.90582,0.70814,0.86924,0.8092,0.90655,0.57238,0.76286,0.96983,0.66458,0.82982,0.00108938,0.00108938,0.00108938
37,355.458,0.84275,0.89192,0.68048,0.84198,0.87129,0.86909,0.93435,0.7131,0.87464,0.87003,0.92705,0.59797,0.7824,0.96102,0.66423,0.83882,0.00107288,0.00107288,0.00107288
38,364.898,0.78647,0.86545,0.63408,0.83987,0.84741,0.86123,0.92846,0.72025,0.84741,0.86123,0.9101,0.56955,0.80298,0.92744,0.63476,0.85242,0.00105638,0.00105638,0.00105638
39,373.907,0.76827,0.84792,0.61743,0.83522,0.83868,0.8631,0.92031,0.71885,0.83618,0.85892,0.90755,0.56288,0.76649,0.86328,0.63008,0.82421,0.00103987,0.00103987,0.00103987
40,382.732,0.76551,0.84135,0.59609,0.83007,0.90016,0.77644,0.90406,0.69536,0.89544,0.77244,0.88832,0.53675,0.82765,1.23074,0.67761,0.83329,0.00102337,0.00102337,0.00102337
41,391.601,0.76685,0.85268,0.61275,0.83354,0.84199,0.87907,0.92149,0.71835,0.83285,0.86103,0.90731,0.55351,0.78738,1.03097,0.73175,0.8349,0.00100687,0.00100687,0.00100687
42,400.635,0.77639,0.83751,0.61135,0.83182,0.87726,0.78721,0.89442,0.67295,0.87123,0.763,0.87535,0.51995,0.82986,1.29393,0.65612,0.83564,0.000990365,0.000990365,0.000990365
43,409.481,0.77711,0.89783,0.62519,0.83585,0.82183,0.82558,0.87165,0.66611,0.82116,0.81185,0.86338,0.54449,0.79944,1.21099,0.69579,0.84543,0.000973861,0.000973861,0.000973861
44,418.462,0.78702,0.87649,0.58996,0.84031,0.91898,0.75983,0.91012,0.70696,0.91013,0.75201,0.89208,0.55207,0.78588,1.00168,0.64297,0.84258,0.000957358,0.000957358,0.000957358
45,427.598,0.75599,0.83363,0.59046,0.82956,0.88728,0.85704,0.92828,0.72064,0.87449,0.85199,0.91805,0.5597,0.76655,1.24137,0.63399,0.84091,0.000940855,0.000940855,0.000940855
46,437.401,0.73069,0.80923,0.57682,0.82348,0.88313,0.82852,0.91635,0.7019,0.89086,0.8358,0.92089,0.56303,0.8168,1.26064,0.67196,0.85462,0.000924352,0.000924352,0.000924352
47,447.426,0.74337,0.82622,0.55647,0.82772,0.87594,0.81885,0.91875,0.71694,0.8796,0.82285,0.92077,0.56806,0.78574,0.89171,0.60433,0.83814,0.000907848,0.000907848,0.000907848
48,456.616,0.75173,0.84174,0.59007,0.82873,0.81238,0.90848,0.92334,0.72321,0.83363,0.88754,0.91579,0.54067,0.76852,0.9994,0.62303,0.83956,0.000891345,0.000891345,0.000891345
49,465.97,0.7495,0.82547,0.57938,0.83244,0.84862,0.82387,0.90632,0.70425,0.84436,0.81987,0.90154,0.54211,0.77574,1.22953,0.64227,0.83742,0.000874842,0.000874842,0.000874842
50,475.165,0.74487,0.83345,0.56734,0.82457,0.80801,0.86016,0.914,0.7123,0.8163,0.8562,0.91013,0.5577,0.78184,1.29193,0.63392,0.84126,0.000858338,0.000858338,0.000858338
51,484.584,0.72713,0.81241,0.54821,0.82843,0.86908,0.88008,0.93588,0.71316,0.88096,0.86614,0.92335,0.54192,0.80691,1.2479,0.6257,0.84478,0.000841835,0.000841835,0.000841835
52,493.233,0.72932,0.81115,0.54991,0.82784,0.9038,0.87123,0.94719,0.73734,0.90024,0.86794,0.93664,0.56381,0.79805,1.19487,0.544,0.83692,0.000825332,0.000825332,0.000825332
53,501.837,0.72133,0.80734,0.55756,0.81945,0.79296,0.83055,0.89484,0.69448,0.7928,0.81618,0.87802,0.53026,0.78897,1.15125,0.72708,0.83504,0.000808828,0.000808828,0.000808828
54,510.561,0.72039,0.8092,0.56971,0.82522,0.83979,0.82346,0.88363,0.67225,0.82809,0.81239,0.86275,0.52702,0.82797,1.15994,0.89915,0.84279,0.000792325,0.000792325,0.000792325
55,519.415,0.73574,0.80303,0.55211,0.83032,0.91724,0.82132,0.9173,0.71443,0.90498,0.81074,0.9072,0.5507,0.7848,1.04332,0.6203,0.84576,0.000775822,0.000775822,0.000775822
56,528.329,0.70053,0.78279,0.53249,0.81926,0.85729,0.86008,0.92284,0.71906,0.84554,0.84879,0.91108,0.55626,0.77666,1.09667,0.64095,0.83604,0.000759318,0.000759318,0.000759318
57,536.933,0.73026,0.81754,0.52927,0.81972,0.86672,0.86363,0.92657,0.72063,0.85944,0.85634,0.91787,0.57843,0.77839,0.95965,0.63174,0.8481,0.000742815,0.000742815,0.000742815
58,545.575,0.71651,0.80713,0.52885,0.82438,0.87348,0.84651,0.93049,0.71843,0.88846,0.82437,0.91636,0.55767,0.80529,1.19464,0.56236,0.84327,0.000726312,0.000726312,0.000726312
59,554.295,0.7195,0.82678,0.55496,0.82291,0.8551,0.83074,0.89391,0.69349,0.83217,0.80816,0.86681,0.53216,0.7942,1.05762,0.66893,0.83861,0.000709809,0.000709809,0.000709809
60,562.884,0.70578,0.8035,0.53108,0.82331,0.86962,0.8635,0.92361,0.72171,0.86127,0.85232,0.91612,0.57195,0.75785,0.87677,0.56859,0.83774,0.000693305,0.000693305,0.000693305
61,571.576,0.70744,0.80412,0.52364,0.81963,0.86523,0.84514,0.92338,0.72711,0.861,0.83518,0.91077,0.56403,0.76915,1.14578,0.55104,0.83918,0.000676802,0.000676802,0.000676802
62,580.414,0.69546,0.83372,0.50357,0.82041,0.84318,0.87857,0.92107,0.7138,0.86588,0.85234,0.91791,0.54996,0.76982,1.05156,0.62426,0.83636,0.000660299,0.000660299,0.000660299
63,589.133,0.72419,0.80942,0.53056,0.82193,0.85763,0.86128,0.92756,0.73944,0.86915,0.84652,0.91906,0.58118,0.72406,1.00506,0.57876,0.83155,0.000643795,0.000643795,0.000643795
64,598.021,0.68822,0.789,0.51512,0.8181,0.87036,0.85918,0.9295,0.73946,0.86558,0.85589,0.9231,0.57734,0.7352,0.98555,0.55972,0.83865,0.000627292,0.000627292,0.000627292
65,606.748,0.69342,0.78889,0.49683,0.82028,0.84134,0.89795,0.93074,0.7183,0.83927,0.88604,0.91813,0.54911,0.79123,1.32715,0.62373,0.83414,0.000610789,0.000610789,0.000610789
66,615.894,0.69274,0.80113,0.49702,0.82141,0.82459,0.85874,0.90376,0.7027,0.80778,0.83945,0.88729,0.53125,0.76658,0.93989,0.64505,0.83112,0.000594286,0.000594286,0.000594286
67,624.507,0.68261,0.7932,0.50255,0.81149,0.85134,0.85421,0.92023,0.71673,0.84412,0.84693,0.91063,0.56282,0.77793,0.85793,0.63509,0.85238,0.000577782,0.000577782,0.000577782
68,633.269,0.69676,0.79433,0.50419,0.81425,0.87137,0.88408,0.93358,0.73269,0.86837,0.87679,0.9283,0.57799,0.76555,1.00703,0.63519,0.84412,0.000561279,0.000561279,0.000561279
69,642.086,0.68932,0.79191,0.49813,0.81721,0.86423,0.83732,0.92957,0.73847,0.85042,0.82603,0.91758,0.58273,0.73048,0.84293,0.56334,0.84324,0.000544776,0.000544776,0.000544776
70,650.861,0.68261,0.76298,0.49339,0.81318,0.87251,0.89307,0.93937,0.73691,0.86541,0.88579,0.93509,0.58353,0.76636,0.85509,0.53764,0.8388,0.000528272,0.000528272,0.000528272
71,659.741,0.6723,0.76433,0.47577,0.81724,0.83874,0.88176,0.9324,0.73531,0.83931,0.87144,0.9252,0.5823,0.73028,1.26864,0.54177,0.83311,0.000511769,0.000511769,0.000511769
72,668.416,0.66959,0.75929,0.47228,0.81501,0.83748,0.8935,0.93057,0.72756,0.82103,0.87406,0.91407,0.55885,0.74584,1.15498,0.59053,0.83926,0.000495266,0.000495266,0.000495266
73,677.12,0.67522,0.76083,0.47953,0.81538,0.8644,0.87557,0.9343,0.71757,0.84638,0.85699,0.90964,0.54981,0.79718,1.17577,0.52853,0.84164,0.000478762,0.000478762,0.000478762
74,685.637,0.70465,0.78448,0.48166,0.81649,0.82551,0.84288,0.90222,0.71201,0.84573,0.81804,0.89295,0.55883,0.74187,0.84034,0.60468,0.84045,0.000462259,0.000462259,0.000462259
75,695.114,0.68781,0.78556,0.47527,0.81892,0.8217,0.88064,0.91317,0.72151,0.80973,0.86464,0.89655,0.56005,0.7492,0.97451,0.5798,0.83321,0.000445756,0.000445756,0.000445756
76,703.8,0.69728,0.78902,0.47039,0.81531,0.85309,0.90595,0.93407,0.74408,0.84274,0.89466,0.92207,0.58182,0.71546,0.84225,0.53856,0.82137,0.000429253,0.000429253,0.000429253
77,712.386,0.68702,0.78036,0.47533,0.81051,0.85895,0.84457,0.92008,0.72747,0.8518,0.83715,0.91004,0.57379,0.74791,0.86658,0.56267,0.82978,0.000412749,0.000412749,0.000412749
78,721.123,0.65004,0.75255,0.45956,0.81098,0.8805,0.85906,0.92943,0.73024,0.86418,0.85219,0.90319,0.57114,0.74728,1.25764,0.59209,0.82428,0.000396246,0.000396246,0.000396246
79,729.831,0.66498,0.76806,0.45441,0.81321,0.8321,0.86911,0.91041,0.72494,0.84589,0.8438,0.90045,0.56784,0.73668,0.98243,0.57223,0.82209,0.000379743,0.000379743,0.000379743
80,738.566,0.64526,0.74991,0.4554,0.81061,0.85184,0.86464,0.92584,0.73009,0.83803,0.84982,0.90506,0.56873,0.72415,1.11754,0.52517,0.82028,0.000363239,0.000363239,0.000363239
81,747.239,0.65656,0.75805,0.44855,0.81088,0.89863,0.87645,0.94457,0.73653,0.88722,0.86524,0.92808,0.57328,0.75837,1.03185,0.50636,0.82909,0.000346736,0.000346736,0.000346736
82,755.916,0.659,0.77107,0.45452,0.81162,0.88802,0.8775,0.94856,0.75044,0.89269,0.87679,0.93859,0.58031,0.73569,0.96559,0.49391,0.82413,0.000330233,0.000330233,0.000330233
83,764.59,0.67443,0.81072,0.45005,0.81346,0.8916,0.87524,0.94169,0.74077,0.88428,0.86874,0.93089,0.57435,0.74521,1.06221,0.51695,0.82965,0.000313729,0.000313729,0.000313729
84,773.372,0.64258,0.73342,0.43197,0.81067,0.89105,0.87042,0.94152,0.74039,0.86702,0.86417,0.92708,0.573,0.73414,1.01816,0.51473,0.82385,0.000297226,0.000297226,0.000297226
85,782.324,0.64569,0.72904,0.44064,0.80925,0.88064,0.8751,0.94205,0.74561,0.87756,0.87039,0.92762,0.57215,0.7339,1.0911,0.50026,0.82738,0.000280723,0.000280723,0.000280723
86,790.949,0.65493,0.75037,0.43712,0.81113,0.88545,0.83545,0.94102,0.7491,0.87753,0.82832,0.93369,0.5855,0.71749,1.11843,0.51091,0.82652,0.00026422,0.00026422,0.00026422
87,799.598,0.631,0.72517,0.43339,0.8061,0.88234,0.87827,0.94571,0.73316,0.86729,0.86791,0.92052,0.58149,0.75544,1.01159,0.51724,0.83422,0.000247716,0.000247716,0.000247716
88,808.45,0.64296,0.75167,0.42349,0.80771,0.8974,0.86541,0.94267,0.74508,0.89448,0.85146,0.93472,0.58073,0.72527,1.29605,0.51753,0.82647,0.000231213,0.000231213,0.000231213
89,817.167,0.63267,0.73913,0.43062,0.8114,0.87586,0.86434,0.942,0.73685,0.87326,0.86034,0.93374,0.5802,0.74305,0.91391,0.5415,0.82652,0.00021471,0.00021471,0.00021471
90,825.914,0.63443,0.73666,0.42844,0.81281,0.90946,0.84825,0.94379,0.74702,0.90897,0.84,0.93834,0.58734,0.71178,0.95948,0.53424,0.82181,0.000198206,0.000198206,0.000198206
91,852.021,0.63532,0.7688,0.43814,0.80854,0.88829,0.87573,0.94241,0.73159,0.91433,0.83376,0.92693,0.56275,0.76925,0.89918,0.55933,0.8293,0.000181703,0.000181703,0.000181703
92,860.501,0.63237,0.74822,0.42473,0.8089,0.91406,0.83332,0.94542,0.74254,0.91214,0.82461,0.91952,0.56577,0.75439,1.06722,0.51824,0.82805,0.0001652,0.0001652,0.0001652
