epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.233,3.23312,11.4419,4.31367,4.25689,0.00253,0.25,0.00214,0.00061,0.00223,0.20412,0.00163,0.0005,3.07814,5.24507,3.92177,4.14624,0.00035552,0.00035552,0.00035552
2,24.4659,3.26157,5.64557,4.25316,4.16644,0.00272,0.26588,0.00229,0.00081,0.00242,0.22555,0.00197,0.00059,2.96988,5.07104,3.90942,4.02619,0.000715001,0.000715001,0.000715001
3,32.5737,3.15484,4.62909,4.16321,4.02206,0.0051,0.32403,0.00856,0.00324,0.00438,0.29672,0.00742,0.00277,2.72575,4.95523,3.84885,3.67913,0.00106722,0.00106722,0.00106722
4,40.473,3.05168,4.29586,3.96954,3.73042,0.00324,0.37461,0.02652,0.00891,0.00282,0.30873,0.023,0.00783,2.65182,8.24854,3.44971,3.34237,0.001078,0.001078,0.001078
5,48.3036,2.8707,3.92615,3.60851,3.3266,0.11228,0.13229,0.07288,0.03103,0.12295,0.10958,0.07779,0.03189,2.5463,13.7133,48.5344,3.3109,0.001067,0.001067,0.001067
6,56.8503,2.70432,3.64338,3.31222,2.99168,0.1377,0.21663,0.11463,0.05082,0.1335,0.20075,0.11424,0.04574,2.44394,9.3487,20.5058,3.31825,0.00105601,0.00105601,0.00105601
7,65.1897,2.62471,3.49139,3.11552,2.79132,0.18273,0.3387,0.17674,0.0768,0.17696,0.30852,0.15566,0.05724,2.28041,3.57188,2.8876,2.49196,0.00104501,0.00104501,0.00104501
8,74.3499,2.5024,3.26269,2.94548,2.63039,0.26008,0.37205,0.23508,0.11132,0.23634,0.32182,0.20341,0.08536,2.12691,3.15495,2.59296,2.3417,0.00103401,0.00103401,0.00103401
9,82.5949,2.38786,3.15606,2.80082,2.49048,0.26852,0.39166,0.25693,0.1069,0.22218,0.34887,0.21729,0.08214,2.15231,3.26359,2.80421,2.32484,0.00102301,0.00102301,0.00102301
10,90.6958,2.30698,2.98845,2.74588,2.42834,0.24734,0.41097,0.28277,0.12108,0.26018,0.40338,0.25363,0.09471,2.0676,3.24474,2.57896,2.2393,0.00101201,0.00101201,0.00101201
11,98.7195,2.21662,2.76522,2.61683,2.30897,0.37209,0.50868,0.33772,0.16183,0.35782,0.47305,0.32921,0.13934,1.95685,2.7531,2.36329,2.14243,0.00100101,0.00100101,0.00100101
12,106.803,2.16753,2.71676,2.5495,2.29005,0.40942,0.44579,0.35048,0.1666,0.4082,0.4373,0.33741,0.16125,1.9538,2.76491,2.18954,2.15768,0.000990012,0.000990012,0.000990012
13,114.545,2.09595,2.58926,2.4461,2.22777,0.36979,0.4515,0.35846,0.18626,0.36444,0.44551,0.34892,0.18413,1.85289,2.34628,2.09902,2.0387,0.000979013,0.000979013,0.000979013
14,122.365,2.04071,2.48384,2.35431,2.14091,0.32576,0.46056,0.35163,0.18759,0.30699,0.45214,0.32286,0.14964,1.81128,2.30858,2.11071,1.98915,0.000968014,0.000968014,0.000968014
15,130.482,2.009,2.40003,2.29538,2.10045,0.3549,0.47215,0.42464,0.21886,0.34254,0.46436,0.39597,0.20325,1.81143,2.17457,1.92023,1.97746,0.000957015,0.000957015,0.000957015
16,138.334,1.95156,2.33421,2.21747,2.04238,0.46937,0.54219,0.44826,0.24263,0.43995,0.51115,0.41527,0.22754,1.74549,2.02294,1.93072,1.91385,0.000946016,0.000946016,0.000946016
17,146.643,1.86192,2.20641,2.12824,1.98533,0.45808,0.51922,0.47427,0.25533,0.43346,0.49355,0.44871,0.23736,1.70128,2.02291,1.8947,1.86831,0.000935018,0.000935018,0.000935018
18,155.086,1.85524,2.28881,2.12355,1.98545,0.46766,0.53654,0.51228,0.31033,0.4489,0.57596,0.48969,0.2821,1.53118,2.0448,1.85037,1.75953,0.000924019,0.000924019,0.000924019
19,162.685,1.78321,2.2255,2.03895,1.90237,0.49189,0.48685,0.48957,0.28153,0.46198,0.46929,0.45839,0.26334,1.58579,1.9775,1.98285,1.78732,0.00091302,0.00091302,0.00091302
20,170.689,1.73479,2.13958,1.99022,1.86938,0.4843,0.56754,0.50188,0.29377,0.4884,0.54089,0.48544,0.28549,1.47599,1.93253,1.81526,1.73822,0.000902021,0.000902021,0.000902021
21,179.207,1.70147,2.11507,1.97051,1.85708,0.53578,0.53688,0.53203,0.30507,0.51061,0.515,0.49118,0.28077,1.5013,1.8342,1.80699,1.70648,0.000891022,0.000891022,0.000891022
22,187.272,1.69502,2.10028,1.94611,1.82641,0.51193,0.58807,0.56628,0.34682,0.51607,0.54798,0.53688,0.32651,1.41671,1.83951,1.69553,1.66416,0.000880023,0.000880023,0.000880023
23,195.408,1.6637,2.05318,1.86991,1.79819,0.53513,0.50489,0.55187,0.33971,0.51336,0.48232,0.51278,0.31459,1.46367,1.87645,1.82532,1.67344,0.000869024,0.000869024,0.000869024
24,203.428,1.62656,2.04901,1.89563,1.77401,0.54932,0.57175,0.55142,0.33369,0.52344,0.55231,0.51616,0.30371,1.46412,1.78437,1.75651,1.64087,0.000858025,0.000858025,0.000858025
25,211.539,1.57717,1.94574,1.82803,1.7233,0.63038,0.50663,0.59695,0.37706,0.60294,0.49481,0.56506,0.34875,1.36936,1.77685,1.66959,1.60477,0.000847026,0.000847026,0.000847026
26,219.281,1.54687,1.99945,1.81649,1.70206,0.59255,0.53304,0.56994,0.37034,0.56735,0.50806,0.5249,0.3247,1.2944,1.78004,1.61899,1.56031,0.000836027,0.000836027,0.000836027
27,227.29,1.50981,1.94216,1.7545,1.66444,0.49787,0.6141,0.56478,0.36297,0.49882,0.59346,0.52669,0.30652,1.30747,1.82796,1.71806,1.53267,0.000825029,0.000825029,0.000825029
28,235.191,1.53958,1.9388,1.75918,1.67845,0.57558,0.57246,0.60246,0.36647,0.5544,0.54881,0.55889,0.34572,1.38901,1.70787,1.70002,1.57344,0.00081403,0.00081403,0.00081403
29,243.219,1.5154,1.89436,1.73442,1.64515,0.61606,0.54281,0.60174,0.40008,0.60149,0.52834,0.5685,0.35681,1.28638,1.63866,1.56086,1.50176,0.000803031,0.000803031,0.000803031
30,251.389,1.46468,1.84062,1.6929,1.61923,0.65334,0.59238,0.63749,0.41337,0.63665,0.56918,0.60517,0.37383,1.32519,1.78147,1.55781,1.52625,0.000792032,0.000792032,0.000792032
31,259.345,1.45683,1.88567,1.68527,1.59793,0.66557,0.57133,0.66089,0.44311,0.65208,0.55763,0.62865,0.40753,1.258,1.74017,1.50041,1.49677,0.000781033,0.000781033,0.000781033
32,267.22,1.42242,1.82281,1.66506,1.58477,0.58005,0.59569,0.64233,0.40982,0.53034,0.60981,0.61078,0.38052,1.30606,1.62209,1.58079,1.53244,0.000770034,0.000770034,0.000770034
33,275.297,1.41163,1.7929,1.61575,1.56936,0.60844,0.60019,0.67028,0.45071,0.59596,0.58807,0.64236,0.42752,1.28019,1.62935,1.51266,1.46605,0.000759035,0.000759035,0.000759035
34,283.498,1.41234,1.79012,1.63616,1.56441,0.67999,0.61784,0.68245,0.45682,0.65614,0.60036,0.65173,0.41457,1.21308,1.7149,1.4942,1.43853,0.000748036,0.000748036,0.000748036
35,291.394,1.36777,1.71278,1.57524,1.50343,0.62591,0.61905,0.6599,0.4562,0.62405,0.58128,0.61667,0.39335,1.20231,1.66304,1.53678,1.43835,0.000737037,0.000737037,0.000737037
