epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5134,5.52899,11.6458,29.9078,4.45321,0,0,0,0,0,0,0,0,5.33727,5.32556,8.65774,4.17353,0.00053344,0.00053344,0.00053344
2,34.5982,4.31621,4.26148,8.97492,3.2511,0,0,0,0,0,0,0,0,5.33281,4.76821,6.71085,4.25213,0.00107282,0.00107282,0.00107282
3,48.428,2.89745,2.99173,3.14307,1.94326,0.00344,0.09663,0.00196,0.0009,0.00332,0.09334,0.00189,0.00073,2.97863,3.89439,3.80935,2.46503,0.00160131,0.00160131,0.00160131
4,62.3678,2.43496,2.62694,2.28845,1.45133,0.42021,0.10116,0.18859,0.08081,0.36313,0.09387,0.19266,0.07711,2.36342,7.91483,2.57919,1.71168,0.00161749,0.00161749,0.00161749
5,77.1427,2.16583,2.14936,1.98998,1.30092,0.2036,0.23361,0.19054,0.06902,0.21165,0.26161,0.22511,0.09379,2.48242,3.30453,2.29336,1.61759,0.00160099,0.00160099,0.00160099
6,92.0398,2.03033,1.91534,1.82729,1.2188,0.30257,0.52626,0.33158,0.13989,0.32414,0.55613,0.36485,0.17955,2.162,2.62683,2.02742,1.43959,0.00158448,0.00158448,0.00158448
7,107.195,1.8973,1.83779,1.70737,1.14839,0.4408,0.53128,0.45136,0.19829,0.43707,0.51739,0.44687,0.1867,2.01067,2.64922,1.82051,1.36041,0.00156798,0.00156798,0.00156798
8,122.477,1.85029,1.78778,1.61634,1.15002,0.5458,0.58347,0.55421,0.30674,0.5038,0.54095,0.4895,0.22254,1.6976,1.82404,1.64765,1.2845,0.00155148,0.00155148,0.00155148
9,137.741,1.84636,1.63815,1.56348,1.12629,0.43964,0.61201,0.56897,0.29243,0.41135,0.54468,0.49803,0.19695,1.81427,1.63902,1.6754,1.28551,0.00153497,0.00153497,0.00153497
10,152.808,1.67846,1.53318,1.49797,1.09215,0.7024,0.58745,0.67803,0.39776,0.67453,0.54263,0.61125,0.2595,1.59845,1.55814,1.33133,1.28328,0.00151847,0.00151847,0.00151847
11,167.832,1.61694,1.44265,1.45352,1.07154,0.73383,0.59534,0.70481,0.39257,0.65182,0.51258,0.57038,0.2207,1.61298,1.50417,1.29517,1.27802,0.00150197,0.00150197,0.00150197
12,181.92,1.59625,1.43584,1.36267,1.05806,0.63835,0.64187,0.67383,0.4077,0.61618,0.58091,0.62307,0.3129,1.4459,1.39926,1.26174,1.18992,0.00148546,0.00148546,0.00148546
13,196.204,1.55212,1.33644,1.29673,1.02863,0.68998,0.69161,0.7675,0.4569,0.69343,0.57639,0.66816,0.28599,1.44118,1.4701,1.22267,1.20548,0.00146896,0.00146896,0.00146896
14,211.366,1.52216,1.30456,1.29451,1.04531,0.71241,0.56083,0.69897,0.39835,0.66982,0.51425,0.62368,0.25241,1.51338,1.46587,1.76667,1.21525,0.00145246,0.00145246,0.00145246
15,225.107,1.53937,1.39655,1.34671,1.03259,0.67952,0.63616,0.7178,0.42882,0.66722,0.63545,0.6951,0.35753,1.41934,1.46786,1.31602,1.14901,0.00143595,0.00143595,0.00143595
16,239.424,1.48132,1.31223,1.25725,1.00962,0.64208,0.67312,0.7044,0.43922,0.61674,0.57408,0.62135,0.28719,1.3714,1.37334,1.23554,1.15205,0.00141945,0.00141945,0.00141945
17,254.068,1.38917,1.26989,1.20003,0.99927,0.6838,0.59706,0.68145,0.40688,0.62943,0.55607,0.61002,0.26862,1.38148,1.60769,1.26912,1.14312,0.00140295,0.00140295,0.00140295
18,268.665,1.39687,1.27727,1.20422,1.00992,0.74173,0.67979,0.78174,0.50221,0.71721,0.57232,0.67384,0.28291,1.28745,1.36864,1.07626,1.12403,0.00138644,0.00138644,0.00138644
19,283.21,1.36823,1.24782,1.14951,0.99842,0.64265,0.67655,0.68161,0.43838,0.61725,0.61225,0.60104,0.23116,1.2895,1.45521,1.40107,1.10894,0.00136994,0.00136994,0.00136994
20,297.884,1.35351,1.20192,1.15744,0.98991,0.66814,0.69004,0.73721,0.4622,0.61662,0.65171,0.64786,0.27378,1.2941,1.47522,1.21846,1.11088,0.00135344,0.00135344,0.00135344
21,312.411,1.30013,1.19941,1.1106,0.95734,0.73883,0.73696,0.80015,0.50249,0.68121,0.6703,0.70441,0.29571,1.26904,1.53312,1.0913,1.08246,0.00133693,0.00133693,0.00133693
22,326.689,1.31022,1.17422,1.09267,0.98555,0.76836,0.7272,0.79161,0.5239,0.70379,0.66824,0.69193,0.33003,1.22567,1.53694,1.04809,1.10036,0.00132043,0.00132043,0.00132043
23,340.901,1.25813,1.15224,1.05333,0.95923,0.75584,0.74024,0.81202,0.52513,0.69895,0.67233,0.68869,0.29682,1.20347,1.38534,1.09152,1.08687,0.00130393,0.00130393,0.00130393
24,354.91,1.28087,1.17594,1.04856,0.97224,0.7629,0.63148,0.75492,0.47782,0.72437,0.60232,0.68376,0.30509,1.272,1.45838,1.04279,1.09793,0.00128742,0.00128742,0.00128742
25,368.812,1.31037,1.19733,1.04682,0.96582,0.81897,0.65771,0.79356,0.49233,0.74703,0.59939,0.66405,0.26177,1.2531,1.28309,1.02645,1.08554,0.00127092,0.00127092,0.00127092
26,382.834,1.30634,1.14464,1.0734,0.95379,0.6578,0.75261,0.77258,0.48524,0.58255,0.64296,0.62817,0.27556,1.2355,1.26892,0.97308,1.09678,0.00125442,0.00125442,0.00125442
27,397.124,1.27756,1.14874,1.0102,0.95073,0.73126,0.73109,0.78816,0.50601,0.64539,0.64095,0.64106,0.25316,1.19022,1.33025,1.04548,1.05868,0.00123791,0.00123791,0.00123791
28,411.193,1.26458,1.14065,0.99805,0.95957,0.80987,0.70313,0.80097,0.52524,0.77038,0.66042,0.73273,0.34407,1.17179,1.44281,0.97908,1.06574,0.00122141,0.00122141,0.00122141
