epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.85285,0.70404,2.88901,1.30286,0.12838,0.38889,0.15099,0.13563,0.5009,2.68677,1.09528,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05
2,10.4952,0.66003,2.74265,1.32121,0.12753,0.46296,0.15804,0.144,0.47931,2.61505,1.07988,0.000343139,0.00011438,0.000343139,0.00011438,0.000343139,0.00011438,0.000343139,0.00011438
3,14.1634,0.62654,2.86766,1.215,0.13713,0.40741,0.19808,0.18214,0.46795,2.41627,1.06312,0.000528326,0.000176109,0.000528326,0.000176109,0.000528326,0.000176109,0.000528326,0.000176109
4,17.652,0.84843,2.84757,1.46086,0.16804,0.39378,0.29023,0.26956,0.45084,2.20671,1.04515,0.000705591,0.000235197,0.000705591,0.000235197,0.000705591,0.000235197,0.000705591,0.000235197
5,20.895,0.49629,2.30886,1.15109,0.25926,0.52817,0.38357,0.35841,0.43615,2.07227,1.03125,0.000874935,0.000291645,0.000874935,0.000291645,0.000874935,0.000291645,0.000874935,0.000291645
6,24.7003,0.62748,2.26207,1.26981,0.32324,0.71705,0.42255,0.38946,0.43169,1.92639,1.01914,0.00103636,0.000345452,0.00103636,0.000345452,0.00103636,0.000345452,0.00103636,0.000345452
7,28.1368,0.5549,2.06909,1.17343,0.3383,0.76102,0.4339,0.40074,0.42382,1.81318,1.0016,0.00118986,0.000396619,0.00118986,0.000396619,0.00118986,0.000396619,0.00118986,0.000396619
8,31.4326,0.47376,1.82469,1.15166,0.42432,0.78706,0.45326,0.42304,0.41473,1.80017,0.98411,0.00133544,0.000445146,0.00133544,0.000445146,0.00133544,0.000445146,0.00133544,0.000445146
9,34.7403,0.5642,1.78985,1.1639,0.4032,0.7869,0.4702,0.43756,0.40211,1.98402,0.96253,0.00147309,0.000491032,0.00147309,0.000491032,0.00147309,0.000491032,0.00147309,0.000491032
10,38.0576,0.42921,1.46628,1.06253,0.37623,0.85033,0.48236,0.45217,0.3876,2.28962,0.93718,0.00160283,0.000534277,0.00160283,0.000534277,0.00160283,0.000534277,0.00160283,0.000534277
11,41.4316,0.39975,1.32323,1.07112,0.38405,0.81325,0.46577,0.44092,0.37664,2.21354,0.9274,0.00172464,0.000574882,0.00172464,0.000574882,0.00172464,0.000574882,0.00172464,0.000574882
12,44.7771,0.4591,1.38229,1.12172,0.4098,0.85733,0.47893,0.45507,0.36741,2.09928,0.92748,0.00183854,0.000612846,0.00183854,0.000612846,0.00183854,0.000612846,0.00183854,0.000612846
13,48.0861,0.36184,1.24386,1.00968,0.43145,0.84324,0.48624,0.46475,0.37694,1.81126,0.94629,0.00194451,0.00064817,0.00194451,0.00064817,0.00194451,0.00064817,0.00194451,0.00064817
14,51.1633,0.44378,1.40443,1.07451,0.45862,0.81064,0.51457,0.48912,0.38525,1.59413,0.95693,0.00204256,0.000680853,0.00204256,0.000680853,0.00204256,0.000680853,0.00204256,0.000680853
15,54.3843,0.42306,1.19011,1.06504,0.54561,0.70225,0.57022,0.54121,0.40647,1.39372,0.98282,0.00213269,0.000710895,0.00213269,0.000710895,0.00213269,0.000710895,0.00213269,0.000710895
16,57.4467,0.46006,1.16172,1.10998,0.59896,0.66797,0.61694,0.58416,0.41501,1.3464,0.99483,0.00221489,0.000738298,0.00221489,0.000738298,0.00221489,0.000738298,0.00221489,0.000738298
17,60.488,0.38897,1.05788,1.03668,0.68829,0.66536,0.66939,0.62364,0.42317,1.29854,1.00594,0.00228918,0.000763059,0.00228918,0.000763059,0.00228918,0.000763059,0.00228918,0.000763059
18,63.6914,0.37929,1.03592,1.02869,0.74322,0.74494,0.74613,0.69561,0.42749,1.24082,0.99309,0.00235554,0.00078518,0.00235554,0.00078518,0.00235554,0.00078518,0.00235554,0.00078518
19,66.8131,0.43264,1.03801,1.07159,0.77508,0.66815,0.76577,0.70838,0.42966,1.2286,0.99521,0.00241398,0.000804661,0.00241398,0.000804661,0.00241398,0.000804661,0.00241398,0.000804661
