epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.7035,0.52828,2.95482,1.05903,0.00654,0.98592,0.19585,0.15981,0.44414,2.92784,0.99256,0,0,0,0,0,0,0,0
2,12.1473,0.42267,2.94228,1.06013,0.00654,0.98592,0.19145,0.158,0.44591,2.92741,0.99174,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05
3,13.5372,0.50332,2.92252,1.15496,0.00653,0.98592,0.18734,0.1549,0.44692,2.92722,0.98952,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05
4,15.1335,0.72702,2.99657,1.24028,0.00654,0.98592,0.18961,0.15808,0.44225,2.92921,0.98644,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05
5,17.8792,0.71679,2.90264,1.18416,0.0066,0.99296,0.18942,0.15809,0.43898,2.92898,0.98455,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05
6,19.5584,0.54754,2.91304,1.1008,0.0066,0.99296,0.18825,0.15768,0.43522,2.9259,0.9812,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05
7,20.9635,0.71033,3.05462,1.25578,0.0066,0.99296,0.18872,0.15695,0.435,2.92685,0.98265,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05
8,22.577,0.62238,3.00924,1.14649,0.00661,0.99296,0.18888,0.15723,0.42914,2.9261,0.97803,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517
9,24.2454,0.62738,2.95663,1.24955,0.00662,0.99296,0.19193,0.15952,0.43094,2.9227,0.98051,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236
10,28.6176,0.66665,2.97045,1.27802,0.00663,0.99296,0.18771,0.15671,0.42766,2.91875,0.98124,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295
11,30.104,0.64816,2.99938,1.24632,0.00663,0.99296,0.19077,0.15859,0.42621,2.91644,0.98124,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693
12,32.0381,0.44208,2.83386,1.07701,0.00663,0.99296,0.19613,0.16351,0.42796,2.91405,0.98334,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432
13,36.6455,0.59603,2.94209,1.20473,0.00664,0.99296,0.19832,0.16502,0.42804,2.9064,0.98493,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251
14,44.0462,0.5402,2.91254,1.12796,0.00663,0.99296,0.19984,0.16454,0.43059,2.9001,0.98568,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929
15,48.6219,0.51455,2.89348,1.14681,0.00664,0.99296,0.20511,0.16964,0.42807,2.89327,0.98341,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687
16,50.032,0.5126,2.94905,1.17314,0.00664,0.99296,0.20935,0.17292,0.42718,2.88748,0.98464,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785
17,52.5798,0.54845,2.89061,1.08439,0.00664,0.99296,0.21161,0.17526,0.42749,2.88173,0.98641,0.000546669,0.000182223,0.000546669,0.000182223,0.000546669,0.000182223,0.000546669,0.000182223
18,56.5426,0.51811,2.91587,1.14554,0.00664,0.99296,0.21161,0.17526,0.42749,2.88173,0.98641,0.000564003,0.000188001,0.000564003,0.000188001,0.000564003,0.000188001,0.000564003,0.000188001
19,60.074,0.44512,2.89782,1.01566,0.00664,0.99296,0.21391,0.17647,0.42728,2.87647,0.98504,0.000579356,0.000193119,0.000579356,0.000193119,0.000579356,0.000193119,0.000579356,0.000193119
20,64.0541,0.455,2.88376,1.04186,0.00664,0.99296,0.21391,0.17647,0.42728,2.87647,0.98504,0.000592729,0.000197576,0.000592729,0.000197576,0.000592729,0.000197576,0.000592729,0.000197576
21,72.1048,0.58485,2.99398,1.21567,0.00663,0.99296,0.22168,0.18382,0.42722,2.86865,0.98549,0.000604121,0.000201374,0.000604121,0.000201374,0.000604121,0.000201374,0.000604121,0.000201374
22,73.4906,0.43846,2.92737,1.07445,0.00663,0.99296,0.22168,0.18382,0.42722,2.86865,0.98549,0.000613533,0.000204511,0.000613533,0.000204511,0.000613533,0.000204511,0.000613533,0.000204511
23,76.0346,0.53205,2.83759,1.14448,0.00663,0.99296,0.22401,0.18433,0.42982,2.86235,0.98511,0.000620964,0.000206988,0.000620964,0.000206988,0.000620964,0.000206988,0.000620964,0.000206988
24,80.8858,0.48248,2.83933,1.02186,0.00663,0.99296,0.22401,0.18433,0.42982,2.86235,0.98511,0.000626415,0.000208805,0.000626415,0.000208805,0.000626415,0.000208805,0.000626415,0.000208805
25,82.4153,0.45017,2.84601,0.98263,0.00664,0.99296,0.21958,0.18057,0.43101,2.85144,0.98575,0.000629886,0.000209962,0.000629886,0.000209962,0.000629886,0.000209962,0.000629886,0.000209962
26,84.1378,0.54717,2.89784,1.17195,0.00664,0.99296,0.21958,0.18057,0.43101,2.85144,0.98575,0.000631376,0.000210459,0.000631376,0.000210459,0.000631376,0.000210459,0.000631376,0.000210459
27,92.0682,0.40847,2.83333,1.0607,0.00664,0.99296,0.22269,0.17877,0.42593,2.84472,0.9823,0.000630886,0.000210295,0.000630886,0.000210295,0.000630886,0.000210295,0.000630886,0.000210295
28,96.5612,0.49829,2.83122,1.14691,0.00664,0.99296,0.22269,0.17877,0.42593,2.84472,0.9823,0.000628416,0.000209472,0.000628416,0.000209472,0.000628416,0.000209472,0.000628416,0.000209472
29,100.705,0.50225,2.79644,1.15075,0.00664,0.99296,0.22342,0.18548,0.42403,2.83497,0.98086,0.000623965,0.000207988,0.000623965,0.000207988,0.000623965,0.000207988,0.000623965,0.000207988
30,102.07,0.4313,2.82491,1.07936,0.00664,0.99296,0.22342,0.18548,0.42403,2.83497,0.98086,0.000617533,0.000205844,0.000617533,0.000205844,0.000617533,0.000205844,0.000617533,0.000205844
