epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.9491,0.60502,3.33755,1.13074,0.16998,0.62311,0.19793,0.15597,0.4243,5.51525,0.98725,0,0,0,0,0,0,0,0
2,12.6728,0.448,3.61587,1.10788,0.17096,0.63719,0.19277,0.15145,0.42475,5.53345,0.98672,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05
3,14.2061,0.62099,5.11439,1.28761,0.16758,0.63719,0.18774,0.14761,0.42494,5.57982,0.98617,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05
4,15.8215,0.75748,3.40154,1.33519,0.16129,0.64424,0.18693,0.14681,0.42321,5.61636,0.98621,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05
5,17.3633,0.76554,3.58204,1.28665,0.15637,0.63719,0.1827,0.14318,0.42233,5.67547,0.98598,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05
6,20.0502,0.68397,3.75897,1.20813,0.1652,0.65128,0.18302,0.14127,0.42381,5.70842,0.98708,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05
7,21.6257,0.85216,3.85249,1.38863,0.1587,0.65128,0.18165,0.13828,0.42747,5.78476,0.98941,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05
8,23.3375,0.67213,4.05447,1.24649,0.16863,0.66535,0.18823,0.14335,0.43325,5.765,0.99343,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517
9,27.2076,0.65797,3.95845,1.28733,0.16272,0.66038,0.18622,0.14186,0.43304,5.81839,0.99229,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236
10,34.7524,0.72032,4.47594,1.31618,0.17533,0.66536,0.19866,0.15234,0.43612,5.71162,0.99399,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295
11,36.5032,0.77091,3.37656,1.40253,0.2022,0.61963,0.22072,0.17374,0.43876,5.58933,0.99533,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693
12,38.3318,0.58166,3.31112,1.23221,0.24005,0.62572,0.24899,0.19977,0.44498,5.41545,1.00001,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432
13,42.7322,0.61372,3.05951,1.20076,0.27062,0.68576,0.28177,0.22695,0.44819,5.20968,0.99902,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251
14,44.578,0.60337,3.26008,1.1947,0.28279,0.69171,0.29268,0.23746,0.44846,5.02588,0.99785,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929
15,46.3685,0.59692,2.98827,1.21474,0.31368,0.79395,0.31638,0.258,0.44953,4.83133,1.00126,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687
16,50.7475,0.47753,2.79241,1.15466,0.32217,0.8036,0.32427,0.26928,0.45354,4.69686,1.00223,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785
17,54.7048,0.66343,2.62539,1.19963,0.32343,0.73396,0.34084,0.28703,0.45876,4.56846,1.0049,0.000546669,0.000182223,0.000546669,0.000182223,0.000546669,0.000182223,0.000546669,0.000182223
18,59.9032,0.59153,2.52117,1.19657,0.32343,0.73396,0.34084,0.28703,0.45876,4.56846,1.0049,0.000564003,0.000188001,0.000564003,0.000188001,0.000564003,0.000188001,0.000564003,0.000188001
19,61.7263,0.52979,2.2037,1.07219,0.32866,0.7551,0.3486,0.29711,0.45813,4.51896,1.00518,0.000579356,0.000193119,0.000579356,0.000193119,0.000579356,0.000193119,0.000579356,0.000193119
20,63.4015,0.44595,2.27381,1.08255,0.32866,0.7551,0.3486,0.29711,0.45813,4.51896,1.00518,0.000592729,0.000197576,0.000592729,0.000197576,0.000592729,0.000197576,0.000592729,0.000197576
21,66.7322,0.616,2.59466,1.21883,0.35369,0.76781,0.36818,0.31491,0.46511,4.46487,1.00913,0.000604121,0.000201374,0.000604121,0.000201374,0.000604121,0.000201374,0.000604121,0.000201374
22,70.7541,0.51307,2.34594,1.12308,0.35369,0.76781,0.36818,0.31491,0.46511,4.46487,1.00913,0.000613533,0.000204511,0.000613533,0.000204511,0.000613533,0.000204511,0.000613533,0.000204511
23,72.5666,0.621,2.17118,1.22461,0.37068,0.76057,0.37641,0.32202,0.46993,4.41955,1.01116,0.000620964,0.000206988,0.000620964,0.000206988,0.000620964,0.000206988,0.000620964,0.000206988
24,78.296,0.48337,1.95825,1.05149,0.37068,0.76057,0.37641,0.32202,0.46993,4.41955,1.01116,0.000626415,0.000208805,0.000626415,0.000208805,0.000626415,0.000208805,0.000626415,0.000208805
25,86.3141,0.43292,2.12529,1.00121,0.38133,0.73396,0.40202,0.34632,0.46576,4.32178,1.00889,0.000629886,0.000209962,0.000629886,0.000209962,0.000629886,0.000209962,0.000629886,0.000209962
26,90.7165,0.54257,2.33886,1.14705,0.38133,0.73396,0.40202,0.34632,0.46576,4.32178,1.00889,0.000631376,0.000210459,0.000631376,0.000210459,0.000631376,0.000210459,0.000631376,0.000210459
27,98.2825,0.4802,1.95454,1.11914,0.39466,0.72628,0.40603,0.35014,0.46707,4.26799,1.01085,0.000630886,0.000210295,0.000630886,0.000210295,0.000630886,0.000210295,0.000630886,0.000210295
28,102.276,0.56811,2.26048,1.19656,0.39466,0.72628,0.40603,0.35014,0.46707,4.26799,1.01085,0.000628416,0.000209472,0.000628416,0.000209472,0.000628416,0.000209472,0.000628416,0.000209472
29,106.973,0.4945,2.19276,1.14994,0.40843,0.71387,0.42597,0.36561,0.47264,4.08843,1.01399,0.000623965,0.000207988,0.000623965,0.000207988,0.000623965,0.000207988,0.000623965,0.000207988
30,110.332,0.50042,2.15855,1.11449,0.40843,0.71387,0.42597,0.36561,0.47264,4.08843,1.01399,0.000617533,0.000205844,0.000617533,0.000205844,0.000617533,0.000205844,0.000617533,0.000205844
31,118.351,0.46734,1.83612,1.03421,0.41918,0.69171,0.44264,0.37995,0.47174,3.92669,1.01466,0.000609122,0.000203041,0.000609122,0.000203041,0.000609122,0.000203041,0.000609122,0.000203041
32,122.36,0.63496,2.23081,1.28541,0.41918,0.69171,0.44264,0.37995,0.47174,3.92669,1.01466,0.00059873,0.000199577,0.00059873,0.000199577,0.00059873,0.000199577,0.00059873,0.000199577
33,130.419,0.51429,2.021,1.0562,0.45101,0.69171,0.44417,0.38081,0.47637,3.79342,1.01804,0.000586357,0.000195452,0.000586357,0.000195452,0.000586357,0.000195452,0.000586357,0.000195452
34,134.338,0.44386,1.78444,1.03059,0.45101,0.69171,0.44417,0.38081,0.47637,3.79342,1.01804,0.000572004,0.000190668,0.000572004,0.000190668,0.000572004,0.000190668,0.000572004,0.000190668
35,138.341,0.50309,1.89962,1.14545,0.45644,0.68466,0.44625,0.37951,0.47995,3.69857,1.02093,0.000555671,0.000185224,0.000555671,0.000185224,0.000555671,0.000185224,0.000555671,0.000185224
36,142.411,0.40321,1.5097,1.03015,0.45644,0.68466,0.44625,0.37951,0.47995,3.69857,1.02093,0.000537357,0.000179119,0.000537357,0.000179119,0.000537357,0.000179119,0.000537357,0.000179119
37,144.18,0.62329,2.14344,1.27757,0.46063,0.68466,0.45102,0.38445,0.485,3.63069,1.02647,0.000517063,0.000172354,0.000517063,0.000172354,0.000517063,0.000172354,0.000517063,0.000172354
38,145.916,0.45253,1.86979,1.10452,0.46063,0.68466,0.45102,0.38445,0.485,3.63069,1.02647,0.000494789,0.00016493,0.000494789,0.00016493,0.000494789,0.00016493,0.000494789,0.00016493
