epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.3063,0.50583,2.85743,1.04658,0.13624,0.1084,0.17102,0.14418,0.38775,2.69661,0.93038,0.00025722,8.574e-05,0.00025722,8.574e-05,0.00025722,8.574e-05,0.00025722,8.574e-05
2,17.2898,0.51264,2.86727,1.06426,0.15878,0.06929,0.18675,0.15786,0.38249,2.66049,0.92246,0.000546275,0.000182092,0.000546275,0.000182092,0.000546275,0.000182092,0.000546275,0.000182092
3,21.8886,0.46053,2.80917,1.02479,0.19529,0.08492,0.20329,0.17689,0.37181,2.61211,0.91273,0.000823447,0.000274482,0.000823447,0.000274482,0.000823447,0.000274482,0.000823447,0.000274482
4,24.6931,0.42271,2.782,0.98956,0.20315,0.1084,0.22178,0.19474,0.35734,2.57263,0.90748,0.00108874,0.000362912,0.00108874,0.000362912,0.00108874,0.000362912,0.00108874,0.000362912
5,27.7447,0.44449,2.75272,1.01821,0.20282,0.12132,0.24593,0.21831,0.35404,2.51427,0.90175,0.00134214,0.00044738,0.00134214,0.00044738,0.00134214,0.00044738,0.00134214,0.00044738
6,30.5321,0.46574,2.68338,1.05701,0.15196,0.13146,0.26218,0.23449,0.35854,2.46613,0.90068,0.00158366,0.000527887,0.00158366,0.000527887,0.00158366,0.000527887,0.00158366,0.000527887
7,33.4484,0.44101,2.60951,1.01927,0.15502,0.18775,0.2915,0.2598,0.37002,2.39421,0.90025,0.0018133,0.000604433,0.0018133,0.000604433,0.0018133,0.000604433,0.0018133,0.000604433
8,36.0243,0.45556,2.55975,1.03173,0.14629,0.21127,0.30566,0.27144,0.36752,2.35345,0.89939,0.00203105,0.000677017,0.00203105,0.000677017,0.00203105,0.000677017,0.00203105,0.000677017
9,38.6112,0.45943,2.53326,1.03122,0.14055,0.23005,0.3164,0.28312,0.36618,2.30387,0.89716,0.00223692,0.000745641,0.00223692,0.000745641,0.00223692,0.000745641,0.00223692,0.000745641
10,41.1657,0.464,2.38732,1.03046,0.17064,0.25394,0.32522,0.29241,0.36564,2.24501,0.89272,0.00243091,0.000810303,0.00243091,0.000810303,0.00243091,0.000810303,0.00243091,0.000810303
11,43.6622,0.43859,2.29052,1.01368,0.14237,0.2485,0.3555,0.32067,0.40628,2.20765,0.90769,0.00261301,0.000871004,0.00261301,0.000871004,0.00261301,0.000871004,0.00261301,0.000871004
12,46.3747,0.47784,2.28689,1.06846,0.23641,0.27608,0.36599,0.33293,0.419,2.17812,0.92956,0.00278323,0.000927744,0.00278323,0.000927744,0.00278323,0.000927744,0.00278323,0.000927744
13,48.9582,0.45128,2.1272,0.99311,0.2591,0.3055,0.3765,0.33915,0.42031,2.17804,0.93446,0.00294157,0.000980523,0.00294157,0.000980523,0.00294157,0.000980523,0.00294157,0.000980523
14,52.206,0.46787,2.15502,1.01475,0.2937,0.35999,0.38388,0.34508,0.41598,2.12843,0.93259,0.00308802,0.00102934,0.00308802,0.00102934,0.00308802,0.00102934,0.00308802,0.00102934
15,60.1937,0.45294,1.99364,1.00072,0.3021,0.48013,0.38877,0.34828,0.40162,2.04399,0.91733,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,62.6865,0.45711,2.02706,1.03949,0.31846,0.60322,0.38647,0.35132,0.39823,1.99449,0.91371,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,68.1747,0.4599,1.84236,1.01637,0.30824,0.63222,0.38812,0.35444,0.39715,1.97013,0.91332,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,73.7059,0.45172,1.77778,0.99815,0.31214,0.65193,0.40041,0.36782,0.40227,1.93827,0.92007,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,76.7494,0.42969,1.75916,0.98006,0.33162,0.65439,0.41259,0.37974,0.41141,1.90995,0.92596,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,81.6281,0.46871,1.74192,1.00601,0.31892,0.69306,0.43087,0.40173,0.43749,1.90887,0.94348,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,85.4852,0.42651,1.63169,0.97518,0.32605,0.69306,0.44419,0.4145,0.43918,1.88355,0.9447,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,89.6479,0.4347,1.54769,0.97956,0.33442,0.68367,0.47319,0.43923,0.45711,1.85863,0.9549,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,96.2007,0.43002,1.55787,0.98207,0.33726,0.68367,0.49651,0.46713,0.45324,1.82494,0.95364,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,101.816,0.44363,1.50933,0.99979,0.36966,0.67133,0.52629,0.49362,0.44961,1.78819,0.9539,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,104.184,0.40968,1.43362,0.95413,0.37865,0.64663,0.5403,0.50862,0.44198,1.76966,0.94978,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,108.191,0.43483,1.47218,0.97445,0.46321,0.58491,0.56048,0.52576,0.43325,1.75048,0.9437,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,112.212,0.47252,1.42893,1.00715,0.49327,0.58021,0.58673,0.55275,0.41766,1.71724,0.9312,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
