epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.73764,0.50109,2.96359,1.07878,0.58917,0.30712,0.1913,0.15141,0.34949,3.6488,0.92927,0.00030009,0.00010003,0.00030009,0.00010003,0.00030009,0.00010003,0.00030009,0.00010003
2,17.1392,0.46411,2.58399,1.05423,0.6352,0.51906,0.39115,0.33098,0.32508,2.68251,0.90761,0.000630318,0.000210106,0.000630318,0.000210106,0.000630318,0.000210106,0.000630318,0.000210106
3,22.388,0.4269,2.01038,1.01459,0.70843,0.44532,0.48211,0.42274,0.31204,2.18057,0.89717,0.000946964,0.000315655,0.000946964,0.000315655,0.000946964,0.000315655,0.000946964,0.000315655
4,25.9787,0.42472,1.57285,1.00684,0.73729,0.49392,0.59838,0.54541,0.30403,1.84721,0.88878,0.00125003,0.000416676,0.00125003,0.000416676,0.00125003,0.000416676,0.00125003,0.000416676
5,29.5036,0.39097,1.38275,1.00532,0.60964,0.78743,0.7194,0.66106,0.32317,1.47149,0.89246,0.00153951,0.000513171,0.00153951,0.000513171,0.00153951,0.000513171,0.00153951,0.000513171
6,32.9588,0.38564,1.14441,0.98991,0.76461,0.68674,0.72867,0.6665,0.32877,1.2463,0.89068,0.00181542,0.000605139,0.00181542,0.000605139,0.00181542,0.000605139,0.00181542,0.000605139
7,36.2795,0.37586,1.09215,0.9851,0.66243,0.71413,0.77105,0.7102,0.32583,1.18798,0.88565,0.00207774,0.000692579,0.00207774,0.000692579,0.00207774,0.000692579,0.00207774,0.000692579
8,39.5546,0.37447,0.9636,0.9635,0.7794,0.69311,0.79392,0.74152,0.31326,1.1208,0.88084,0.00232648,0.000775493,0.00232648,0.000775493,0.00232648,0.000775493,0.00232648,0.000775493
9,42.7316,0.38609,0.86398,0.98605,0.77022,0.70719,0.80449,0.75335,0.31275,0.99802,0.87988,0.00256164,0.000853879,0.00256164,0.000853879,0.00256164,0.000853879,0.00256164,0.000853879
10,45.7345,0.37366,0.75557,0.96866,0.75139,0.69063,0.80019,0.74976,0.31567,0.99368,0.87791,0.00278321,0.000927738,0.00278321,0.000927738,0.00278321,0.000927738,0.00278321,0.000927738
