epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.6444,0.42219,2.41318,1.07094,0.23036,0.46967,0.28959,0.2774,0.30647,2.28705,0.89211,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432
2,21.9618,0.40297,1.89713,1.00932,0.50272,0.65816,0.56969,0.54263,0.3003,1.7484,0.89271,0.00071436,0.00023812,0.00071436,0.00023812,0.00071436,0.00023812,0.00071436,0.00023812
3,27.052,0.39236,1.42608,0.99514,0.62498,0.60228,0.67088,0.64457,0.294,1.69042,0.88736,0.00107048,0.000356827,0.00107048,0.000356827,0.00107048,0.000356827,0.00107048,0.000356827
4,31.9693,0.37833,1.2699,0.98433,0.56603,0.64378,0.66682,0.64292,0.27935,1.61889,0.87707,0.00141132,0.000470441,0.00141132,0.000470441,0.00141132,0.000470441,0.00141132,0.000470441
5,37.0321,0.36381,1.18171,0.9792,0.57509,0.63515,0.64406,0.61929,0.27923,1.56455,0.86961,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962
6,41.9266,0.34758,1.0377,0.97596,0.5015,0.70795,0.64848,0.61642,0.30223,1.42321,0.88359,0.00204717,0.00068239,0.00204717,0.00068239,0.00204717,0.00068239,0.00204717,0.00068239
7,46.6335,0.3508,0.89563,0.96039,0.58699,0.65771,0.69031,0.65808,0.29731,1.30117,0.88746,0.00234218,0.000780726,0.00234218,0.000780726,0.00234218,0.000780726,0.00234218,0.000780726
8,51.3427,0.32521,0.7859,0.93982,0.59417,0.67883,0.70905,0.67424,0.30303,1.29449,0.89011,0.0026219,0.000873968,0.0026219,0.000873968,0.0026219,0.000873968,0.0026219,0.000873968
9,56.2018,0.34354,0.76058,0.98477,0.72764,0.68528,0.76299,0.71345,0.34291,1.16096,0.9157,0.00288635,0.000962117,0.00288635,0.000962117,0.00288635,0.000962117,0.00288635,0.000962117
10,60.9323,0.36831,0.70104,0.97604,0.65943,0.69646,0.74466,0.68941,0.33621,1.23984,0.91559,0.00313552,0.00104517,0.00313552,0.00104517,0.00313552,0.00104517,0.00313552,0.00104517
11,65.466,0.32438,0.57771,0.93282,0.75504,0.65663,0.75813,0.71137,0.32018,1.17421,0.89891,0.00336941,0.00112314,0.00336941,0.00112314,0.00336941,0.00112314,0.00336941,0.00112314
12,70.1627,0.32761,0.57115,0.95531,0.72187,0.68777,0.77345,0.72796,0.32057,1.09403,0.89275,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,74.9217,0.34616,0.53666,0.95008,0.7051,0.72286,0.77713,0.72302,0.32039,1.10001,0.89912,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,79.3818,0.34009,0.60703,0.9591,0.75157,0.6431,0.76995,0.71751,0.33806,1.15577,0.91677,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,83.9001,0.33966,0.50996,0.94697,0.69778,0.68307,0.74813,0.70096,0.3314,1.14685,0.91127,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,88.6145,0.31125,0.49146,0.93304,0.81142,0.63177,0.76981,0.72407,0.31624,1.1759,0.90214,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,93.0701,0.32163,0.43769,0.94658,0.69271,0.66373,0.75419,0.71562,0.31159,1.26338,0.89674,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,97.5251,0.34992,0.44668,0.99106,0.7066,0.6834,0.765,0.73127,0.30106,1.17454,0.88773,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,102.079,0.33717,0.41898,0.95782,0.68792,0.665,0.74752,0.71039,0.31054,1.1966,0.89478,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,106.78,0.32276,0.38504,0.94835,0.6445,0.72008,0.75012,0.71476,0.32228,1.15171,0.90943,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,111.241,0.33053,0.39797,0.96856,0.59705,0.72463,0.74142,0.70622,0.32213,1.14512,0.90424,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,115.722,0.32971,0.4123,0.95225,0.6958,0.66184,0.74524,0.71193,0.30864,1.18574,0.88668,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,120.215,0.31593,0.38255,0.95036,0.7991,0.60947,0.73959,0.70668,0.31193,1.14353,0.88314,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,124.887,0.34133,0.3907,0.95437,0.73426,0.68124,0.73965,0.71098,0.30412,1.13369,0.87572,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,129.348,0.33272,0.38497,0.96856,0.81675,0.63107,0.74789,0.71812,0.29843,1.10311,0.87893,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,133.847,0.31114,0.37962,0.93819,0.78818,0.62907,0.75235,0.72212,0.30501,1.15121,0.8826,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,138.379,0.32847,0.35249,0.95035,0.76563,0.65766,0.76391,0.73439,0.3129,1.1176,0.88427,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,143.123,0.3022,0.33857,0.92849,0.78087,0.64531,0.76286,0.73429,0.30495,1.09796,0.87909,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,147.612,0.31342,0.37232,0.96027,0.65912,0.76973,0.76257,0.73515,0.30756,1.06348,0.87968,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,152.782,0.34945,0.46022,0.97937,0.892,0.60331,0.76883,0.7342,0.30453,1.05615,0.87884,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,157.261,0.32729,0.39272,0.96105,0.65483,0.76037,0.75568,0.72097,0.3076,1.11422,0.8791,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,161.941,0.28496,0.34418,0.91233,0.74472,0.69068,0.75973,0.72895,0.30229,1.16077,0.87245,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
