epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.7779,0.5546,4.35072,1.15111,0.77049,0.20588,0.14523,0.13537,0.36751,4.88898,0.94376,4.287e-05,1.429e-05,4.287e-05,1.429e-05,4.287e-05,1.429e-05,4.287e-05,1.429e-05
2,17.8183,0.49357,3.7803,1.09071,0.7703,0.20588,0.1457,0.13549,0.36723,4.89875,0.94288,0.000126064,4.20212e-05,0.000126064,4.20212e-05,0.000126064,4.20212e-05,0.000126064,4.20212e-05
3,19.5456,0.63137,4.07842,1.14093,0.7739,0.21392,0.14478,0.13485,0.36523,4.9074,0.94161,0.000205862,6.86206e-05,0.000205862,6.86206e-05,0.000205862,6.86206e-05,0.000205862,6.86206e-05
4,21.4756,0.60956,3.68594,1.20556,0.77436,0.20588,0.1451,0.13504,0.36596,4.82991,0.94185,0.000282265,9.40882e-05,0.000282265,9.40882e-05,0.000282265,9.40882e-05,0.000282265,9.40882e-05
5,25.0895,0.46498,3.49439,1.08751,0.77153,0.20588,0.15174,0.1405,0.36157,4.4467,0.9395,0.000355272,0.000118424,0.000355272,0.000118424,0.000355272,0.000118424,0.000355272,0.000118424
6,27.1649,0.60508,3.66654,1.16746,0.77688,0.21569,0.17101,0.16042,0.35673,4.05988,0.93658,0.000424885,0.000141628,0.000424885,0.000141628,0.000424885,0.000141628,0.000424885,0.000141628
7,29.2463,0.43159,3.2311,1.03187,0.53882,0.32657,0.2174,0.20093,0.35201,3.77653,0.93173,0.000491102,0.000163701,0.000491102,0.000163701,0.000491102,0.000163701,0.000491102,0.000163701
8,31.3443,0.45631,3.16381,1.11001,0.54346,0.34973,0.24163,0.22597,0.34262,3.57575,0.92517,0.000553923,0.000184641,0.000553923,0.000184641,0.000553923,0.000184641,0.000553923,0.000184641
9,33.2652,0.50295,3.04837,1.09656,0.56766,0.30655,0.25532,0.2387,0.33748,3.51758,0.92145,0.00061335,0.00020445,0.00061335,0.00020445,0.00061335,0.00020445,0.00061335,0.00020445
10,35.1744,0.47835,3.06271,1.09283,0.57408,0.23831,0.25486,0.23692,0.3331,3.44516,0.91757,0.000669381,0.000223127,0.000669381,0.000223127,0.000669381,0.000223127,0.000669381,0.000223127
11,37.0703,0.50565,2.67986,1.08623,0.5447,0.24003,0.24861,0.2294,0.32734,3.34353,0.90763,0.000722017,0.000240672,0.000722017,0.000240672,0.000722017,0.000240672,0.000722017,0.000240672
12,38.9711,0.47937,2.7371,1.07085,0.52161,0.25746,0.25008,0.23064,0.32232,3.24619,0.89997,0.000771257,0.000257086,0.000771257,0.000257086,0.000771257,0.000257086,0.000771257,0.000257086
13,40.8512,0.41804,2.44418,1.0048,0.25452,0.40934,0.28155,0.26317,0.31631,3.12753,0.89153,0.000817102,0.000272367,0.000817102,0.000272367,0.000817102,0.000272367,0.000817102,0.000272367
14,42.7735,0.46204,2.82111,1.04691,0.24239,0.4928,0.31028,0.28937,0.31014,2.98986,0.8833,0.000859552,0.000286517,0.000859552,0.000286517,0.000859552,0.000286517,0.000859552,0.000286517
15,44.692,0.4517,2.22082,1.04156,0.27522,0.67605,0.32197,0.30192,0.30692,2.84325,0.87485,0.000898607,0.000299536,0.000898607,0.000299536,0.000898607,0.000299536,0.000898607,0.000299536
16,47.7013,0.45723,2.20006,1.06074,0.28886,0.68174,0.32969,0.30954,0.30464,2.71704,0.86669,0.000934266,0.000311422,0.000934266,0.000311422,0.000934266,0.000311422,0.000934266,0.000311422
17,51.6928,0.44498,2.30721,1.04239,0.32041,0.64271,0.33256,0.31203,0.30326,2.5866,0.86299,0.00096653,0.000322177,0.00096653,0.000322177,0.00096653,0.000322177,0.00096653,0.000322177
18,59.6855,0.45752,2.07662,1.04254,0.32888,0.66286,0.33475,0.31482,0.29867,2.49516,0.86101,0.000995399,0.0003318,0.000995399,0.0003318,0.000995399,0.0003318,0.000995399,0.0003318
19,63.7022,0.43199,2.03254,1.06466,0.32037,0.66754,0.3363,0.31721,0.29874,2.44404,0.86365,0.00102087,0.000340291,0.00102087,0.000340291,0.00102087,0.000340291,0.00102087,0.000340291
20,71.685,0.41265,1.80213,1.04586,0.31996,0.70739,0.33883,0.32145,0.29779,2.44762,0.86237,0.00104295,0.00034765,0.00104295,0.00034765,0.00104295,0.00034765,0.00104295,0.00034765
21,75.6866,0.47999,1.97021,1.05297,0.29816,0.72286,0.34703,0.32937,0.29888,2.43492,0.86376,0.00106163,0.000353878,0.00106163,0.000353878,0.00106163,0.000353878,0.00106163,0.000353878
22,83.6861,0.42494,1.60121,1.07456,0.30301,0.75225,0.3703,0.35242,0.30123,2.39473,0.86514,0.00107692,0.000358973,0.00107692,0.000358973,0.00107692,0.000358973,0.00107692,0.000358973
23,88.3948,0.37097,1.5946,0.98341,0.31091,0.73778,0.39292,0.37432,0.30494,2.32434,0.86784,0.00108881,0.000362937,0.00108881,0.000362937,0.00108881,0.000362937,0.00108881,0.000362937
24,90.3456,0.41548,1.66977,1.05728,0.31149,0.73518,0.41399,0.39412,0.30541,2.21177,0.86836,0.00109731,0.00036577,0.00109731,0.00036577,0.00109731,0.00036577,0.00109731,0.00036577
25,92.255,0.42723,1.64161,1.05191,0.32612,0.71303,0.41907,0.39741,0.30964,2.11706,0.87079,0.00110241,0.00036747,0.00110241,0.00036747,0.00110241,0.00036747,0.00110241,0.00036747
26,95.6643,0.44183,1.47012,1.02763,0.3375,0.67696,0.43797,0.41412,0.31425,2.00699,0.87481,0.00110412,0.000368039,0.00110412,0.000368039,0.00110412,0.000368039,0.00110412,0.000368039
