epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.75602,0.51393,2.9824,1.0856,0.42174,0.20188,0.17079,0.14601,0.33094,2.69728,0.86471,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05
2,14.0277,0.48231,2.91841,1.0622,0.42642,0.19249,0.17846,0.15161,0.33441,2.67741,0.86731,0.000378191,0.000126064,0.000378191,0.000126064,0.000378191,0.000126064,0.000378191,0.000126064
3,17.5192,0.44776,2.91654,1.00685,0.43176,0.16432,0.18209,0.15692,0.3321,2.64605,0.86418,0.000576413,0.000192138,0.000576413,0.000192138,0.000576413,0.000192138,0.000576413,0.000192138
4,21.8724,0.46131,2.88164,1.03073,0.43692,0.15493,0.18672,0.16258,0.33826,2.62207,0.86616,0.000766147,0.000255382,0.000766147,0.000255382,0.000766147,0.000255382,0.000766147,0.000255382
5,24.4168,0.46444,2.88937,1.01974,0.42784,0.11268,0.19405,0.1687,0.33546,2.57888,0.86574,0.000947393,0.000315798,0.000947393,0.000315798,0.000947393,0.000315798,0.000947393,0.000315798
6,26.7485,0.43511,2.80967,1.0033,0.43426,0.12207,0.2008,0.17427,0.32653,2.547,0.86008,0.00112015,0.000373383,0.00112015,0.000373383,0.00112015,0.000373383,0.00112015,0.000373383
7,29.2568,0.46226,2.74914,1.04127,0.44091,0.16901,0.2152,0.19138,0.33137,2.49914,0.86162,0.00128442,0.00042814,0.00128442,0.00042814,0.00128442,0.00042814,0.00128442,0.00042814
8,31.6351,0.42447,2.69934,1.02114,0.4359,0.1784,0.23383,0.21066,0.33276,2.46735,0.86048,0.0014402,0.000480067,0.0014402,0.000480067,0.0014402,0.000480067,0.0014402,0.000480067
9,34.1812,0.41987,2.66418,1.01909,0.43938,0.20188,0.26123,0.23965,0.33799,2.4208,0.86594,0.00158749,0.000529164,0.00158749,0.000529164,0.00158749,0.000529164,0.00158749,0.000529164
10,36.5156,0.47477,2.65529,1.05338,0.43807,0.20649,0.26843,0.24674,0.33806,2.39644,0.86872,0.0017263,0.000575433,0.0017263,0.000575433,0.0017263,0.000575433,0.0017263,0.000575433
11,38.8668,0.42752,2.60941,0.98864,0.43538,0.21596,0.29483,0.27157,0.3374,2.37046,0.86682,0.00185661,0.000618871,0.00185661,0.000618871,0.00185661,0.000618871,0.00185661,0.000618871
12,41.154,0.37997,2.5313,0.9827,0.43443,0.2146,0.30262,0.27913,0.33563,2.34755,0.86288,0.00197844,0.000659481,0.00197844,0.000659481,0.00197844,0.000659481,0.00197844,0.000659481
13,43.3036,0.43566,2.51153,1.03644,0.43034,0.21127,0.31006,0.28504,0.33589,2.32928,0.8668,0.00209178,0.000697261,0.00209178,0.000697261,0.00209178,0.000697261,0.00209178,0.000697261
14,45.6878,0.42888,2.46812,0.99833,0.43252,0.22473,0.31604,0.29092,0.3332,2.28387,0.86582,0.00219663,0.000732211,0.00219663,0.000732211,0.00219663,0.000732211,0.00219663,0.000732211
15,47.9927,0.41812,2.38671,1.00313,0.58154,0.25056,0.34454,0.31767,0.33878,2.23841,0.87051,0.002293,0.000764332,0.002293,0.000764332,0.002293,0.000764332,0.002293,0.000764332
16,50.4381,0.44409,2.41773,1.02192,0.62893,0.31828,0.35928,0.3292,0.34143,2.21808,0.87465,0.00238087,0.000793624,0.00238087,0.000793624,0.00238087,0.000793624,0.00238087,0.000793624
17,52.756,0.43865,2.36347,1.00102,0.57107,0.40063,0.36472,0.33213,0.34729,2.15324,0.87477,0.00246026,0.000820086,0.00246026,0.000820086,0.00246026,0.000820086,0.00246026,0.000820086
18,54.9061,0.4258,2.18845,0.96193,0.57221,0.42102,0.3911,0.35836,0.34309,2.13593,0.87458,0.00253116,0.000843719,0.00253116,0.000843719,0.00253116,0.000843719,0.00253116,0.000843719
19,57.0365,0.43958,2.29641,0.97851,0.22832,0.42613,0.38871,0.3566,0.35185,2.12092,0.87735,0.00259357,0.000864522,0.00259357,0.000864522,0.00259357,0.000864522,0.00259357,0.000864522
20,59.3731,0.40225,2.10791,0.96372,0.35088,0.5488,0.37344,0.33955,0.36358,2.09179,0.88587,0.00264749,0.000882496,0.00264749,0.000882496,0.00264749,0.000882496,0.00264749,0.000882496
21,61.4985,0.4104,2.07328,0.98462,0.33367,0.57095,0.36475,0.33137,0.37639,2.08737,0.89261,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,63.6607,0.42667,2.04027,1.01201,0.33663,0.6033,0.3692,0.33477,0.37407,2.07938,0.89013,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,68.0791,0.47062,2.1413,1.02641,0.31983,0.61095,0.36972,0.33421,0.36808,2.06696,0.89096,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,76.0978,0.44326,2.02487,0.963,0.28117,0.64244,0.35445,0.32493,0.3789,2.05047,0.89191,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,80.1288,0.4343,2.02128,0.97852,0.26644,0.66207,0.35288,0.3247,0.38035,2.02489,0.88957,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,88.1025,0.3997,1.9601,0.99967,0.25936,0.65737,0.35088,0.32499,0.37631,2.01093,0.88782,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,92.0773,0.42594,1.8684,0.97149,0.25913,0.66818,0.35304,0.32814,0.37721,2.00294,0.88497,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,94.4154,0.40809,1.90643,0.96851,0.27137,0.68972,0.34531,0.32527,0.37376,1.9814,0.88121,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,96.5874,0.44806,1.88272,0.99334,0.2833,0.72675,0.35073,0.33097,0.37345,1.97749,0.8835,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,98.7594,0.38047,1.68511,0.94824,0.27505,0.73029,0.3443,0.32407,0.37422,1.96872,0.88262,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,100.893,0.37645,1.63177,0.96294,0.26545,0.69267,0.34102,0.32118,0.37685,1.96483,0.88233,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,103.21,0.40354,1.6726,0.95271,0.27263,0.71093,0.34513,0.32323,0.37637,1.96608,0.87986,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,107.633,0.40295,1.73828,0.96153,0.27027,0.64451,0.34061,0.31904,0.38146,1.96303,0.88204,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,109.765,0.40559,1.625,0.95465,0.27577,0.64815,0.35342,0.3324,0.38908,1.96268,0.88519,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,113.155,0.447,1.60944,0.98196,0.29176,0.64451,0.35151,0.32953,0.38843,1.95861,0.88562,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,120.097,0.42731,1.61544,0.97814,0.32482,0.67685,0.37129,0.34746,0.38386,1.95358,0.88585,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,124.113,0.42314,1.54143,0.96926,0.32149,0.64746,0.37346,0.35029,0.37594,1.9465,0.88313,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,129.162,0.41349,1.45685,0.97494,0.32569,0.64545,0.38127,0.35733,0.37191,1.93413,0.88203,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,131.324,0.4247,1.57714,0.96245,0.3264,0.60062,0.39361,0.37004,0.36719,1.92841,0.87926,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,133.652,0.39784,1.55479,0.97489,0.34807,0.57124,0.42073,0.39641,0.36387,1.9191,0.87724,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,156.657,0.3173,2.13396,0.90612,0.33085,0.56358,0.42216,0.39796,0.35876,1.91281,0.87412,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
