epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.6321,0.97014,3.7983,1.56807,0.08317,0.15615,0.08472,0.06082,1.11221,3.44298,1.91845,0,0,0,0,0,0,0,0
2,16.547,0.89071,3.43181,1.48946,0.08802,0.18979,0.08753,0.06353,1.0859,3.43416,1.88634,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,19.0199,1.09407,3.15321,1.73375,0.07668,0.19713,0.09088,0.06628,1.06758,3.41223,1.85611,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,21.1547,0.9993,3.34109,1.64516,0.11216,0.21958,0.09338,0.0692,1.03653,3.39124,1.82106,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,23.4699,0.96517,3.20555,1.56715,0.09578,0.21574,0.09828,0.07295,1.007,3.36057,1.78665,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,25.7878,1.09932,3.26232,1.66434,0.08506,0.23631,0.10336,0.07707,0.97388,3.34411,1.75264,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,28.4649,1.05265,3.57385,1.69938,0.09169,0.261,0.10579,0.07924,0.92979,3.31857,1.70803,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,31.0586,0.88418,3.42714,1.64242,0.1094,0.26469,0.11179,0.08519,0.88454,3.28082,1.66489,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,33.6675,0.93066,3.41419,1.53721,0.14407,0.28315,0.12327,0.09331,0.83231,3.23315,1.60694,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,36.267,0.83327,2.91005,1.49179,0.14416,0.28315,0.13394,0.10312,0.78729,3.17154,1.55009,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,38.8478,0.84008,3.3773,1.43118,0.17537,0.29295,0.14725,0.11851,0.74312,3.1194,1.4915,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,41.4672,0.78524,2.90807,1.40106,0.2227,0.31256,0.15667,0.13058,0.70914,3.0595,1.44359,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,47.7257,0.80225,3.04614,1.4019,0.21876,0.32491,0.16979,0.14123,0.66824,2.99227,1.39364,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
14,50.2832,0.87937,2.77193,1.4469,0.21343,0.36412,0.18076,0.15338,0.62461,2.92367,1.34622,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953
15,52.9429,0.81434,2.54622,1.45311,0.24721,0.37862,0.20229,0.17478,0.5936,2.85587,1.30896,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603
16,59.7158,0.74237,2.65776,1.3805,0.27871,0.36349,0.22629,0.19964,0.57069,2.78608,1.28021,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688
17,64.419,0.82288,2.59046,1.43041,0.28296,0.36177,0.24694,0.22043,0.54985,2.72079,1.25182,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207
18,68.2637,0.77302,2.51439,1.40001,0.28296,0.36177,0.24694,0.22043,0.54985,2.72079,1.25182,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116
19,71.7045,0.66179,2.19116,1.32337,0.27204,0.41562,0.26012,0.23334,0.52709,2.65852,1.22276,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547
20,79.7319,0.60616,2.43322,1.27574,0.27204,0.41562,0.26012,0.23334,0.52709,2.65852,1.22276,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368
21,83.7495,0.47423,2.11868,1.19549,0.27517,0.42471,0.2738,0.24741,0.5072,2.58381,1.19724,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623
22,88.2912,0.63222,2.23378,1.3318,0.27517,0.42471,0.2738,0.24741,0.5072,2.58381,1.19724,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313
23,91.7415,0.64072,2.13172,1.22148,0.28945,0.46351,0.29339,0.26773,0.48788,2.50602,1.1754,0.000532308,0.000177436,0.000532308,0.000177436,0.000532308,0.000177436,0.000532308,0.000177436
24,94.1486,0.72385,2.22327,1.40619,0.28945,0.46351,0.29339,0.26773,0.48788,2.50602,1.1754,0.000536981,0.000178994,0.000536981,0.000178994,0.000536981,0.000178994,0.000536981,0.000178994
25,96.7239,0.5313,1.9914,1.18262,0.2977,0.43882,0.3137,0.2874,0.48166,2.44696,1.16284,0.000539956,0.000179985,0.000539956,0.000179985,0.000539956,0.000179985,0.000539956,0.000179985
26,99.1413,0.5484,1.71117,1.21045,0.2977,0.43882,0.3137,0.2874,0.48166,2.44696,1.16284,0.000541234,0.000180411,0.000541234,0.000180411,0.000541234,0.000180411,0.000541234,0.000180411
27,103.74,0.65745,2.29542,1.34624,0.28985,0.48817,0.33825,0.30947,0.47203,2.40322,1.14626,0.000540814,0.000180271,0.000540814,0.000180271,0.000540814,0.000180271,0.000540814,0.000180271
28,108.301,0.50634,1.83102,1.09753,0.28985,0.48817,0.33825,0.30947,0.47203,2.40322,1.14626,0.000538696,0.000179565,0.000538696,0.000179565,0.000538696,0.000179565,0.000538696,0.000179565
29,111.705,0.50414,1.86108,1.19766,0.31421,0.4819,0.35876,0.32771,0.46199,2.36366,1.12887,0.00053488,0.000178293,0.00053488,0.000178293,0.00053488,0.000178293,0.00053488,0.000178293
30,114.125,0.5557,1.64576,1.17239,0.31421,0.4819,0.35876,0.32771,0.46199,2.36366,1.12887,0.000529367,0.000176456,0.000529367,0.000176456,0.000529367,0.000176456,0.000529367,0.000176456
31,116.686,0.55343,1.885,1.2094,0.31636,0.51267,0.38056,0.34578,0.45455,2.34386,1.11689,0.000522157,0.000174052,0.000522157,0.000174052,0.000522157,0.000174052,0.000522157,0.000174052
32,120.283,0.55379,1.66413,1.19486,0.31636,0.51267,0.38056,0.34578,0.45455,2.34386,1.11689,0.000513248,0.000171083,0.000513248,0.000171083,0.000513248,0.000171083,0.000513248,0.000171083
33,127.82,0.61633,1.86341,1.24928,0.33973,0.54749,0.39364,0.35889,0.44491,2.31672,1.1011,0.000502642,0.000167547,0.000502642,0.000167547,0.000502642,0.000167547,0.000502642,0.000167547
34,135.746,0.54273,1.59896,1.1802,0.33973,0.54749,0.39364,0.35889,0.44491,2.31672,1.1011,0.000490338,0.000163446,0.000490338,0.000163446,0.000490338,0.000163446,0.000490338,0.000163446
35,140.486,0.51867,1.61463,1.18884,0.32905,0.56039,0.40074,0.36608,0.43996,2.31223,1.09277,0.000476337,0.000158779,0.000476337,0.000158779,0.000476337,0.000158779,0.000476337,0.000158779
36,143.753,0.47925,1.58495,1.13734,0.32905,0.56039,0.40074,0.36608,0.43996,2.31223,1.09277,0.000460638,0.000153546,0.000460638,0.000153546,0.000460638,0.000153546,0.000460638,0.000153546
37,147.762,0.44946,1.30699,1.13508,0.3361,0.56562,0.40806,0.37343,0.44093,2.31922,1.09109,0.000443242,0.000147747,0.000443242,0.000147747,0.000443242,0.000147747,0.000443242,0.000147747
38,155.764,0.48629,1.65918,1.14153,0.3361,0.56562,0.40806,0.37343,0.44093,2.31922,1.09109,0.000424147,0.000141382,0.000424147,0.000141382,0.000424147,0.000141382,0.000424147,0.000141382
39,160.493,0.53935,1.56737,1.16464,0.33834,0.56213,0.42162,0.38573,0.44113,2.3234,1.08984,0.000403355,0.000134452,0.000403355,0.000134452,0.000403355,0.000134452,0.000403355,0.000134452
40,164.433,0.42707,1.25975,1.1299,0.33834,0.56213,0.42162,0.38573,0.44113,2.3234,1.08984,0.000380866,0.000126955,0.000380866,0.000126955,0.000380866,0.000126955,0.000380866,0.000126955
41,173.74,0.28626,1.66817,0.95187,0.34541,0.57102,0.43381,0.39588,0.43659,2.30352,1.08414,0.000356678,0.000118893,0.000356678,0.000118893,0.000356678,0.000118893,0.000356678,0.000118893
42,176.146,0.28327,1.50845,0.95848,0.34541,0.57102,0.43381,0.39588,0.43659,2.30352,1.08414,0.000330793,0.000110264,0.000330793,0.000110264,0.000330793,0.000110264,0.000330793,0.000110264
43,179.76,0.28249,1.47949,0.90601,0.34021,0.58091,0.43819,0.39775,0.42828,2.28894,1.07599,0.000303211,0.00010107,0.000303211,0.00010107,0.000303211,0.00010107,0.000303211,0.00010107
44,182.117,0.28789,1.61076,0.939,0.34021,0.58091,0.43819,0.39775,0.42828,2.28894,1.07599,0.000273931,9.13102e-05,0.000273931,9.13102e-05,0.000273931,9.13102e-05,0.000273931,9.13102e-05
