epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9472,0.55963,1.11333,1.5522,1.07187,0.51009,0.41665,0.37916,0.29014,0.51092,0.42131,0.37106,0.26248,1.04607,8.05599,3.20855,1.67623,0.000471473,0.000471473,0.000471473
2,38.3446,0.65196,1.10896,1.16108,1.09,0.29205,0.29058,0.15034,0.08012,0.26469,0.24081,0.11468,0.05852,1.59622,13.9427,4.90411,2.76587,0.000938423,0.000938423,0.000938423
3,56.4163,0.6833,1.15397,1.13859,1.11099,0.72722,0.56169,0.67317,0.4612,0.72277,0.56948,0.65251,0.4748,0.97856,2.89122,1.86217,1.52655,0.00139594,0.00139594,0.00139594
4,74.627,0.65984,1.12311,1.06029,1.09407,0.79547,0.53761,0.71144,0.55446,0.79469,0.53713,0.70355,0.56512,0.7991,2.13768,1.77975,1.29087,0.00138656,0.00138656,0.00138656
5,92.7765,0.62134,1.02475,1.0181,1.08405,0.77916,0.716,0.81658,0.68875,0.7715,0.71043,0.80645,0.7073,0.66003,1.17861,1.12982,1.15604,0.00137241,0.00137241,0.00137241
6,111.231,0.59073,0.97526,0.94724,1.05711,0.82082,0.72484,0.83929,0.70969,0.82255,0.72651,0.83723,0.55776,0.60824,2.30916,1.02136,1.15301,0.00135826,0.00135826,0.00135826
7,129.249,0.55239,0.95145,0.92792,1.04579,0.84488,0.78224,0.87088,0.76874,0.83582,0.77268,0.86226,0.76504,0.4795,0.99719,0.77782,1.009,0.00134412,0.00134412,0.00134412
8,147.521,0.53525,0.872,0.892,1.03841,0.79936,0.78646,0.85233,0.73066,0.79309,0.77924,0.84379,0.74251,0.55308,1.15704,1.06474,1.12021,0.00132997,0.00132997,0.00132997
9,165.448,0.52767,0.85973,0.85131,1.02323,0.84491,0.78732,0.87866,0.77558,0.84354,0.78537,0.86989,0.78352,0.4934,0.93669,0.76552,1.03383,0.00131582,0.00131582,0.00131582
10,183.797,0.5171,0.83302,0.82436,1.01815,0.84605,0.80551,0.88419,0.77724,0.84449,0.80186,0.87981,0.77703,0.48154,0.88627,0.96758,1.01515,0.00130168,0.00130168,0.00130168
11,201.725,0.49246,0.7985,0.79965,1.00859,0.83101,0.81941,0.88977,0.81635,0.83535,0.82304,0.88115,0.80514,0.42406,0.81216,0.74816,0.9745,0.00128753,0.00128753,0.00128753
12,219.909,0.45738,0.73406,0.7566,0.9941,0.87384,0.82511,0.90037,0.82082,0.87269,0.82454,0.8926,0.80791,0.43103,0.8149,0.73289,0.97923,0.00127338,0.00127338,0.00127338
13,237.988,0.48508,0.76695,0.78955,1.00663,0.84322,0.79976,0.8984,0.82037,0.83946,0.79535,0.89043,0.80977,0.45765,0.78863,0.63399,1.03542,0.00125923,0.00125923,0.00125923
14,256.058,0.46653,0.69654,0.76963,0.99467,0.89937,0.80222,0.90762,0.83486,0.89937,0.80222,0.89928,0.82474,0.41935,0.69241,0.72735,0.93529,0.00124509,0.00124509,0.00124509
15,274.67,0.45559,0.69285,0.7726,0.98495,0.8752,0.84268,0.92364,0.84485,0.8712,0.83906,0.91503,0.83693,0.43172,0.71081,0.63571,0.98386,0.00123094,0.00123094,0.00123094
16,292.863,0.4502,0.72538,0.73995,0.98552,0.90004,0.80579,0.91506,0.84189,0.89619,0.80216,0.90737,0.83622,0.39646,0.71808,0.66674,0.95807,0.00121679,0.00121679,0.00121679
17,311.081,0.44155,0.69197,0.73385,0.97566,0.89302,0.83089,0.91974,0.85133,0.8866,0.8256,0.91036,0.84425,0.38236,0.75148,0.56222,0.92454,0.00120265,0.00120265,0.00120265
18,329.382,0.42477,0.65747,0.7233,0.97699,0.82249,0.865,0.92178,0.85562,0.89179,0.79599,0.91303,0.8406,0.39396,0.74649,0.57918,0.94912,0.0011885,0.0011885,0.0011885
19,347.719,0.42813,0.66414,0.72148,0.97448,0.8477,0.87872,0.92274,0.85791,0.84399,0.8751,0.91542,0.85112,0.37797,0.65397,0.6434,0.96515,0.00117435,0.00117435,0.00117435
20,366.165,0.4098,0.6175,0.699,0.96406,0.88019,0.85877,0.92432,0.86257,0.88013,0.85755,0.91816,0.85661,0.37034,0.67449,0.52929,0.93898,0.00116021,0.00116021,0.00116021
21,384.485,0.41243,0.6439,0.68409,0.96141,0.91596,0.82016,0.92675,0.85766,0.91639,0.82009,0.92058,0.84278,0.36497,0.64203,0.5235,0.93037,0.00114606,0.00114606,0.00114606
22,402.542,0.40836,0.61484,0.6592,0.96798,0.89102,0.8127,0.91904,0.84913,0.90939,0.79341,0.90557,0.8348,0.37381,0.71972,0.52657,0.94187,0.00113191,0.00113191,0.00113191
23,420.468,0.38475,0.57799,0.63019,0.9538,0.88542,0.85945,0.92673,0.86822,0.88253,0.8604,0.92544,0.86216,0.34165,0.65404,0.58598,0.90477,0.00111776,0.00111776,0.00111776
24,438.632,0.39211,0.61212,0.67759,0.95205,0.90807,0.84548,0.9288,0.87058,0.90802,0.84521,0.92427,0.86118,0.35903,0.59792,0.50133,0.90907,0.00110362,0.00110362,0.00110362
25,457.047,0.3937,0.59928,0.64141,0.95424,0.88987,0.86218,0.93822,0.87815,0.88987,0.86218,0.93218,0.87008,0.34854,0.57693,0.46485,0.91153,0.00108947,0.00108947,0.00108947
26,475.257,0.38524,0.55605,0.62786,0.95065,0.87524,0.86905,0.92047,0.84979,0.88563,0.84259,0.91069,0.84303,0.35062,0.65553,0.53453,0.95475,0.00107532,0.00107532,0.00107532
27,493.317,0.3725,0.55884,0.61162,0.94641,0.90458,0.86714,0.93092,0.8763,0.903,0.86547,0.92625,0.87327,0.32995,0.58693,0.47997,0.90239,0.00106118,0.00106118,0.00106118
28,511.606,0.37674,0.54264,0.60307,0.94558,0.89429,0.86759,0.93749,0.883,0.92076,0.84231,0.93145,0.87307,0.33374,0.65512,0.47006,0.90549,0.00104703,0.00104703,0.00104703
29,529.933,0.35671,0.55969,0.60098,0.9385,0.89899,0.83146,0.93882,0.88809,0.90049,0.83313,0.93742,0.87566,0.34058,0.61916,0.48317,0.92244,0.00103288,0.00103288,0.00103288
30,548.907,0.36785,0.5539,0.60591,0.94457,0.91328,0.86089,0.94013,0.88848,0.91237,0.85901,0.93382,0.87035,0.33645,0.58298,0.46968,0.92271,0.00101873,0.00101873,0.00101873
31,567.138,0.35511,0.51622,0.58469,0.93549,0.92014,0.85026,0.9422,0.8926,0.92408,0.85361,0.94033,0.8841,0.34517,0.53606,0.45476,0.92063,0.00100459,0.00100459,0.00100459
32,585.495,0.35093,0.51536,0.58039,0.93339,0.83708,0.8259,0.90711,0.84616,0.83708,0.8259,0.89966,0.83152,0.34913,0.69974,0.57045,0.94452,0.00099044,0.00099044,0.00099044
33,603.681,0.35344,0.50224,0.59056,0.93744,0.90651,0.84363,0.93553,0.88265,0.90079,0.83806,0.92597,0.87098,0.32147,0.51065,0.47554,0.89718,0.000976293,0.000976293,0.000976293
34,621.95,0.34795,0.51639,0.59042,0.93859,0.9287,0.85992,0.95589,0.90501,0.93041,0.8636,0.94902,0.89444,0.3336,0.55648,0.46146,0.93158,0.000962146,0.000962146,0.000962146
35,640.184,0.34719,0.49319,0.56389,0.933,0.92334,0.852,0.94048,0.8939,0.91923,0.84838,0.93337,0.88329,0.32172,0.52452,0.45967,0.91418,0.000947999,0.000947999,0.000947999
36,658.471,0.34126,0.50281,0.57257,0.93076,0.8733,0.86905,0.93148,0.87567,0.9067,0.83543,0.92668,0.87101,0.34572,0.56845,0.52166,0.92998,0.000933851,0.000933851,0.000933851
37,676.359,0.33553,0.489,0.55946,0.92682,0.91365,0.85587,0.94693,0.89757,0.91009,0.85483,0.93578,0.87909,0.2953,0.60312,0.42641,0.89183,0.000919704,0.000919704,0.000919704
38,694.868,0.33078,0.48656,0.56386,0.92687,0.90186,0.87509,0.94072,0.88963,0.89788,0.87194,0.93583,0.874,0.30613,0.61997,0.43471,0.88718,0.000905557,0.000905557,0.000905557
39,713.083,0.32642,0.49441,0.55698,0.91982,0.88865,0.8619,0.92799,0.87308,0.89016,0.86358,0.92772,0.8646,0.32203,0.63008,0.49784,0.92813,0.00089141,0.00089141,0.00089141
