epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9795,0.58546,1.1915,2.19089,1.06635,0.7395,0.61489,0.74556,0.62433,0.73488,0.60932,0.73383,0.62673,0.5658,0.97213,1.78892,1.04793,0.000471473,0.000471473,0.000471473
2,21.2605,0.57578,0.8804,1.33698,1.01763,0.58369,0.76492,0.76913,0.6126,0.58526,0.76067,0.76784,0.62625,0.70596,1.67004,1.49002,1.2047,0.000938423,0.000938423,0.000938423
3,31.4357,0.58544,0.92552,1.23429,1.02874,0.83974,0.72352,0.82494,0.67965,0.83595,0.72073,0.81741,0.70298,0.65603,1.33351,1.15328,1.1445,0.00139594,0.00139594,0.00139594
4,41.3584,0.59036,0.92701,1.11538,1.02767,0.75176,0.71213,0.82394,0.68579,0.74988,0.7113,0.81256,0.703,0.6943,1.05546,1.54761,1.195,0.00138656,0.00138656,0.00138656
5,51.3207,0.55997,0.88448,1.01984,1.01679,0.79285,0.72576,0.84229,0.73162,0.83226,0.68788,0.83352,0.73133,0.50582,0.94974,1.02109,0.9936,0.00137241,0.00137241,0.00137241
6,61.1683,0.51783,0.83208,0.94279,0.99303,0.76179,0.72147,0.82537,0.62268,0.76324,0.72337,0.822,0.67305,0.76938,1.05582,1.15922,1.33509,0.00135826,0.00135826,0.00135826
7,70.4748,0.51719,0.85427,0.91524,0.99149,0.86245,0.77675,0.86786,0.78096,0.85647,0.77145,0.85579,0.75583,0.47424,0.97587,0.91307,0.95609,0.00134412,0.00134412,0.00134412
8,79.8456,0.51088,0.75852,0.8504,0.99056,0.84642,0.82334,0.90324,0.7877,0.83377,0.81079,0.8879,0.79875,0.50111,0.78417,0.71116,1.00543,0.00132997,0.00132997,0.00132997
9,89.9865,0.49452,0.7862,0.8397,0.97749,0.8476,0.76117,0.87431,0.76083,0.84978,0.75989,0.87065,0.77922,0.53403,0.75572,0.81561,1.03998,0.00131582,0.00131582,0.00131582
10,99.2913,0.48866,0.75836,0.81314,0.98313,0.80923,0.74347,0.82626,0.70126,0.80582,0.73595,0.81759,0.72729,0.58977,0.9654,1.03981,1.10364,0.00130168,0.00130168,0.00130168
11,109.236,0.47978,0.72633,0.79381,0.9749,0.89175,0.78829,0.91107,0.82781,0.88614,0.78467,0.90176,0.81466,0.42078,0.69943,0.6704,0.90988,0.00128753,0.00128753,0.00128753
12,119.249,0.45873,0.70059,0.78524,0.96792,0.81946,0.83185,0.88644,0.81674,0.81341,0.82441,0.87581,0.79548,0.40172,0.81665,0.67553,0.91117,0.00127338,0.00127338,0.00127338
13,129.101,0.482,0.71905,0.78759,0.97631,0.81039,0.76098,0.88407,0.79791,0.81039,0.76098,0.87501,0.78551,0.46756,0.80051,0.75628,0.95365,0.00125923,0.00125923,0.00125923
14,139.111,0.45964,0.66225,0.75157,0.96647,0.90526,0.84465,0.92192,0.83422,0.91054,0.83558,0.91877,0.83795,0.43723,0.71741,0.57129,0.92896,0.00124509,0.00124509,0.00124509
15,148.691,0.4517,0.69039,0.74178,0.96488,0.92649,0.80301,0.92599,0.85462,0.92649,0.80301,0.91664,0.82609,0.37862,0.75451,0.56706,0.89786,0.00123094,0.00123094,0.00123094
16,158.496,0.44844,0.72073,0.72415,0.96513,0.78678,0.83382,0.89834,0.82228,0.7804,0.82672,0.88845,0.81043,0.38711,0.77434,0.68384,0.91787,0.00121679,0.00121679,0.00121679
17,168.456,0.45259,0.68633,0.74075,0.96158,0.8961,0.82068,0.91802,0.83187,0.88343,0.82087,0.90366,0.8233,0.44368,0.7778,0.60716,0.94044,0.00120265,0.00120265,0.00120265
18,178.155,0.43922,0.65589,0.72793,0.95995,0.8497,0.81229,0.90176,0.81825,0.84737,0.81034,0.89364,0.81966,0.41851,0.73531,0.67538,0.9223,0.0011885,0.0011885,0.0011885
19,187.927,0.44227,0.6762,0.70964,0.95783,0.83615,0.84649,0.91332,0.84162,0.83036,0.83924,0.90713,0.83475,0.38498,0.73831,0.62088,0.91369,0.00117435,0.00117435,0.00117435
20,198.293,0.42104,0.6264,0.69886,0.95222,0.8693,0.85102,0.92529,0.85479,0.86132,0.84632,0.9158,0.84022,0.37436,0.6519,0.58549,0.8952,0.00116021,0.00116021,0.00116021
21,208.409,0.42461,0.6553,0.67837,0.95358,0.85881,0.7888,0.91066,0.83943,0.85513,0.78518,0.89986,0.83579,0.39076,0.71525,0.62109,0.8959,0.00114606,0.00114606,0.00114606
22,217.762,0.42401,0.61158,0.67669,0.95399,0.89174,0.76946,0.89226,0.824,0.88278,0.76231,0.88003,0.81677,0.37727,0.7058,0.74588,0.90323,0.00113191,0.00113191,0.00113191
23,227.576,0.41238,0.61682,0.6532,0.9465,0.91419,0.84435,0.94083,0.86966,0.90429,0.83614,0.92797,0.85112,0.37475,0.80028,0.52692,0.90363,0.00111776,0.00111776,0.00111776
24,237.711,0.40687,0.62122,0.66189,0.93982,0.87697,0.85088,0.93114,0.87014,0.88468,0.828,0.92208,0.8563,0.35486,0.60942,0.51933,0.88084,0.00110362,0.00110362,0.00110362
25,247.668,0.41528,0.60522,0.64611,0.9443,0.86304,0.85733,0.92656,0.86001,0.86304,0.85733,0.9174,0.85558,0.36829,0.62865,0.58465,0.89588,0.00108947,0.00108947,0.00108947
26,258.212,0.39892,0.56071,0.62765,0.93443,0.87063,0.85606,0.93432,0.86252,0.87568,0.84851,0.92387,0.84642,0.35654,0.62669,0.51609,0.89477,0.00107532,0.00107532,0.00107532
27,267.742,0.3953,0.59018,0.62419,0.93525,0.82688,0.85255,0.91222,0.84772,0.81836,0.84363,0.90134,0.8279,0.36747,0.68507,0.55739,0.90849,0.00106118,0.00106118,0.00106118
28,277.77,0.40031,0.57402,0.61228,0.94018,0.88579,0.85148,0.93922,0.88098,0.88154,0.84786,0.92995,0.86338,0.33619,0.53429,0.54564,0.86604,0.00104703,0.00104703,0.00104703
29,287.645,0.39517,0.58985,0.62482,0.93899,0.86011,0.88556,0.92971,0.86703,0.90311,0.84575,0.92359,0.86619,0.3504,0.5826,0.52735,0.88166,0.00103288,0.00103288,0.00103288
30,297.774,0.38851,0.57797,0.61462,0.93656,0.85393,0.86905,0.92883,0.86716,0.84649,0.86233,0.9212,0.84817,0.35506,0.61908,0.50019,0.88534,0.00101873,0.00101873,0.00101873
31,307.722,0.38645,0.54602,0.61803,0.93302,0.90385,0.85187,0.93083,0.86683,0.89935,0.84825,0.92204,0.85795,0.35264,0.55569,0.53326,0.88309,0.00100459,0.00100459,0.00100459
32,317.541,0.38556,0.55302,0.60655,0.93157,0.91185,0.86375,0.94704,0.881,0.9203,0.83576,0.93544,0.8721,0.35032,0.61526,0.47625,0.8688,0.00099044,0.00099044,0.00099044
33,326.738,0.38355,0.53624,0.60535,0.93452,0.91302,0.84553,0.93368,0.8769,0.90787,0.83161,0.92474,0.86381,0.32682,0.6347,0.49138,0.87444,0.000976293,0.000976293,0.000976293
34,336.349,0.37839,0.53121,0.60293,0.93218,0.92443,0.79466,0.91423,0.84581,0.9225,0.79299,0.90561,0.84209,0.38777,0.63221,0.58006,0.90904,0.000962146,0.000962146,0.000962146
35,346.372,0.38247,0.53346,0.58251,0.92934,0.86497,0.87369,0.93921,0.87485,0.86345,0.87202,0.92746,0.86055,0.33794,0.62403,0.48803,0.87277,0.000947999,0.000947999,0.000947999
36,356.271,0.37213,0.54134,0.59472,0.92721,0.88153,0.8538,0.93455,0.88077,0.90452,0.82728,0.92579,0.86871,0.33029,0.54521,0.49572,0.8803,0.000933851,0.000933851,0.000933851
37,366.245,0.36519,0.52088,0.57,0.92421,0.89068,0.84154,0.93103,0.87339,0.86282,0.85823,0.92387,0.86555,0.34284,0.58387,0.50485,0.87731,0.000919704,0.000919704,0.000919704
38,376.495,0.36355,0.52233,0.58498,0.92332,0.85327,0.84985,0.93308,0.87175,0.84924,0.84622,0.92484,0.86514,0.33858,0.54426,0.49251,0.87515,0.000905557,0.000905557,0.000905557
39,386.433,0.35989,0.53458,0.57886,0.91827,0.91505,0.85011,0.93472,0.87812,0.91164,0.84481,0.92659,0.86952,0.33928,0.59278,0.48597,0.88268,0.00089141,0.00089141,0.00089141
40,396.515,0.36676,0.5109,0.56945,0.92336,0.86627,0.83324,0.92786,0.87755,0.86236,0.83,0.91829,0.86231,0.3181,0.53944,0.52519,0.84693,0.000877263,0.000877263,0.000877263
41,406.471,0.35688,0.49565,0.5569,0.91659,0.9024,0.83156,0.93295,0.88043,0.89578,0.82599,0.92533,0.86611,0.32664,0.58843,0.49058,0.87632,0.000863116,0.000863116,0.000863116
42,416.293,0.35356,0.49841,0.55112,0.91853,0.90924,0.81515,0.92019,0.869,0.90924,0.81515,0.91307,0.85926,0.32667,0.55085,0.55807,0.86974,0.000848969,0.000848969,0.000848969
43,426.552,0.35025,0.51326,0.56244,0.91364,0.92345,0.83233,0.94417,0.89046,0.92345,0.83233,0.93578,0.87542,0.30798,0.57651,0.45606,0.85148,0.000834822,0.000834822,0.000834822
44,436.675,0.35545,0.51199,0.54346,0.91744,0.92145,0.84284,0.93388,0.86947,0.91979,0.84117,0.92646,0.85578,0.35354,0.61252,0.53523,0.90399,0.000820675,0.000820675,0.000820675
